,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
{0: [0]},0.0004,0.0001,0.0001,0.0021,-0.002,0.0281,0.0002,-0.0003,0.0011,0.0001,0.0003,0.1367,0.0006,0.0798,0.0021,-0.0012,0.057,-0.0002,-0.2436,0.0014,0.2418,-0.0005,-0.1497,0.1277,0.0283,0.0026,0.0018,0.268,0.0005,0.0344,0.0055,-0.0011,0.1611,0.0002,0.0986,0.0067,0.0003,0.0034,0.009,0.0921,0.1611,0.0002,0.0986,0.0067,0.0003,0.0034,0.009,0.0921,0.0031,-0.0065,-0.0001,0.2435,0.0048,0.004,0.0129,0.0056,0.0511,0.0009,0.082,0.0004,0.0021,0.0031,0.049,0.0776,0.1062,-0.0469,-0.0168,0.0006,0.0257,0.0053,0.0144,0.0001,0.0219,-0.0009,0.0385,0.0704,0.004,0.0355,0.0147,-0.0408
{0: [1]},0.0003,0.0012,0.0,0.0007,-0.0011,-0.0539,-0.0002,0.0057,-0.0034,0.0002,0.0007,-0.0648,0.0002,-0.0771,0.0017,-0.0,-0.0524,0.0021,-0.0023,-0.0013,0.0037,-0.006,0.0634,0.7149,-0.0902,-0.0009,0.0021,-0.0148,0.0003,-0.0232,-0.0082,-0.0011,-0.0331,0.0059,0.0854,-0.0083,-0.0004,-0.0215,-0.0043,0.3199,-0.0331,0.0059,0.0854,-0.0083,-0.0004,-0.0215,-0.0043,0.3199,0.0007,0.5443,0.0005,-0.054,0.0033,-0.0165,-0.0283,0.0078,-0.1671,0.0091,0.1964,-0.004,-0.0006,-0.0036,0.0087,0.2135,-0.2293,0.0291,0.0489,-0.0004,-0.0158,-0.0214,0.0136,0.0441,-0.018,-0.0005,0.0878,-0.0646,-0.006,-0.0279,0.0058,0.0259
{0: [2]},0.0002,0.0043,0.0057,0.0134,0.0033,0.1726,0.0029,0.0029,0.0087,0.003,0.0012,0.0009,0.0001,0.0116,0.016,0.1721,-0.0518,-0.0023,0.2382,0.0002,-0.0107,0.0012,0.4241,0.6515,0.1081,-0.0002,0.0041,0.0159,-0.0009,0.0252,0.0806,-0.0035,0.3391,0.0442,-0.0124,0.0041,-0.0008,0.0025,0.0111,0.3184,0.3391,0.0442,-0.0124,0.0041,-0.0008,0.0025,0.0111,0.3184,0.0125,0.8753,0.0009,-0.0024,-0.005,0.0003,0.1583,0.007,0.036,0.0117,0.2315,0.0006,-0.0015,0.0006,0.082,0.2385,0.1155,0.1261,-0.055,0.0008,0.1276,0.0068,0.0865,0.7886,0.2002,0.0077,-0.0281,0.0458,0.0089,-0.01,0.1395,0.3038
{0: [3]},0.0063,0.0033,-0.0001,-0.0004,0.0103,-0.0091,-0.0001,0.0005,-0.0002,0.0,0.0007,0.1307,-0.0004,0.0712,-0.0008,0.0002,0.052,0.0005,0.0201,0.0015,0.7693,0.0014,0.0224,-0.0943,-0.0115,0.0005,0.0008,0.0192,-0.0002,0.0771,-0.0079,0.0017,-0.0345,0.0004,0.3771,0.0033,-0.0002,0.0016,0.0257,-0.0201,-0.0345,0.0004,0.3771,0.0033,-0.0002,0.0016,0.0257,-0.0201,0.0025,-0.0018,-0.0013,0.3375,0.0009,0.0034,-0.0162,0.002,0.1223,-0.0048,0.0802,0.0001,0.0014,-0.0008,0.0147,-0.001,0.0843,0.0304,0.0253,0.0005,0.0192,0.0075,0.031,-0.0051,0.017,-0.0007,0.0147,0.0385,0.0063,0.0392,0.0014,-0.0003
{0: [4]},0.0012,-0.0004,0.0015,0.0008,0.0002,0.0368,0.0004,-0.0019,-0.0004,-0.0004,-0.0002,0.0129,0.0002,0.0102,0.0003,-0.0004,0.0659,-0.0032,0.0126,0.002,-0.0044,-0.0028,0.2414,0.7187,0.0806,0.0007,-0.0013,0.0381,-0.0001,0.0672,0.0053,-0.0001,0.4259,-0.0016,-0.1558,0.0128,0.0004,0.0078,0.0504,-0.3743,0.4259,-0.0016,-0.1558,0.0128,0.0004,0.0078,0.0504,-0.3743,0.0081,0.0974,0.0012,0.147,-0.0012,0.0054,0.2516,0.0017,0.1063,-0.0039,-0.3349,0.0033,-0.0015,0.0043,0.083,0.0162,0.1866,-0.3079,0.0657,-0.0031,0.0899,0.0103,0.0171,0.0177,0.0852,-0.0019,-0.0189,0.0489,0.0084,0.0429,0.0253,-0.032
{0: [5]},0.0036,0.0329,-0.0011,0.0175,0.0204,0.2674,0.0006,0.0134,0.0451,0.0002,0.0001,0.0504,0.0047,0.0832,0.0039,0.0005,0.0324,-0.0027,0.0317,-0.0008,0.6757,-0.0012,0.149,0.4545,0.189,-0.0036,0.0028,0.2718,0.0,0.042,0.027,-0.0017,0.3525,0.0041,0.1385,0.0078,0.0027,0.003,-0.0128,0.319,0.3525,0.0041,0.1385,0.0078,0.0027,0.003,-0.0128,0.319,0.0169,0.5216,-0.0023,0.7303,0.1143,0.0068,0.209,0.0067,0.0422,0.0136,0.2133,-0.0051,0.0035,0.0032,0.0231,0.2067,0.2499,0.1108,0.0094,0.0035,0.2491,0.0014,0.102,0.1713,0.3058,0.004,-0.0089,0.0651,-0.0035,0.0472,0.0274,0.1311
{0: [6]},0.0052,0.0006,-0.0018,-0.0018,0.0035,-0.0045,0.0001,0.0032,0.0077,0.0002,0.0006,0.3457,0.0009,0.1018,-0.0004,-0.0029,0.0765,-0.0004,0.0713,-0.0009,0.6606,0.0045,0.4294,0.7001,0.0506,-0.0017,0.0041,0.5655,-0.002,0.0793,0.004,-0.0018,0.645,-0.003,0.1836,0.0049,0.0002,0.0107,0.0619,0.0973,0.645,-0.003,0.1836,0.0049,0.0002,0.0107,0.0619,0.0973,0.0173,-0.0472,-0.0011,0.5281,0.0131,0.0047,0.0591,0.0034,0.1272,-0.005,0.037,-0.0,0.0004,0.0006,0.0981,-0.1329,0.1211,-0.1774,0.0395,-0.0078,-0.1816,0.0036,0.0626,-0.0077,0.0238,-0.0014,0.0549,0.0497,0.0,0.0358,0.027,-0.0447
{0: [7]},0.0003,-0.0015,0.0004,-0.0016,-0.0004,-0.1768,0.0,-0.0018,-0.0022,-0.0004,-0.0007,0.0158,-0.0003,0.019,-0.0019,-0.0003,-0.0094,-0.0003,0.0142,-0.0007,-0.0014,-0.0018,0.0495,0.1186,-0.3703,0.0004,-0.0007,-0.0021,-0.0001,0.0144,-0.0158,0.0007,-0.0707,-0.0021,0.0123,-0.0055,-0.0001,-0.0018,0.0016,-0.2871,-0.0707,-0.0021,0.0123,-0.0055,-0.0001,-0.0018,0.0016,-0.2871,-0.0142,0.1123,-0.0001,-0.0085,-0.0023,0.0018,-0.0352,-0.0005,0.0077,-0.003,-0.0579,-0.001,0.0001,-0.0036,-0.0128,-0.0086,-0.1876,0.0281,-0.0147,-0.002,-0.1644,0.0023,-0.0545,-0.0041,-0.0121,-0.0002,-0.0858,0.001,-0.0119,-0.007,-0.0021,-0.0384
{0: [8]},0.0017,0.001,-0.0006,-0.0033,0.006,-0.1346,0.0006,-0.0015,-0.0008,0.0001,-0.0017,-0.0293,0.0016,-0.1252,-0.0002,0.0016,-0.0179,0.0033,0.0842,-0.0002,0.0314,-0.0001,0.3262,0.1184,-0.3604,-0.0027,-0.0028,-0.0178,-0.0014,-0.0125,-0.0105,-0.0016,0.4849,0.0063,-0.0821,0.0078,-0.0006,-0.0033,0.0204,-0.3805,0.4849,0.0063,-0.0821,0.0078,-0.0006,-0.0033,0.0204,-0.3805,-0.0083,0.213,-0.0005,0.051,-0.0058,0.0013,-0.0242,-0.0003,0.103,0.007,0.1284,-0.0016,-0.0012,-0.0072,0.0568,-0.1797,-0.2495,-0.3579,-0.0052,-0.0008,0.1735,-0.0339,-0.1123,0.0005,-0.0126,0.0008,-0.0622,0.0813,-0.0048,-0.0621,-0.0028,-0.0453
{0: [9]},0.0029,0.0054,0.0023,-0.0025,0.0057,-0.2007,0.0012,0.007,0.0013,0.0013,0.0022,0.1348,-0.001,-0.0228,0.0102,0.0003,0.0176,0.0045,0.3754,0.0004,0.0212,0.0067,0.1239,0.64,-0.1495,0.0044,0.0068,0.0364,-0.0014,0.0084,0.0264,0.0021,0.5836,0.0199,0.5286,0.0024,-0.0001,-0.0134,0.0175,-0.0804,0.5836,0.0199,0.5286,0.0024,-0.0001,-0.0134,0.0175,-0.0804,0.006,0.8527,0.0099,0.025,-0.0052,0.0051,0.1215,0.0113,0.1052,0.0063,0.3312,-0.0084,0.0024,-0.0092,0.0554,0.2024,-0.1758,-0.047,0.4838,-0.001,-0.0796,0.0034,0.0207,0.5829,-0.0084,0.0066,0.2619,0.0807,-0.0156,0.0203,0.0342,0.2445
