,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
{0: [0]},0.0004,-0.0001,-0.0,-0.0006,-0.0001,-0.0001,-0.0003,-0.0,0.0001,-0.0009,-0.0005,-0.0003,-0.0001,0.0,-0.0001,-0.0002,0.0,0.0002,0.0003,-0.0005,-0.0002,-0.0,0.0001,0.0001,-0.0002,-0.0034,-0.0361,-0.0002,-0.0001,-0.0,-0.0,-0.0,0.0002,-0.0001,0.0005,-0.0006,-0.0002,-0.0,-0.0001,0.0001,0.0107,-0.0019,-0.0101,-0.0003,-0.0001,-0.0002,-0.0003,0.0001,0.0002,-0.0001,0.0001,0.0023,0.0002,-0.0004,-0.0001,0.0001,0.0011,-0.0004,-0.0003,0.0228,0.006,-0.0006,-0.0004,0.0001,0.0,0.0,-0.0007,0.0005,0.0002,-0.0007,0.0004,0.0001,-0.0004,-0.0,0.0,-0.0001,0.0001,-0.0003,-0.0002,0.0001
{0: [1]},0.0005,0.0,-0.0002,0.0,0.0001,0.0,0.0,-0.0001,0.0001,0.0014,0.0002,-0.0002,0.0002,0.0001,-0.0001,-0.0002,0.0,0.0003,-0.0001,-0.0001,0.0003,0.0,0.0,-0.0002,0.0006,0.005,-0.0037,-0.0002,0.0002,0.0001,0.0,0.0004,0.0002,0.0007,-0.0004,-0.0004,0.0001,0.0001,0.0001,0.0005,0.9232,0.1757,-0.0005,0.0001,-0.0003,0.0004,0.0003,-0.006,0.0009,-0.0001,-0.0002,-0.0004,0.0008,0.0019,0.0,0.0001,0.0027,-0.001,-0.0004,-0.0005,0.0238,0.0004,0.0001,0.0,0.011,0.0002,0.0195,0.0003,0.0006,0.0003,-0.0002,-0.0001,0.0005,-0.0002,-0.0001,-0.0002,-0.0001,0.0008,-0.0001,-0.0
{0: [2]},-0.001,0.9283,0.0061,-0.0005,0.0001,-0.0003,0.846,0.9647,-0.0004,0.9392,0.0006,0.0003,0.0009,-0.0003,0.0042,0.9444,-0.0003,0.8504,-0.0001,0.0005,0.0002,-0.0001,0.0025,-0.0008,0.9141,0.0163,0.0092,-0.0002,0.0011,-0.0001,0.9553,0.951,0.9377,0.9269,0.0004,0.0,0.0007,0.0006,0.0039,0.9638,0.9251,0.9466,0.0142,-0.0005,0.0031,-0.0001,0.9384,-0.0021,0.0002,0.9438,0.0,0.924,0.0011,0.0004,0.8664,0.9631,0.0246,0.9135,-0.0002,0.0134,0.0144,0.0011,0.0023,0.9515,0.0001,0.9565,0.957,-0.0,0.0156,-0.0038,0.9648,0.9571,0.002,0.9456,0.0006,-0.0003,0.0007,-0.0004,0.8906,0.9617
{0: [3]},0.9448,0.0,0.0514,-0.0006,0.0001,0.0369,-0.0002,-0.0001,0.0006,0.0298,0.9496,-0.0003,0.0006,-0.0004,0.9552,0.0006,0.0001,-0.0001,-0.0002,0.0006,-0.0007,0.0005,0.0002,-0.0001,0.9238,0.0115,0.0098,0.002,0.0026,0.0004,0.1792,0.0163,0.9124,0.8984,0.2786,0.0101,0.0003,-0.0001,0.0207,0.9514,0.9246,0.2434,0.0099,0.0053,0.0007,0.014,0.9049,-0.011,0.0093,0.0002,0.0002,-0.0017,0.0305,0.0031,-0.0002,0.0001,0.0098,-0.0009,0.0003,0.2246,0.0119,0.0058,0.0007,-0.0001,0.4695,0.0005,0.9266,-0.0004,0.9266,0.8857,0.0001,0.0015,0.0033,-0.0007,-0.0005,0.3678,0.0008,0.0019,0.0001,-0.0003
{0: [4]},-0.0001,-0.0002,0.0002,0.0001,0.0001,-0.0001,0.0,-0.0001,0.0003,-0.0005,-0.0,-0.0001,0.0,0.0001,0.0001,-0.0,0.0001,-0.0001,0.0002,0.0002,0.0002,-0.0,-0.0,-0.0001,-0.0002,-0.002,-0.0097,0.0,0.0002,-0.0,0.0001,-0.0001,0.0001,-0.0001,0.0007,0.0001,-0.0001,0.0001,0.0003,-0.0001,0.1903,0.0102,0.0019,-0.0004,-0.0001,0.0003,0.0006,-0.0008,-0.0002,-0.0003,-0.0,-0.0,0.0,0.0024,-0.0005,-0.0001,0.0005,-0.0006,-0.0001,0.0003,-0.005,0.0007,-0.0003,-0.0001,-0.0002,0.0001,0.0002,-0.0,0.0,-0.0006,0.0008,-0.0002,-0.0009,-0.0003,-0.0001,-0.0,0.0001,0.0001,-0.0,-0.0001
{0: [5]},-0.0016,-0.0001,0.0369,0.9143,0.0,0.9557,0.0467,0.0,-0.0006,-0.0006,0.0638,0.9374,0.0001,-0.0006,0.9515,-0.0002,-0.0006,-0.0003,0.0015,0.0005,0.0002,-0.0002,-0.0001,0.0001,0.9354,0.0126,0.0099,0.9042,0.0,0.923,0.9607,0.9498,0.9112,0.0548,0.0813,0.9505,0.0001,-0.0002,0.9022,-0.0003,0.9185,0.9548,0.0302,0.9661,-0.0001,0.9557,0.9521,0.0065,0.9557,-0.0013,0.0006,0.963,0.9752,0.9697,-0.0004,-0.0002,0.9477,0.0003,-0.0003,0.9535,0.0439,0.9524,-0.0003,0.7312,0.959,0.1165,0.9567,0.9592,0.9654,0.962,0.0128,-0.0,0.1474,-0.0,0.0011,0.9605,-0.0002,0.5439,0.0026,-0.0002
{0: [6]},-0.0009,-0.0001,0.0053,-0.0011,0.0,0.0038,0.0001,0.0,0.0007,0.0014,0.9269,0.0011,0.0008,-0.0003,0.0003,-0.0,0.0003,0.0,0.0037,0.0001,0.0001,0.0005,0.0002,0.0001,0.9073,0.0111,0.0068,0.0007,0.0005,0.0006,-0.0001,0.0004,0.9342,-0.0,0.0478,0.0022,0.0003,0.0005,0.0002,0.0005,0.9285,0.0009,0.0056,0.7098,0.001,0.0036,0.0001,-0.0001,-0.0003,-0.0001,0.0008,0.2774,0.0004,0.0009,-0.0001,0.0001,0.0002,-0.0002,0.0003,-0.0002,0.0117,0.0028,0.0001,0.0,0.0,0.0,0.0159,0.0003,0.0011,0.0036,0.0,0.0006,0.0044,-0.0004,0.0005,0.001,-0.0005,0.0031,-0.0002,0.0003
{0: [7]},0.0,-0.0001,-0.0001,-0.0,-0.0001,-0.0002,0.0002,0.0002,0.0001,-0.0005,-0.0006,-0.0001,0.0,-0.0001,0.0003,0.0002,-0.0,-0.0001,0.0004,-0.0001,-0.0002,-0.0001,0.0001,0.0002,-0.0,-0.0131,-0.9487,0.0001,-0.0003,-0.0001,0.0002,0.0004,0.0004,-0.0,0.0005,0.0001,-0.0002,-0.0,0.0004,0.0002,-0.0066,0.0034,-0.0063,-0.0001,0.0001,0.0,-0.0001,0.0001,0.0005,0.0,-0.0001,-0.0002,-0.0001,-0.0001,-0.0,-0.0,0.0039,-0.0003,-0.0007,-0.0012,-0.0279,-0.0003,-0.0002,-0.0002,0.0002,0.0,-0.0016,0.0003,0.0003,0.0001,0.0,0.0002,-0.0014,-0.0003,0.0006,0.0001,0.0001,0.0002,-0.0,0.0002
{0: [8]},0.0004,-0.0004,0.0003,-0.0005,-0.0001,0.0,-0.0003,0.0005,-0.0005,0.9394,0.0003,0.0001,-0.0,0.0002,-0.0007,0.0002,-0.0003,-0.0003,0.0003,-0.0008,-0.0,0.0,-0.0004,0.0004,0.4232,0.0095,0.005,0.0002,0.0001,-0.0001,-0.0008,0.9518,-0.0011,0.9302,-0.0002,0.1303,-0.0,0.0,-0.0007,0.9123,0.8905,0.865,0.003,0.1215,-0.0001,-0.0002,-0.0007,0.0017,-0.0004,-0.0015,-0.0,0.9218,-0.0,0.0001,0.0007,0.0003,0.0007,0.0002,0.0001,0.4943,-0.0009,0.0002,0.0001,-0.0002,-0.0009,0.0007,0.5155,0.0005,0.0009,0.0004,-0.0009,-0.0001,0.0006,0.0003,-0.0002,-0.0002,-0.0001,0.0001,-0.0018,0.0003
{0: [9]},-0.0011,0.0001,0.0002,-0.0011,-0.0,-0.0006,0.0001,0.0001,-0.0006,0.0078,0.8689,-0.0004,-0.0004,-0.0003,0.0005,-0.0005,-0.0004,-0.0005,-0.0002,-0.0006,-0.0001,-0.0004,-0.0,-0.0002,0.9235,0.0083,0.0087,-0.0001,-0.0005,-0.0004,0.0005,0.0001,0.0,0.9136,0.1999,-0.0004,-0.0001,-0.0002,-0.0001,-0.0002,0.9318,0.954,0.0065,0.0001,0.0002,-0.0007,-0.0004,0.0001,0.0001,-0.0002,0.0002,0.0,0.0009,0.0013,-0.0004,-0.0001,0.0098,0.0004,-0.0003,-0.0011,0.022,0.0031,-0.0008,-0.0003,0.7302,0.0003,0.9346,0.0,0.0016,-0.0033,0.0,-0.0005,0.0898,-0.0006,-0.0008,-0.0003,-0.0004,-0.0004,-0.0001,-0.0002
{0: [10]},0.0003,0.0005,-0.0006,0.0001,-0.0,-0.0006,0.0003,0.0,-0.0003,-0.0,0.0001,-0.0002,-0.0002,-0.0003,0.0002,0.0,-0.0002,0.0005,-0.0,0.0001,-0.0,-0.0002,0.0003,-0.0002,0.0003,-0.9218,-0.9467,0.0003,-0.0002,-0.0001,0.0004,-0.0001,-0.0003,0.0004,-0.0001,0.0003,-0.0002,-0.0004,0.0,0.0003,-0.0071,-0.0023,0.0055,0.0006,-0.0,-0.0007,0.0006,0.0011,0.0002,-0.0011,0.0002,0.0077,0.0002,0.002,0.0001,0.0001,0.0014,0.0003,0.0003,-0.0013,0.0044,0.0007,0.0,0.0001,-0.0002,-0.0001,0.0709,0.0002,0.0002,-0.003,-0.0,0.0002,-0.001,0.0003,-0.0004,-0.0,0.0001,-0.0013,-0.0003,0.0001
{0: [11]},-0.0002,0.0001,-0.0004,0.0,-0.0,0.0,0.0007,-0.0002,-0.0001,0.0016,0.0488,0.0003,-0.0001,0.0001,0.0006,0.9304,0.0,-0.0003,-0.0002,-0.0,-0.0001,0.0001,0.0003,-0.0004,0.2801,0.0012,0.0081,0.0001,-0.0001,0.0003,0.0006,0.9496,-0.0012,0.0013,0.0048,0.0006,-0.0001,0.0002,0.0005,0.9597,0.9285,0.9399,0.012,-0.0001,-0.0002,-0.0001,0.0008,0.001,0.0003,0.3892,0.0005,0.0001,0.0003,-0.0,0.0,0.001,0.0011,0.2533,0.0002,-0.0001,0.0,0.0009,-0.0009,0.9527,-0.0005,0.0043,0.8928,0.0,0.0005,0.0002,0.0028,0.9605,0.0021,0.0001,0.0002,0.0002,-0.0001,-0.0002,0.0002,0.0004
{0: [12]},0.0001,0.0001,0.0007,-0.0005,0.0001,-0.0006,0.0001,-0.0,0.0007,-0.0015,0.004,-0.0005,0.0003,-0.0002,0.0004,-0.0001,0.0003,0.0,-0.0002,-0.0003,-0.0001,-0.0002,0.0001,-0.0003,0.9332,-0.3028,-0.0157,-0.0004,0.0004,-0.0004,0.0008,0.0006,0.0081,-0.0001,0.0018,0.0,-0.0001,-0.0,-0.0004,0.0001,0.9276,-0.0018,0.0171,-0.0003,0.0006,-0.0009,0.0003,-0.0051,0.0002,0.0005,0.0003,-0.0006,0.0006,0.0003,0.0001,0.0015,0.002,0.0005,0.0008,-0.0019,0.0166,0.0009,-0.0002,0.8747,0.0005,0.0,0.9525,-0.0006,0.0013,0.0003,0.0015,-0.0002,0.0001,-0.0008,0.0002,-0.0002,0.0001,-0.0004,0.0005,-0.0
{0: [13]},-0.0,0.003,0.0881,-0.0007,0.0,-0.0009,-0.0002,0.9608,0.0002,0.9409,0.9573,0.0005,0.0003,-0.0006,0.0009,0.0006,-0.0001,0.2504,0.0026,-0.0011,-0.0001,-0.0003,-0.0,0.0005,0.0174,0.0065,0.0133,0.0003,-0.0001,-0.0011,0.0018,0.9518,0.0004,0.6775,0.9629,0.0006,-0.0005,-0.0006,0.0011,0.0007,0.9113,0.9306,0.0109,-0.0001,0.0075,0.1033,0.0007,-0.0121,-0.0001,0.4406,0.0069,-0.0015,0.0118,0.4252,0.0,0.9177,0.0027,0.1806,-0.0016,-0.0016,0.03,0.8559,0.0001,0.9378,0.0017,0.0045,0.9568,0.9414,0.9034,-0.0014,0.0019,0.9592,-0.0019,0.0,0.4131,0.0013,0.0006,-0.0006,-0.0025,0.001
{0: [14]},-0.0009,-0.0003,0.0002,-0.0017,-0.0001,-0.0011,-0.0002,-0.0001,-0.0008,0.071,0.0021,-0.0022,-0.0007,-0.0003,-0.0002,-0.0008,-0.0009,-0.0009,0.0005,-0.0011,-0.0008,-0.0001,-0.0004,0.0001,-0.0012,0.01,-0.9399,-0.0017,-0.0012,-0.0002,-0.0001,-0.0002,0.0002,0.0152,0.0009,-0.0016,-0.0001,-0.0007,-0.0003,-0.0001,0.9209,0.9139,0.0232,-0.0015,0.0001,-0.001,-0.0001,0.0043,-0.0021,-0.0018,0.0002,0.0002,0.0,-0.0,-0.0002,-0.0001,-0.002,-0.0002,0.0,-0.0012,0.0434,0.0001,-0.0007,-0.0001,-0.0008,0.0023,0.9617,0.2128,0.2619,-0.0015,0.001,0.9729,0.0135,0.0004,-0.0009,-0.0011,-0.0007,-0.0016,-0.0008,-0.0003
{0: [15]},0.0001,0.0,-0.0006,0.0033,0.0001,0.9105,0.0,0.0,-0.0001,0.0017,-0.0002,0.9094,0.0005,-0.0002,0.0001,-0.0001,-0.0003,-0.0,-0.0003,0.0005,0.0001,0.0003,0.0001,-0.0,-0.0004,-0.0156,-0.9341,0.4978,0.0006,0.0001,0.0003,-0.0001,-0.0005,0.0002,-0.0,0.9468,0.0002,0.0005,-0.0002,0.0,-0.0081,0.0021,0.0139,0.0069,0.0003,0.0111,0.9138,-0.0008,0.0002,-0.0002,0.0001,0.0032,-0.0011,0.1499,-0.0001,-0.0,0.0013,-0.0002,0.0002,0.9132,0.0108,0.005,-0.0001,-0.0001,-0.0001,0.0001,0.0122,0.3748,0.9601,0.0015,0.0005,-0.0001,-0.0001,-0.0003,-0.0001,0.0004,-0.0001,0.0067,0.0003,-0.0001
{0: [16]},-0.0001,0.0001,0.1199,-0.0015,0.0005,0.0,-0.0001,-0.0,0.0002,0.0002,0.9594,-0.0,0.0018,-0.0,0.0006,0.0001,-0.0001,-0.0001,0.0019,-0.0016,0.0017,-0.0001,0.0,0.0001,-0.0,-0.0053,0.0128,-0.0006,0.0009,-0.0,0.0,0.0002,-0.0003,0.0,0.9589,-0.0,0.002,0.0,0.0006,-0.0002,-0.008,0.7967,-0.0004,0.0,0.0015,-0.0002,-0.0004,-0.9428,-0.0001,-0.0008,0.0036,-0.0,0.0011,-0.0002,-0.0001,-0.0006,0.0013,-0.0001,0.0004,-0.002,0.0184,-0.0002,0.0001,-0.0004,0.0005,-0.0,0.9533,0.0009,0.1816,-0.0001,-0.0018,0.9542,0.0038,-0.0002,-0.0005,0.0013,0.0013,-0.0002,-0.0002,0.0002
{0: [17]},0.0001,0.0002,0.0005,-0.0002,0.0001,-0.0,0.0001,-0.0001,0.0003,-0.0006,-0.0002,0.0002,0.0005,-0.0001,-0.0001,0.0002,-0.0,0.0002,0.0004,-0.0006,0.0008,-0.0001,-0.0003,-0.0001,0.3456,-0.0085,0.0078,0.0001,0.0002,0.0003,-0.0002,0.0012,0.0002,0.0001,0.0002,0.0001,0.0002,0.0,-0.0004,0.0001,0.7409,0.0158,0.0096,0.0001,0.0008,0.0004,0.0002,-0.957,-0.0002,-0.0,0.0008,0.0001,0.0005,0.0006,0.0003,-0.0003,0.0041,0.0004,0.0004,-0.001,-0.029,0.0005,-0.0005,-0.0003,0.0007,0.0002,0.2106,0.0005,0.0005,0.0004,0.0005,0.0005,0.0011,-0.0003,-0.0013,-0.0002,0.0002,-0.0012,-0.0013,-0.0002
{0: [18]},-0.0001,0.9521,-0.0007,-0.0001,0.0,0.0001,0.0001,0.0,-0.0001,0.938,0.0006,0.0003,0.0,-0.0001,0.0003,0.9484,0.0,0.0004,0.0,0.0,-0.0001,-0.0001,0.0001,0.0,-0.0002,0.0164,0.0055,0.0006,-0.0,0.0001,0.0009,0.9495,-0.0001,0.9302,-0.0005,0.0004,0.0001,0.0,0.0004,0.9639,0.9238,0.9509,0.0028,0.0002,0.0008,0.0001,0.0002,-0.0028,0.0002,0.9122,0.0004,-0.0,-0.0,-0.0001,0.0006,0.9601,0.0,0.4645,0.0005,-0.0004,-0.0006,-0.0001,0.0006,0.9594,0.0,0.8457,0.9576,0.0004,0.0,-0.0001,0.0009,0.961,0.0028,0.0083,-0.0002,0.0,-0.0001,-0.0006,-0.0003,0.0002
{0: [19]},-0.0004,0.0,0.0005,0.0003,-0.0,0.0006,-0.0001,-0.0,-0.0001,0.8897,0.013,0.0003,0.0,-0.0002,0.0002,-0.0001,-0.0001,-0.0001,0.0005,0.0005,0.0001,0.0001,0.0004,0.0001,-0.0,0.0104,0.0074,-0.0006,0.0009,-0.0005,0.0009,-0.0004,-0.0001,0.0062,0.0023,0.0013,0.0003,0.0005,-0.0002,0.0002,-0.0062,0.007,0.0037,-0.0004,-0.0002,0.0031,0.0015,0.0001,-0.0013,-0.0007,-0.0001,0.1507,0.0004,0.0037,0.0003,-0.0,0.0027,0.0006,-0.0,0.3896,0.0138,0.0018,0.0005,-0.0001,0.0001,0.0004,0.1401,0.0007,0.0012,0.0043,-0.0002,-0.0001,-0.0036,-0.0009,-0.0001,0.0004,0.0001,0.0001,-0.001,-0.0001
{0: [20]},-0.0001,-0.0002,-0.0003,0.0002,-0.0,0.0001,-0.0001,0.0,-0.0001,0.0005,-0.0003,-0.0,-0.0,0.0001,0.0002,0.0003,0.0001,0.0003,-0.0004,0.0,0.0,-0.0,-0.0003,0.0002,-0.0002,-0.0124,0.0002,0.0,0.0,0.0,-0.0,0.0001,-0.0003,0.0004,-0.0005,0.0001,0.0001,0.0005,0.0003,0.0003,0.0114,0.3962,0.0123,-0.0005,0.0003,0.0004,-0.0005,-0.0039,0.0,0.0,0.0003,-0.0,0.0001,-0.0,0.0003,0.0,-0.0003,0.0146,-0.0004,0.0031,-0.003,0.0003,0.0002,-0.0,0.0,0.0004,0.8991,0.0002,0.0,0.0001,0.0018,-0.0005,-0.0005,-0.0005,-0.0005,-0.0,0.0,-0.0003,0.0002,-0.0
{0: [21]},0.0001,-0.0002,0.0,0.0001,0.0,-0.0001,-0.0,0.0002,-0.0002,0.0164,-0.0005,-0.0004,0.0002,-0.0002,0.0004,-0.0,0.0001,0.0,0.0003,-0.0001,-0.0002,0.0001,0.0,0.0002,0.2177,0.0123,0.0016,-0.0005,0.0003,-0.0002,0.0001,-0.0001,0.0003,0.0052,-0.0004,-0.0002,0.0002,-0.0003,-0.0001,-0.0002,0.9054,0.9501,0.0066,-0.0003,0.0,0.0002,0.8892,0.0026,0.0021,-0.0011,0.0002,0.0088,0.0,0.0002,0.0012,0.0002,0.0031,0.0042,0.0008,0.0009,0.0134,-0.0001,-0.0007,0.4858,0.0189,0.9505,0.0028,0.0001,-0.0008,0.9223,0.9523,-0.0004,0.005,0.0004,-0.0006,0.0009,0.0001,0.0002,0.0003,-0.0002
