,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
{0: [0]},-0.0008,0.0002,-0.0025,-0.0002,-0.0001,0.163,-0.0002,0.0002,-0.0006,-0.0011,-0.0014,0.0007,0.0005,0.0118,0.0008,-0.0037,0.0002,0.0005,0.0002,0.001,-0.0001,0.0003,0.0001,0.0006,-0.0003,-0.0007,0.0002,0.0024,-0.1077,0.7906,-0.0002,0.0036,-0.0016,-0.0001,-0.0009,0.0002,0.0004,-0.0006,0.0,-0.0006,-0.0002,0.0044,-0.0016,-0.0151,0.0001,0.7079,0.0009,-0.0001,0.9192,-0.0002,-0.0044,-0.0114,-0.7157,0.073,0.0002,-0.0004,0.0005,0.0001,0.0001,0.0005,0.7474,0.0006,0.0,0.0001,0.0003,0.001,0.0002,0.6274,0.0002,0.0005,-0.0029,0.0006,-0.0008,0.0016,-0.002,-0.0006,0.0004,0.0238,-0.0005,-0.0001
{0: [1]},-0.0001,-0.0,0.0015,-0.0022,0.0001,-0.4554,-0.0,0.0001,0.0006,-0.0006,0.0004,-0.0038,0.0003,-0.1039,0.0002,-0.0077,0.0,0.0002,0.0003,-0.0,0.0,-0.0001,-0.0001,0.0009,-0.0006,-0.0001,0.0002,0.0002,-0.0202,0.0012,-0.0002,0.0079,0.0,-0.0002,0.0005,-0.0016,-0.0001,0.0003,0.0001,0.0001,0.0023,0.002,-0.0,0.0001,0.0,0.3584,0.0024,0.0013,0.0002,0.0003,0.0005,-0.0093,-0.6075,-0.0509,-0.0002,0.0008,-0.0,0.0001,-0.0001,-0.0002,-0.0011,-0.0001,-0.0,0.0008,0.0027,0.001,0.0037,-0.0649,0.0003,-0.0002,0.0058,0.0033,0.0009,0.0012,0.0007,-0.0021,-0.0008,-0.0133,-0.0002,0.0025
{0: [2]},0.001,0.0007,0.0047,0.0014,-0.0016,0.2383,-0.0016,0.0025,0.0022,-0.0012,0.001,0.0021,-0.0024,0.024,-0.0012,-0.0027,0.0,0.0004,0.001,0.0003,0.0013,0.0001,0.0001,0.0007,-0.0003,0.0009,0.0011,0.001,-0.0076,0.0142,0.0003,0.0007,-0.0006,-0.0007,-0.0023,0.0021,-0.0011,-0.0004,-0.001,0.0002,-0.0015,0.0019,-0.0006,0.009,-0.0034,-0.2124,0.0008,0.0001,0.001,0.0,-0.0383,-0.7585,0.2176,0.0745,0.0002,-0.0004,0.0003,0.0003,0.0015,-0.0,0.9245,0.0,0.0,0.0004,-0.003,0.0036,-0.0028,-0.1877,-0.0042,0.0001,-0.0004,0.001,-0.0007,0.0027,-0.0063,0.0005,-0.0042,0.0102,0.0001,-0.0004
{0: [3]},-0.0008,-0.0016,0.0007,0.0013,0.0,0.1463,0.0002,-0.0001,0.0005,-0.0001,-0.0,0.003,-0.0003,0.0087,0.0003,0.0193,-0.0001,0.0003,0.0003,0.0,0.0,-0.0002,-0.0002,0.0012,-0.0003,0.0003,0.0001,0.0021,0.0011,0.0009,-0.0,0.0062,-0.0003,0.0001,0.0005,0.0035,-0.0003,-0.001,0.0002,-0.0008,-0.0008,-0.0022,-0.0006,0.0073,0.0004,0.5428,0.0017,0.0003,-0.0001,0.0001,0.0002,0.1426,-0.7016,0.0622,-0.0001,0.0004,0.0001,0.0,-0.0001,0.0018,0.0009,-0.0001,-0.0001,-0.0005,-0.0005,0.0004,0.0041,0.6297,-0.0008,-0.0,0.0055,0.0044,-0.0012,-0.0007,-0.0001,0.004,0.0004,0.0051,0.0004,0.0009
{0: [4]},0.0015,-0.0002,-0.0041,0.0021,0.0015,-0.6833,-0.0019,-0.0002,0.0024,-0.0017,-0.0071,0.0023,-0.0,-0.3696,-0.0018,-0.0029,0.0,0.001,0.0,-0.0,0.0002,0.0006,0.0003,0.0011,-0.0007,0.0015,0.0004,0.0001,-0.7586,-0.0005,0.0003,0.0069,-0.0008,-0.0,-0.0046,-0.0029,0.0018,-0.1492,-0.0036,-0.0003,-0.9492,-0.1598,-0.005,0.007,-0.0023,-0.213,-0.0213,-0.0005,0.0005,0.0015,-0.1211,-0.7673,-0.7188,-0.8402,0.0005,0.0,-0.0,0.0009,0.0006,-0.0003,-0.0006,0.0003,0.0002,0.001,0.0011,0.0033,-0.0261,-0.0933,-0.0007,0.0004,-0.9511,-0.0001,-0.0009,-0.0013,-0.0087,0.0014,-0.0007,-0.8989,-0.004,-0.0004
{0: [5]},0.0003,0.0004,0.0006,0.0001,0.0003,-0.1274,0.0004,-0.0013,0.0002,0.0004,-0.0017,0.0017,0.0002,-0.0086,0.0001,-0.006,-0.0001,0.0003,0.0001,0.0001,0.0009,-0.0004,-0.0002,-0.0002,0.0001,0.0001,0.0007,0.0009,-0.0028,-0.0001,-0.0,-0.0032,-0.0001,0.0004,-0.001,0.0015,0.0007,-0.0012,-0.0,-0.0002,0.002,-0.0029,-0.0016,-0.0065,0.0001,0.1549,0.0028,-0.0009,-0.0002,-0.0002,-0.0013,0.1026,0.172,-0.3471,0.0001,-0.0008,-0.0,0.0001,0.0002,0.0008,0.7466,-0.0002,-0.0001,-0.0006,-0.0008,-0.0004,0.0044,0.6063,0.0011,-0.0,0.0029,0.0006,0.0015,0.002,0.0003,-0.0009,0.0004,-0.0382,-0.0,-0.0026
{0: [6]},0.0006,0.0014,0.0014,0.0049,-0.0001,0.1778,-0.0002,0.0002,0.0001,0.0006,0.0,0.0027,-0.0001,-0.0271,0.0004,0.0026,-0.0,-0.0003,-0.0001,0.0016,-0.0001,0.0002,0.0,-0.0007,0.0,-0.0009,-0.0,0.0028,-0.0001,0.8997,0.0002,-0.0025,0.0004,0.001,0.0005,0.0015,-0.0002,-0.0006,-0.0003,-0.0003,-0.0009,0.0012,0.0006,0.0146,-0.0007,0.6552,0.0022,-0.0005,0.001,0.001,0.0006,0.1235,-0.6247,0.0957,0.0001,-0.0001,0.0002,-0.0001,-0.0,-0.0,-0.0009,-0.0002,0.0001,-0.0002,0.0005,0.0003,0.0039,0.2362,-0.0003,0.0004,0.0014,-0.0013,-0.0002,-0.0005,0.0021,0.0058,-0.0007,-0.0022,0.0014,-0.0015
{0: [7]},-0.0014,-0.0037,-0.0052,0.0047,-0.0004,0.0481,-0.0001,0.0208,-0.0034,-0.0019,-0.0059,0.005,-0.0009,-0.0635,-0.0002,0.0569,0.0001,0.0061,0.0001,0.0021,0.0009,0.0006,0.0003,0.0031,-0.0001,0.0117,0.0005,-0.0004,0.0007,-0.0001,0.0002,0.042,-0.0023,-0.0039,-0.0008,-0.0017,-0.0018,-0.0003,-0.0008,-0.0001,-0.0045,-0.0262,-0.0057,0.0133,-0.0015,0.3646,-0.0166,0.0027,0.0113,0.0029,-0.0213,0.074,0.0241,-0.4454,0.0005,0.002,0.0001,0.0009,-0.0001,-0.0,-0.0012,-0.0,0.0003,0.0008,-0.0049,0.005,-0.0088,-0.01,0.0001,-0.0003,-0.0034,0.0078,-0.0046,-0.009,-0.0113,0.0065,-0.0031,0.0035,-0.0088,0.0095
{0: [8]},0.0004,0.0,-0.0014,0.0012,0.0006,-0.6188,-0.0006,0.0003,-0.0002,0.0009,0.0001,0.0021,0.0003,-0.1628,-0.0001,0.021,0.0003,0.0006,0.0077,0.0001,0.0,-0.0007,-0.0002,0.0017,0.0005,-0.0001,-0.0001,-0.0001,-0.0002,-0.0009,-0.0001,-0.0001,0.0005,-0.0006,-0.001,0.003,0.0008,-0.0019,-0.0003,-0.0023,0.0028,0.007,-0.0021,0.0071,0.0005,0.4283,0.0014,-0.0002,-0.0001,-0.0007,0.0001,0.1291,-0.0967,-0.839,-0.0002,-0.0003,-0.0,-0.0001,0.0089,0.0008,0.4636,-0.0002,-0.0001,0.0013,0.0019,-0.0019,0.0003,0.5834,0.0005,-0.0003,-0.0021,0.0054,0.0017,-0.0016,-0.0022,0.0064,0.0024,-0.0693,-0.0013,0.003
{0: [9]},-0.0002,0.0026,0.0096,0.0032,0.0012,-0.5166,0.0023,-0.0012,-0.0003,-0.0004,0.0042,0.0006,0.0001,-0.0019,0.0026,-0.0104,-0.0004,0.0002,-0.0002,-0.0004,0.0,-0.0002,0.0001,0.0002,-0.0005,0.0004,0.0003,-0.0007,-0.0024,0.8999,-0.0001,0.0068,-0.0013,0.0005,0.0023,-0.0001,-0.0009,-0.0004,0.0001,-0.0001,0.0029,0.0062,0.0108,0.0069,0.0007,0.7142,0.0021,0.0002,-0.0003,0.5968,0.0007,0.0652,0.2198,0.0977,0.0001,-0.0002,0.0,0.0002,-0.0005,-0.0004,0.9481,-0.0002,0.0,-0.0001,0.0004,0.0032,0.0014,0.0116,0.0003,0.0002,-0.9382,0.0009,0.0001,-0.002,0.0012,0.0014,0.0003,0.0248,0.0011,-0.0015
