,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
{0: [0]},0.0,-0.002,-0.0006,0.0003,-0.0007,0.001,-0.0008,-0.0003,0.0054,-0.001,-0.0002,0.0001,-0.0009,-0.0003,-0.0008,-0.0,0.0013,0.0067,-0.0017,-0.0006,0.0066,0.0059,0.0006,-0.0001,0.0007,-0.0019,0.0011,-0.0042,-0.0002,0.0003,0.002,-0.1155,-0.0003,0.0078,0.0026,0.0001,0.0005,0.0009,-0.0002,0.0002,0.0003,-0.0006,-0.0012,-0.0015,0.0001,0.0007,0.0016,-0.0002,-0.0027,0.0007,-0.0015,-0.0012,0.0015,-0.0007,0.0003,0.0008,0.0008,-0.0002,-0.0378,-0.0098,-0.0004,-0.0015,0.0612,-0.0474,0.0008,-0.0,0.0006,-0.0002,-0.0009,0.0017,-0.0005,-0.0007,0.0026,0.003,-0.0033,0.0008,0.0313,0.0013,0.0075,0.0011,0.697,0.0002,-0.0017,-0.0006,0.0142,-0.0,-0.0032,0.0002,0.003,0.0007,0.0003,-0.008,0.0597,-0.0004,-0.0008,0.0003
{0: [1]},0.0007,0.0002,0.0007,0.0003,0.0001,-0.0,0.0004,0.0006,-0.0001,0.0002,0.0012,-0.0001,0.0003,-0.0005,0.0014,0.0003,-0.0014,-0.001,-0.0005,0.0005,-0.0001,0.0002,-0.0003,0.0004,-0.0003,-0.0001,0.003,0.0,0.0003,0.0001,-0.0008,-0.0504,-0.0001,0.0022,-0.0013,0.0005,-0.0002,0.0001,0.0007,0.0002,-0.0002,-0.0001,0.0006,-0.0003,0.0002,-0.0006,-0.0009,0.0004,-0.0002,0.0005,0.0009,-0.0002,-0.0001,-0.0011,0.0002,-0.0018,-0.0001,0.0004,-0.0003,-0.0091,-0.0004,-0.0006,0.0809,0.022,0.0003,0.0012,0.0006,-0.0001,-0.0007,0.0005,-0.0001,0.0023,-0.0095,0.0017,0.0506,0.0009,0.0656,-0.0006,-0.001,-0.0002,0.0029,-0.0,0.0009,-0.0002,0.0001,0.001,-0.0017,-0.0,0.003,-0.0004,-0.0,0.0046,0.8284,-0.0001,-0.0011,-0.0
{0: [2]},-0.0002,0.0002,0.0001,-0.0005,0.0008,-0.0002,-0.0,-0.0001,0.0003,0.0004,0.0005,0.0015,-0.0001,-0.0016,0.0031,-0.0011,0.0044,0.0002,0.0135,0.0002,0.0017,0.0001,0.0023,0.0001,0.0008,0.0007,0.0009,0.0006,-0.0005,-0.0001,0.001,-0.1085,-0.0002,0.0014,0.0041,0.0034,0.0015,0.0003,0.0017,0.0005,0.0024,-0.0005,0.0003,0.0002,0.0001,0.0002,-0.0021,0.0003,0.002,-0.0003,-0.0026,-0.0001,-0.0001,-0.0006,0.0015,-0.0008,0.0087,0.0006,-0.5837,0.0462,0.0014,0.0009,0.0743,0.0447,0.0005,0.0009,-0.0002,0.0005,-0.0009,-0.0012,-0.0003,-0.0014,0.0048,0.0034,0.0078,-0.0009,-0.053,-0.0014,0.0008,0.0007,0.1972,0.0,-0.0023,-0.0003,0.0008,-0.0,-0.002,0.0001,0.0104,0.0791,-0.0001,0.0072,0.9258,-0.0014,0.0007,0.0008
{0: [3]},0.0001,-0.001,0.0004,-0.0007,0.0015,-0.0002,-0.0001,-0.0007,0.0002,0.0001,-0.0002,-0.0005,0.0013,-0.0002,-0.0006,-0.0005,-0.0004,0.0008,0.0007,0.0028,-0.0002,0.0002,0.0024,0.0008,0.0003,-0.002,0.0004,0.0014,0.0001,0.0002,-0.0,-0.1329,0.0002,0.0019,0.0012,-0.004,-0.0007,-0.0003,-0.0001,0.001,0.0002,-0.0003,-0.0003,0.0004,0.0004,-0.0002,-0.0012,0.0603,-0.0004,0.0007,0.0003,0.0004,0.0,-0.0002,0.0004,-0.0022,0.0001,0.0005,-0.0008,-0.0051,-0.0,-0.0003,-0.4852,-0.0052,0.0001,0.0007,-0.0006,-0.0009,0.0007,0.0003,-0.0006,-0.0014,-0.002,-0.0003,0.0006,0.004,-0.0899,0.0003,0.0007,0.0019,0.0051,0.0,-0.001,0.0001,-0.0001,0.0001,-0.0078,0.0002,0.0012,0.0003,0.0,-0.0043,0.0435,-0.0001,0.0002,0.0004
{0: [4]},0.0004,0.0014,0.0016,0.0009,0.0004,0.0012,0.0005,0.0017,0.0007,0.0033,0.0002,0.0004,0.0003,0.0078,-0.0003,0.0028,0.0022,0.0011,-0.0006,0.0018,0.0002,0.0008,0.0062,0.0007,0.0003,0.001,0.0023,0.0065,0.0012,-0.0002,0.0068,-0.0555,0.0004,0.0166,0.0034,-0.003,0.0016,-0.0003,0.0058,0.0066,0.0005,0.0016,0.0008,0.0001,-0.0,-0.0003,0.0,0.0055,-0.0019,0.0002,0.0002,-0.0005,-0.0001,0.0004,0.0011,-0.0002,-0.0001,0.0023,-0.0032,0.0816,0.0001,-0.0002,0.3404,-0.2543,0.0014,0.0016,0.0011,-0.0007,-0.0003,-0.0002,0.0003,0.0049,-0.0081,0.0005,0.5373,0.0258,-0.0857,-0.0018,0.0058,-0.0,0.0008,-0.0007,-0.0011,0.0004,0.0005,-0.0002,-0.008,-0.0002,0.0053,-0.0001,0.0005,0.0013,0.6818,-0.0006,0.0023,-0.0002
{0: [5]},-0.0003,-0.0004,-0.0004,0.0001,-0.0004,0.0004,0.0,-0.0008,0.0,0.0003,0.0018,-0.0003,-0.001,-0.0016,0.0003,-0.0015,-0.0008,-0.0005,-0.0003,0.0032,0.0003,0.0017,0.004,-0.0013,-0.0003,-0.0002,0.0035,0.0035,-0.0002,0.0003,-0.0009,-0.0867,-0.0016,0.001,0.011,0.001,0.0002,0.0001,-0.0004,0.0,0.0018,-0.0003,-0.0003,-0.0004,-0.0001,0.0002,-0.0007,0.209,0.0017,0.0003,-0.0009,-0.0003,-0.0,0.0001,0.001,0.0102,0.0006,-0.0006,-0.0002,-0.0216,0.0078,0.0005,-0.1676,0.0262,-0.0001,0.0,-0.0002,-0.0006,-0.0006,0.0001,-0.0002,-0.0059,0.0033,-0.0003,-0.0003,0.003,-0.0074,0.0016,0.0007,0.0155,0.0027,-0.0002,-0.0006,-0.0,0.0004,0.0001,-0.0006,-0.0001,0.0014,0.0001,-0.0001,-0.0024,-0.0039,-0.0002,-0.0009,-0.0003
{0: [6]},0.0006,-0.0006,0.0001,0.0002,-0.0001,-0.0015,0.0004,0.0008,0.001,-0.0001,0.0002,0.0,0.0006,0.0023,-0.0001,0.0004,-0.0003,-0.0013,-0.0011,0.0001,-0.0007,0.0,0.0009,0.0007,0.0001,-0.0018,0.0006,0.0012,0.0004,0.0001,0.0011,0.4265,0.0001,0.0011,-0.0,0.0003,-0.0002,-0.0002,-0.0005,0.0,0.001,-0.0006,0.0005,-0.0001,-0.0002,-0.0001,-0.0009,-0.0001,0.0007,0.0006,0.0026,0.0006,-0.0001,-0.0005,-0.0001,0.0011,-0.0001,0.0002,-0.008,0.7602,0.0,0.0926,0.1492,0.0361,0.0003,0.0001,0.0006,-0.0002,0.0009,-0.0022,0.0003,0.0002,0.0054,0.0009,0.0262,0.0037,0.0785,-0.0011,-0.0001,0.0008,0.003,0.0004,0.0006,-0.0001,0.0001,0.0001,-0.0017,-0.0002,0.0034,0.0,0.0001,0.0059,0.0186,0.0001,-0.0011,-0.0001
{0: [7]},0.0084,-0.0026,0.0026,0.0012,0.0008,0.0027,0.0001,0.0032,0.0008,0.0006,-0.0006,0.0006,0.0009,-0.0006,0.0003,0.0008,0.0006,0.004,-0.0006,0.0012,0.0002,-0.0003,0.001,0.0004,-0.0005,0.0016,0.0556,0.0009,0.0012,-0.0002,-0.0008,0.6496,-0.0009,0.0015,-0.0004,-0.0004,-0.001,0.0,0.0004,-0.0002,0.0003,0.0005,-0.0011,0.0011,-0.0003,0.0002,-0.0012,0.0001,0.0031,0.0005,-0.0039,0.0,-0.0003,-0.0015,0.0013,-0.001,0.0002,0.0009,-0.0065,0.4205,0.046,-0.0008,0.423,0.0336,0.0005,-0.0003,-0.0004,0.0009,-0.0005,-0.0005,0.0008,0.0008,-0.0092,0.0026,-0.0004,0.0009,-0.0319,0.0009,0.0017,-0.0005,-0.0018,0.0007,-0.0016,-0.0002,-0.0006,-0.0,-0.0001,0.0002,0.0081,0.0001,-0.0011,0.0044,0.0047,-0.0007,0.001,0.0004
{0: [8]},-0.0006,0.0039,0.0033,-0.0001,-0.0004,0.0,0.0015,-0.0003,-0.0002,0.0033,0.002,0.0001,-0.0006,-0.0011,0.0026,0.0005,0.0018,-0.0025,-0.0046,0.0014,-0.0001,0.0001,0.0022,-0.0002,-0.0008,-0.0008,-0.001,0.0001,-0.001,0.0004,-0.0014,-0.118,-0.0007,-0.0024,-0.0071,-0.001,0.0013,-0.0007,-0.0013,0.0004,0.0004,0.0001,-0.0026,0.0007,0.0002,-0.0014,0.4926,0.0004,-0.001,0.0006,-0.0032,0.0009,0.0005,-0.0029,0.0024,0.0003,0.0002,-0.0004,0.0005,0.2805,-0.0003,0.002,-0.111,-0.0347,-0.0003,0.0033,0.0008,0.0006,-0.0005,0.0004,-0.0006,-0.001,-0.0089,-0.0011,0.0057,0.0043,0.0251,-0.0017,0.0058,0.0003,-0.0042,-0.0006,0.0002,0.0,-0.0004,0.0018,-0.0073,-0.0014,-0.9125,0.0009,-0.0002,-0.0411,-0.0112,0.0011,0.0002,-0.0001
{0: [9]},-0.0002,-0.0021,0.0006,0.0002,0.0011,-0.0001,0.0003,0.0004,-0.0001,0.002,0.0026,0.0002,0.0002,0.0023,0.0005,0.0007,0.0011,-0.0002,0.0024,0.0007,0.0002,-0.0002,-0.0014,0.0005,-0.0004,0.0024,0.0006,-0.0045,0.0002,0.0001,-0.002,0.2236,0.0005,-0.0012,-0.0001,-0.0004,0.0009,0.0002,0.0003,-0.0003,0.0003,-0.0,0.0001,0.0004,-0.0001,-0.0003,-0.0008,-0.0,-0.0004,0.0001,-0.0015,-0.0,0.0002,-0.0,-0.0006,-0.0002,-0.0001,0.0001,-0.9589,0.0276,-0.0,0.0002,-0.018,0.0331,0.0002,-0.001,-0.0004,0.0001,-0.0,-0.0016,0.0004,0.0024,-0.0058,-0.0006,-0.01,-0.0002,0.0312,-0.0012,0.0044,0.0004,0.7027,0.0001,-0.0014,-0.0005,0.0023,0.0002,-0.0028,-0.0032,0.01,-0.0,0.0002,0.007,0.6924,-0.0009,0.0018,-0.0002
