,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95
"{2: [0, 1]}",0.0011,-0.0006,0.0033,0.0027,0.0014,0.0014,0.0015,0.0014,0.0005,-0.003,0.0005,0.0017,0.0015,-0.0016,0.0045,-0.0006,-0.0002,0.0014,-0.0015,0.0033,-0.0001,0.0028,0.0011,0.004,0.0009,0.0044,-0.0001,-0.0015,-0.0001,0.0004,0.0005,0.0003,0.0017,0.0061,0.0018,0.0025,-0.0004,0.0025,0.0004,0.0056,0.0004,0.0002,0.001,0.0005,-0.0001,0.0003,-0.001,0.0023,0.0008,0.0014,0.001,0.0005,-0.001,0.0005,-0.0004,0.0015,-0.0003,0.0012,-0.0027,0.0005,-0.0004,-0.0005,-0.0038,0.0017,0.0017,-0.0021,0.0026,0.001,0.0015,-0.0011,0.0026,0.0,0.0014,0.0177,0.0007,-0.0007,-0.004,0.0008,-0.0013,-0.0006,0.0004,0.0008,0.0016,0.0006,-0.0005,0.0002,0.0003,0.0006,-0.0096,0.002,0.0035,-0.0018,0.0024,0.0002,0.0016,0.0011
"{2: [0, 2]}",-0.0009,0.0001,-0.0006,-0.0011,-0.0001,-0.0006,-0.0002,-0.0006,-0.0003,0.0003,-0.0003,0.0003,-0.0008,-0.0016,-0.0007,-0.0002,-0.0006,0.0007,-0.0002,0.0015,-0.0002,-0.0003,-0.0024,-0.0005,0.0001,-0.0004,0.0001,-0.0008,-0.0005,0.0008,-0.0002,0.0003,-0.0012,0.0033,-0.0004,0.0002,-0.0008,0.0007,-0.0017,0.0001,-0.0003,-0.0008,0.0004,0.0,-0.0002,-0.0021,-0.0027,-0.0022,-0.0013,-0.0011,-0.0007,-0.0001,0.0011,-0.0011,-0.0003,-0.0006,-0.0004,0.0002,0.002,-0.0002,0.0003,-0.0002,0.0007,0.0024,-0.0002,-0.0001,-0.0,0.0003,-0.0013,-0.0012,-0.0004,-0.0003,-0.0008,0.009,0.001,0.0002,-0.0036,-0.0011,-0.0011,0.0002,0.0001,0.0001,0.0001,0.0002,0.0001,0.0003,0.0001,0.0004,-0.0008,0.0,-0.0003,0.0,0.0001,0.0,0.0001,0.0002
"{2: [0, 3]}",0.0024,0.0228,-0.0002,0.1586,0.4251,0.0075,0.0143,0.0034,0.0018,0.176,0.0004,0.1212,0.3471,0.0044,0.038,0.0082,0.6461,0.0292,0.0714,0.0262,0.0086,0.1998,0.0048,0.6682,0.3435,0.0181,0.0262,0.0527,-0.0036,0.5127,-0.0004,0.0232,0.5535,0.0322,0.0254,0.0046,0.0006,0.2373,0.0017,0.3901,0.414,0.0295,0.2148,0.0039,0.0039,0.5759,0.0026,0.8035,0.4438,0.0008,0.2839,0.0061,0.0021,0.2715,0.0007,0.815,0.2178,-0.007,0.0043,0.0012,-0.0034,0.0511,0.0017,0.0038,0.0179,0.0748,0.0004,0.1648,0.4221,0.0017,0.034,0.0023,0.5946,0.0777,0.0154,0.1534,-0.004,0.1007,0.0002,0.11,0.3862,0.0011,0.0439,0.0042,0.0013,0.0632,0.0012,0.403,-0.0061,0.0023,0.0964,0.0017,-0.0009,0.1354,0.0006,0.2882
"{2: [0, 4]}",-0.0016,-0.0007,-0.0004,-0.001,0.0001,-0.0007,-0.0004,-0.0007,-0.0006,-0.0065,-0.0005,0.0043,0.0021,0.0009,0.0015,-0.0008,0.0007,-0.0045,-0.0013,0.003,0.0012,0.0022,-0.0017,0.0008,0.0012,0.0046,-0.0004,0.0002,0.0006,0.002,0.0004,-0.0029,0.0004,-0.0003,-0.0003,0.0002,-0.0024,-0.0004,0.0003,0.9615,0.0,-0.0,0.001,-0.0009,0.0006,-0.0008,-0.002,-0.002,0.0024,0.0008,-0.0003,0.0001,0.0105,-0.0006,-0.0012,-0.0006,0.0004,0.0004,0.0004,-0.0001,-0.0,-0.0008,0.0001,0.002,0.0031,-0.0059,-0.0003,0.0004,-0.0006,-0.0005,0.001,-0.0006,0.0009,0.059,-0.0,0.0008,-0.0071,0.0022,0.0009,0.0015,0.0008,-0.0,0.0002,0.0,0.0004,0.0005,0.0001,0.002,-0.0008,0.0003,-0.0006,0.0004,0.0002,0.0005,0.0,0.0011
"{2: [0, 5]}",0.0005,-0.0,0.0001,0.0003,0.0002,-0.0006,-0.0,-0.0003,-0.0001,0.0008,0.0,0.0003,0.0001,-0.0014,-0.0001,-0.0005,0.0013,-0.0003,-0.0006,0.0026,0.0007,0.0012,-0.003,0.0007,0.0011,0.0005,-0.0002,-0.0009,-0.0011,0.0003,-0.0002,0.0008,0.0004,0.0003,-0.0,0.0004,0.0001,0.0025,0.0009,0.0017,0.0004,-0.0025,0.0005,-0.0007,-0.0016,-0.0032,-0.004,0.0019,-0.0013,0.0004,0.0013,0.0,-0.0028,0.0004,-0.0014,0.0008,-0.0001,0.0003,-0.0,0.0004,0.0,-0.0005,-0.0022,0.0012,0.0005,0.0017,-0.0001,0.0001,-0.0003,-0.0007,0.0006,-0.0004,-0.0002,0.0067,0.0016,0.0013,-0.0068,-0.0018,-0.0018,0.001,0.0008,-0.0001,0.0001,0.0002,-0.0002,0.0002,0.0001,0.0004,-0.0023,0.0001,0.0001,0.0042,0.0001,-0.0001,0.0001,-0.0
"{2: [0, 6]}",-0.001,-0.0003,-0.0004,0.0116,0.0,-0.0005,-0.001,0.0042,-0.0,0.0,0.0004,0.0029,0.0001,-0.0011,0.0016,-0.0004,-0.0003,-0.001,-0.002,0.2692,-0.0002,0.0006,-0.005,0.0237,-0.0,-0.0,0.0005,0.0168,-0.0009,0.0,-0.0012,0.0019,-0.0007,-0.0025,-0.001,0.03,-0.0005,-0.0011,-0.0016,0.0133,-0.0004,0.0003,-0.0003,0.9626,-0.001,-0.0021,0.0056,0.2871,-0.001,-0.0009,-0.0017,0.9514,-0.0011,-0.0006,-0.0021,0.9456,-0.0002,0.0005,0.0043,-0.0001,-0.0,0.0003,-0.0006,-0.0306,-0.0,0.0006,-0.0002,0.0161,-0.0005,-0.0007,-0.0023,-0.0027,-0.0008,0.0005,-0.0013,-0.0011,0.001,-0.001,-0.0075,0.9537,0.0003,0.0001,0.0012,0.0067,-0.0,0.0001,0.0005,0.03,0.0005,0.0002,-0.0005,0.0013,0.0003,0.0007,0.0014,-0.0
"{2: [0, 7]}",0.002,-0.0009,0.0005,0.002,0.0015,0.0007,0.0009,0.0019,0.004,-0.0019,0.0004,0.0056,0.0015,-0.0009,0.0021,0.0009,0.0007,-0.0025,-0.0009,0.0043,0.0013,0.0018,-0.0004,0.0006,0.0015,0.0005,-0.0001,0.0008,0.0005,0.0017,-0.0006,0.0002,0.0011,0.0022,-0.0007,0.0027,0.0013,0.0001,0.0001,0.0024,0.0026,-0.0017,-0.0002,0.0002,-0.0,-0.0032,-0.0019,0.0048,0.0006,0.0007,-0.0007,0.0011,-0.0001,-0.0024,-0.0005,0.0013,0.0008,0.0027,-0.0011,0.0011,0.0007,0.0015,-0.0013,-0.0094,0.0055,-0.0003,0.0004,0.0028,0.0016,-0.0007,0.0017,-0.0002,0.0032,0.0742,0.0009,0.0147,-0.0007,0.0037,0.0029,0.0045,0.0008,0.0003,-0.0006,0.0008,0.0009,0.0005,0.0002,0.0007,-0.0022,0.0001,-0.0008,0.001,0.001,0.0007,0.0004,0.0007
"{2: [0, 8]}",0.0023,0.0042,-0.0002,-0.0005,-0.0001,0.0529,0.0,-0.0008,0.0037,-0.011,0.0003,-0.0005,-0.0002,0.0174,-0.0006,-0.0005,-0.0011,0.3394,-0.0003,0.0003,0.0005,0.4816,-0.0022,-0.001,-0.0,0.1347,-0.0005,-0.0024,-0.0062,0.1301,-0.0006,-0.0001,-0.0027,0.2637,-0.0003,-0.0027,0.0027,0.0426,-0.0017,-0.0001,-0.0009,0.8617,0.0007,0.0,-0.0015,0.9441,-0.0015,-0.0006,-0.001,0.4282,-0.0,-0.0004,-0.0013,0.6288,-0.0008,-0.0013,-0.0005,0.2354,0.0046,-0.0004,-0.0007,0.014,-0.0005,0.0092,0.002,-0.0057,-0.0001,-0.0003,-0.0007,0.0295,-0.0001,-0.0004,0.0006,0.9629,-0.0006,-0.0014,0.0015,0.9678,-0.0008,-0.0013,0.0003,0.0824,-0.0001,-0.0003,0.0001,0.1546,-0.0001,-0.0003,-0.0006,0.0144,0.0,0.0008,-0.0003,0.447,-0.0002,0.0002
"{2: [0, 9]}",-0.0012,-0.0001,0.0012,-0.0007,-0.0007,0.0036,0.0026,0.0013,-0.0005,-0.0009,0.0005,0.004,-0.0005,-0.0003,0.0057,0.0006,-0.0012,-0.0034,0.0034,0.004,0.0011,0.0062,-0.0022,0.0052,0.0007,0.0028,0.0002,0.0022,0.0051,-0.0017,0.0001,0.0039,-0.0006,0.0023,0.0032,0.0037,0.004,0.0007,0.0039,0.0179,-0.0007,0.0019,0.0004,0.0007,0.0022,-0.0049,-0.0033,0.0016,-0.0007,0.0008,0.001,0.0008,0.0187,-0.0009,0.0003,-0.0001,-0.0004,-0.0003,0.0013,0.0006,0.0018,0.0011,-0.0081,-0.0015,0.0013,0.0005,0.0003,0.0006,-0.0007,-0.0013,0.006,0.0009,-0.0004,0.684,0.0071,0.0044,-0.005,0.0099,0.0032,0.0004,-0.0009,-0.0005,0.0014,-0.0007,-0.0003,0.0001,-0.0003,0.0001,-0.0007,-0.0002,0.0016,-0.0019,0.0002,-0.0007,0.0002,0.0001
"{2: [0, 10]}",-0.0032,-0.0019,0.0041,-0.0001,0.0011,-0.0009,0.0022,-0.0002,-0.0028,0.0095,0.0021,0.0009,0.0023,-0.0023,0.007,-0.0003,0.0083,0.0062,0.0004,0.0007,0.0022,0.0455,0.0102,-0.0006,0.0048,0.0011,0.0046,-0.0,0.0087,0.0054,0.0025,0.0,0.0036,-0.0054,0.9357,-0.0011,0.9549,0.0058,0.0013,-0.0002,0.0235,0.0058,0.0007,-0.0001,-0.0036,0.4604,0.0174,-0.0002,0.0171,0.0007,-0.0006,-0.0006,-0.0005,0.0339,0.0046,-0.001,0.0013,0.0063,0.0001,-0.0003,0.0003,0.0116,-0.0017,0.0045,0.004,0.0021,0.0035,0.0004,0.0091,0.0004,0.0007,-0.0,0.0042,0.3448,0.0266,-0.0016,-0.0323,0.0813,0.0079,-0.0005,0.0007,0.0003,0.001,-0.0002,0.0004,0.0068,0.0037,-0.0,-0.001,-0.0005,0.0003,0.0001,0.0018,0.0444,0.0042,0.0004
