,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239
{0: [0]},0.0,-0.002,-0.0006,0.0003,-0.0007,0.001,-0.0008,-0.0003,0.0012,0.0012,-0.0002,0.0,-0.0,-0.0022,-0.0005,0.0005,0.0006,-0.0008,0.0002,-0.0004,0.0021,0.0,0.0,0.0006,0.0037,0.0002,-0.0011,0.0,0.0026,0.0018,0.0003,0.0062,0.0011,-0.001,-0.0004,0.0002,0.0006,0.0019,0.0003,0.0009,0.001,0.0001,0.0004,0.0002,0.0005,-0.0015,-0.0002,0.0062,0.0024,0.0009,0.0017,0.0005,0.0127,0.0004,-0.0006,0.0467,0.0011,-0.0019,-0.0005,-0.0001,0.0022,0.0025,-0.0002,-0.0012,0.0003,-0.0023,0.0,-0.0001,-0.0003,-0.0021,-0.001,0.0013,0.002,0.0164,0.003,0.0011,0.0041,0.0008,0.0004,0.0067,0.0036,0.0003,-0.0005,0.0004,0.0027,0.0052,-0.0003,0.0063,0.0027,0.0073,-0.0009,-0.0004,-0.0012,-0.0009,0.0003,0.0006,0.0021,-0.0002,0.8414,0.0004,0.0009,0.005,-0.0003,-0.037,0.0005,0.0006,0.0015,-0.0001,-0.0006,-0.0019,-0.0001,0.0048,0.0015,0.0013,-0.0002,-0.0011,-0.0002,-0.0,0.0003,0.0028,0.0006,-0.0022,-0.0012,0.0005,0.001,0.0007,0.0001,0.0008,0.0025,-0.0019,-0.0005,0.0002,-0.0008,0.0032,0.0,0.0026,0.0015,-0.0008,-0.0002,-0.0002,0.0052,-0.0029,-0.0,0.0007,0.0005,0.005,0.002,-0.0001,0.0078,0.3638,0.0002,-0.0003,0.0008,0.0001,0.0061,-0.0001,0.0007,-0.0048,-0.0002,0.0083,0.0013,0.0003,0.0055,-0.0003,-0.0006,-0.0002,0.0001,0.0021,0.0054,-0.0033,0.0036,0.0068,0.2157,0.0045,0.0024,0.0015,0.0004,-0.0018,-0.0004,0.0003,0.0017,0.0034,-0.0001,0.0035,0.0013,-0.0003,0.0001,-0.0,-0.0023,-0.0003,-0.0,0.0126,0.0012,0.0019,0.0006,0.0004,0.0001,-0.0015,0.0001,0.0038,0.0001,-0.009,0.0,-0.0003,-0.0042,0.0058,0.0001,0.0015,0.0001,-0.0008,0.0002,0.0001,-0.0006,-0.0005,-0.0029,-0.0012,-0.0004,0.0005,-0.0,-0.0002,-0.0003,-0.0002,0.0003,0.0,-0.0034,0.0004,-0.0004,0.0002,0.0045,0.002,-0.0008,-0.0005,-0.0001,0.0006,0.0011,-0.0,0.0052,0.0009,-0.0006,-0.0012
{0: [1]},0.0007,0.0002,0.0007,0.0003,0.0001,-0.0,0.0004,0.0006,0.0,0.0006,-0.0005,0.0002,0.0004,0.0001,-0.0005,0.0009,0.0005,0.0003,-0.0,0.0002,-0.0,-0.0001,0.0003,-0.0005,0.0001,0.0008,-0.0008,-0.0001,0.0002,-0.0007,-0.0001,-0.0002,-0.0002,-0.0008,0.0017,0.001,-0.0004,0.0003,0.0005,0.0016,-0.0002,0.0004,-0.0004,-0.0001,0.0002,-0.0002,-0.0002,0.0013,0.0016,0.002,0.0021,0.0,-0.0011,0.0009,-0.0001,0.0088,0.0004,0.0007,0.0015,0.0002,0.0001,0.0011,0.0002,0.0011,0.0001,-0.0035,-0.0002,0.0,0.0018,-0.0002,0.0006,0.0016,0.0011,0.0007,0.0008,0.0006,0.0003,0.0002,-0.0001,0.0063,0.0016,0.0009,0.0008,0.0006,0.0007,0.0011,0.0001,0.0002,-0.0004,-0.0002,-0.0006,-0.0002,0.0004,-0.0002,-0.0005,0.0004,0.001,0.001,0.0005,-0.0001,0.0003,0.0001,-0.0002,0.0182,-0.0002,0.001,0.0003,-0.0001,0.0,0.0001,-0.0001,0.0003,-0.0013,0.0014,-0.0006,0.0,-0.0,-0.0003,-0.0003,0.0009,0.0007,0.0007,0.0024,0.0002,0.0003,0.0008,0.0001,0.0008,-0.0,0.0011,0.0018,0.0003,0.0003,-0.0004,-0.0,0.0022,-0.0006,0.0007,0.0023,0.0002,0.0022,-0.001,-0.0001,0.0012,-0.0001,0.0014,0.001,0.0005,0.0029,0.0019,-0.0002,0.0018,0.0002,0.0005,-0.0005,-0.0001,-0.0001,-0.0013,-0.0001,0.0047,0.0001,0.0002,0.0002,0.0003,0.0002,-0.0001,-0.0002,0.004,0.0026,-0.0044,0.0279,0.0013,0.0283,0.0002,0.0003,0.0015,0.0005,0.001,0.0068,0.0002,0.0003,0.0012,0.0001,-0.0002,0.0004,0.0003,0.0013,0.0001,0.0002,-0.0001,-0.0002,0.0038,-0.0,0.0012,0.0002,0.0002,0.0006,-0.0,-0.0,0.0023,-0.0001,-0.005,-0.0003,-0.0001,0.0018,0.0002,-0.0004,0.0013,-0.0,0.0008,0.0048,0.0009,0.0002,0.0004,0.038,0.008,0.0004,0.0011,0.0006,0.0001,-0.0009,0.0001,-0.0002,-0.0016,0.0003,0.0007,0.0012,0.0002,-0.0001,0.0013,0.0001,0.004,0.0011,0.0017,0.0009,0.0004,0.0004,-0.0008,0.0,0.0019
{0: [2]},-0.0002,0.0002,0.0001,-0.0005,0.0008,-0.0002,-0.0,-0.0001,-0.0011,-0.0001,-0.0004,0.0005,0.0002,-0.0014,0.0005,-0.0016,0.0012,0.0014,0.0014,0.0003,0.0,0.0003,-0.0004,-0.0032,0.0005,0.0029,-0.0029,-0.0,-0.0003,-0.0004,0.0001,-0.0045,0.0004,0.0022,0.0015,0.001,-0.0002,0.0028,-0.0002,-0.0001,0.0003,0.0012,-0.0024,0.0004,0.0001,0.0002,-0.0002,-0.0038,0.001,-0.0002,0.0019,0.0002,-0.0037,0.0045,-0.0004,-0.0137,0.0028,0.0018,0.0001,0.0004,0.0003,-0.0039,-0.0001,-0.0085,-0.0002,-0.0031,-0.0,0.0006,0.0002,-0.001,0.0004,-0.003,-0.0004,0.0154,0.004,-0.0005,-0.0009,-0.0001,0.0001,-0.0096,0.0032,0.0033,0.0011,0.0002,-0.0057,-0.0036,0.0004,-0.0072,-0.0006,0.003,-0.0015,0.0009,-0.0008,-0.0003,0.0011,-0.0005,-0.0045,0.0019,-0.0001,0.0003,-0.0005,-0.0004,0.0,-0.0729,0.0001,0.0008,-0.0002,-0.0002,-0.0012,0.0005,-0.0001,-0.0033,-0.0009,0.0007,-0.0035,-0.0008,-0.0009,0.0029,-0.0001,-0.0055,0.0004,0.0002,0.0002,-0.0001,-0.0012,-0.0011,0.0003,-0.0031,0.0018,0.0012,0.0005,0.0008,-0.0007,0.0003,0.0002,-0.005,0.0001,0.001,0.002,0.0002,0.0007,-0.0019,0.0006,-0.0036,-0.0001,0.003,0.0004,0.0001,0.0003,0.0038,0.0002,-0.002,-0.0007,0.0015,-0.0002,-0.0,-0.0002,-0.0034,-0.001,-0.005,-0.0,0.0012,-0.0007,0.0,-0.0003,-0.0011,-0.0004,0.001,0.0084,0.0036,-0.0034,0.002,0.0586,0.0013,0.0002,0.0007,0.001,-0.0003,0.0004,0.0004,-0.0003,0.0007,0.0003,-0.0005,0.0005,0.0003,-0.0002,0.0008,-0.0012,-0.0014,0.0001,-0.0021,-0.0002,-0.0016,-0.0002,0.0007,-0.001,-0.0005,0.0005,-0.0026,0.0,-0.0082,0.0,0.0001,-0.0043,0.0016,-0.0001,-0.0024,0.0002,-0.0057,0.0005,0.0015,-0.0011,-0.0014,-0.0032,-0.0027,0.0009,0.0012,0.0001,0.0001,-0.0024,0.0005,-0.0004,-0.0009,0.0019,0.0021,0.0001,0.0008,-0.0027,-0.0018,0.0008,-0.0034,0.0006,0.0008,0.0012,0.0006,-0.002,-0.0038,-0.0003,-0.0034
{0: [3]},0.0001,-0.001,0.0004,-0.0007,0.0015,-0.0002,-0.0001,-0.0007,0.0006,0.0024,0.0083,0.0001,0.0006,-0.002,-0.0015,-0.0023,-0.0001,0.0002,0.0009,-0.0012,0.0013,0.0003,-0.0001,0.0002,0.0001,-0.0002,0.8436,0.0001,0.0008,-0.0021,0.0002,0.0196,-0.0004,-0.0011,0.0059,-0.0001,0.0024,0.002,0.0002,0.0055,0.0013,-0.0,0.8699,0.0001,0.0007,-0.0004,-0.0012,0.0217,-0.0002,0.0006,0.0222,0.0006,-0.0008,-0.0025,0.005,0.049,-0.0006,-0.0003,0.0009,-0.0004,0.0046,-0.0017,-0.0,-0.0028,0.0003,0.0016,-0.0014,-0.0001,0.0023,-0.0002,-0.0003,0.0004,-0.0004,-0.001,0.0044,0.0032,0.001,-0.0006,-0.0012,0.0352,-0.0012,-0.0007,0.001,-0.0008,0.0043,-0.0022,0.0005,0.0076,0.0014,0.0044,0.0006,-0.0008,0.0013,0.0017,0.0005,-0.0005,0.0036,-0.0001,0.8448,0.0006,0.0011,0.0015,-0.002,-0.0781,0.0003,0.001,0.8377,-0.001,0.0012,0.001,-0.0006,0.0016,0.0002,-0.0005,0.8192,-0.0008,0.0006,-0.0015,-0.0011,-0.005,-0.0005,-0.0006,-0.0005,-0.001,0.0017,-0.0001,0.0007,0.0015,-0.001,0.0008,0.001,-0.0008,0.0028,0.0008,0.0008,0.0028,-0.0009,-0.001,0.0005,-0.0004,0.0039,0.0013,-0.0001,0.0035,0.0001,-0.0004,0.0031,-0.0014,0.0068,-0.001,-0.0004,0.015,0.0009,-0.0002,0.875,-0.0003,0.0007,-0.0011,-0.0006,0.0119,0.0,0.0007,0.8463,0.0003,0.0005,0.0006,-0.0006,0.0052,-0.0033,0.0055,0.0324,0.0003,-0.0267,0.0053,0.0018,0.0284,-0.0001,0.0002,0.0001,0.0001,0.0025,0.0028,0.0013,0.0006,0.0005,-0.0,0.0005,0.0,0.0004,-0.0005,-0.0005,0.0007,-0.0001,-0.003,0.0022,-0.0004,0.0012,-0.0012,-0.0001,0.0076,0.0004,0.0006,-0.0013,0.0001,0.0035,0.0025,-0.0004,-0.0009,-0.0002,0.0012,0.0009,-0.0006,0.0001,0.005,-0.0126,-0.0032,-0.0001,-0.0002,0.0029,-0.0008,0.0008,-0.0011,0.0003,-0.0025,-0.0011,-0.0003,0.0034,-0.0003,0.0006,0.0004,-0.0007,-0.0019,-0.001,-0.0017,0.0057,-0.0008,0.002,-0.0059,-0.0006,0.0007
{0: [4]},0.0004,0.0014,0.0016,0.0009,0.0004,0.0012,0.0005,0.0017,0.0007,0.0037,-0.0005,0.0009,-0.0005,0.0014,0.002,0.0004,0.0003,0.0004,0.0003,0.0002,0.001,0.0005,-0.0001,-0.0016,-0.0002,0.0024,0.0093,-0.0,0.0003,0.0016,-0.0001,0.0042,0.0009,0.0004,0.0007,0.0009,-0.0,0.0032,0.0006,0.0018,0.0013,0.0011,0.0017,0.0013,-0.0001,0.0006,-0.0005,0.0127,-0.0011,0.0041,0.0006,0.0004,-0.0019,0.0027,-0.0003,-0.0062,0.0008,-0.0002,0.0005,0.0004,0.0011,-0.0001,0.0004,-0.0042,0.0005,-0.0002,-0.0009,0.0005,-0.0007,0.0015,0.0011,0.0044,0.0041,0.0218,0.001,0.0052,0.0016,0.0021,0.0018,0.0069,0.0014,0.0026,0.0004,0.0014,0.0005,-0.0026,-0.0006,-0.003,0.0032,0.0197,0.0006,-0.0002,-0.0009,0.0002,0.0001,0.0006,0.0019,0.0008,0.0072,0.0004,0.0005,0.0006,-0.0005,-0.0365,-0.0001,0.0017,0.002,-0.0008,0.0003,0.0006,-0.0006,0.0031,0.0029,0.0018,0.0052,-0.0013,0.0004,-0.0003,-0.0011,0.0166,0.0004,-0.0,-0.0002,0.0,0.0011,-0.0002,0.0,-0.002,0.0031,0.0019,-0.0003,0.0009,0.0007,-0.0025,-0.0001,-0.0035,0.0011,0.0008,-0.0012,0.0007,0.0014,-0.0067,-0.0001,-0.0019,0.0003,0.0011,-0.0004,0.0011,0.0039,0.0608,-0.0003,0.0004,-0.0,0.0012,0.0003,0.0007,0.0004,0.0009,-0.001,0.0057,0.0002,0.0008,0.002,0.0004,0.0007,-0.0001,0.0003,0.0029,0.0624,-0.007,-0.002,0.006,0.142,-0.0002,0.0016,0.0022,0.0019,-0.0003,-0.001,0.0008,0.005,-0.0014,0.0005,0.0005,0.0015,0.0007,-0.0002,0.0002,-0.0002,0.0028,0.0006,0.0076,0.0004,0.0045,-0.0003,0.0007,-0.0002,0.002,0.0007,0.0016,0.0014,-0.0118,0.0004,0.0015,-0.0028,0.0016,0.0009,0.0134,0.0002,0.0074,-0.0019,0.0,0.0005,-0.0009,0.0102,0.023,0.002,0.0016,0.001,0.0001,-0.0018,0.0011,-0.0008,0.0033,0.0014,0.0003,0.002,0.0003,0.0016,0.0065,-0.0016,0.0025,0.0008,0.0001,0.002,0.0002,-0.0015,0.0036,-0.0005,0.0017
{0: [5]},-0.0003,-0.0004,-0.0004,0.0001,-0.0004,0.0004,0.0,-0.0008,-0.0,-0.0002,-0.0003,-0.0001,-0.0004,0.0001,0.0007,-0.0007,-0.0004,-0.0002,0.0011,-0.0,-0.0012,-0.0004,-0.0004,0.0004,0.0006,0.0001,-0.0016,-0.0,-0.0002,-0.0009,0.0,0.0149,-0.0001,-0.0014,-0.0003,0.0005,-0.0012,-0.0002,0.0002,0.0071,-0.0004,-0.0004,-0.0002,-0.0002,-0.0002,0.0007,-0.0003,0.014,-0.0018,-0.0005,0.0017,0.0001,-0.003,-0.0004,0.0003,0.1762,-0.0015,-0.0,0.0014,0.0003,-0.0017,-0.0012,0.0002,-0.0025,-0.0001,0.0013,-0.0005,-0.0,-0.0012,0.0003,-0.0002,-0.0015,-0.0008,-0.0013,0.0038,-0.0011,-0.0002,-0.0001,-0.0001,0.0058,-0.0017,0.0005,0.0007,0.0003,-0.0041,-0.001,0.0003,0.0985,-0.0001,-0.0044,-0.0013,-0.0004,0.0,-0.0003,0.0006,-0.0001,-0.0017,-0.001,0.002,0.0003,0.0,0.0005,-0.0004,-0.0293,0.0,-0.0006,-0.0003,-0.0001,-0.0004,0.0004,-0.0001,0.0186,-0.0,-0.0005,-0.002,-0.001,-0.0004,0.0001,-0.0003,0.0013,-0.0006,0.0002,0.0015,0.0002,-0.0008,-0.0001,0.0004,0.0342,-0.0009,0.0003,0.0034,0.0004,-0.0021,-0.0002,0.0003,0.0454,-0.001,0.0003,0.0042,0.0002,-0.0007,-0.0045,0.0001,0.0324,-0.0007,0.001,0.0038,0.0003,0.0004,0.0005,-0.0001,0.1765,-0.0004,0.0002,0.0001,-0.0003,-0.0,-0.0007,-0.0003,0.0094,0.0002,-0.0,-0.0002,-0.0,-0.0002,-0.0009,-0.0001,0.0053,-0.0064,0.0018,-0.0022,0.0011,-0.0087,-0.0005,0.0015,0.0028,-0.0004,0.0015,0.0045,0.0005,-0.0032,0.0007,0.0004,0.0001,0.0003,-0.0001,0.0002,0.0001,-0.0022,-0.0002,0.0001,0.0344,-0.0003,0.0007,0.0,0.0,-0.0013,-0.0008,0.0002,0.0084,-0.0002,-0.0101,-0.0001,0.0002,-0.0009,-0.0005,-0.0001,-0.0034,-0.0002,0.0007,0.002,-0.001,0.0001,0.0023,-0.0093,-0.0012,-0.0004,-0.0012,0.0006,0.0001,-0.0019,0.0,0.0,-0.0037,-0.0023,-0.0009,-0.0002,-0.0001,-0.0016,-0.0006,0.0001,0.0019,-0.0004,-0.0016,0.0008,-0.0002,-0.0005,-0.0031,0.0002,-0.001
{0: [6]},0.0006,-0.0006,0.0001,0.0002,-0.0001,-0.0015,0.0004,0.0008,0.0036,0.0014,0.0001,-0.0003,-0.0011,0.0,0.0008,-0.0002,0.0029,0.0001,-0.0002,0.0005,0.0016,0.0036,0.0001,-0.0004,0.0029,-0.0004,-0.0028,0.0002,0.0013,0.004,-0.0,0.0027,-0.0003,-0.0004,-0.0005,0.0001,0.002,0.0024,0.0005,-0.0005,0.0026,0.0002,-0.0025,0.0003,0.0015,-0.0,-0.0,0.0017,0.0088,0.0,-0.0012,0.0003,0.0001,0.0022,0.0007,0.0052,0.0041,0.0001,-0.0012,0.0002,0.0014,0.0018,0.0,0.0011,0.0012,0.0078,-0.0,0.0001,-0.0009,-0.0003,-0.0,0.0003,0.0061,-0.0021,0.0004,-0.0005,-0.001,0.0009,0.0002,0.0051,0.0039,-0.0001,-0.0017,0.0005,0.0052,0.0013,-0.0,0.0007,0.008,0.0003,0.0011,-0.0007,-0.0024,0.0006,0.0014,-0.0004,0.007,-0.0004,-0.0001,0.0004,0.0014,0.0008,-0.0002,0.0482,0.0031,-0.0003,-0.0006,0.0002,0.001,0.002,0.0001,0.0022,0.0038,-0.0007,-0.0042,-0.0009,0.0007,0.0025,0.0001,0.003,0.0081,0.0,-0.0008,-0.0002,0.0007,0.0011,0.0001,0.0002,0.0063,0.0004,-0.0002,0.0001,0.0001,0.0007,0.0001,0.0007,0.0044,-0.0004,0.0008,0.0001,0.0015,0.0075,0.0003,0.0003,0.0009,-0.0002,0.0,0.0007,-0.0001,0.0043,0.0003,0.0022,0.0062,-0.0002,-0.0004,0.0001,0.0013,0.0011,-0.0002,0.0026,0.0039,-0.0,-0.0021,0.0,0.0006,-0.0002,0.0,0.0047,0.0052,-0.0029,0.0133,0.0023,0.0599,0.0009,0.0008,-0.0004,0.003,-0.0003,-0.0027,0.0005,0.0004,0.0135,-0.0,-0.0001,0.0034,0.0001,0.0003,0.0,-0.002,0.0012,0.0003,0.0135,0.0019,-0.0016,0.0001,-0.0001,-0.0014,0.0017,0.0002,0.0029,0.0029,-0.0087,-0.0002,0.0002,0.0008,-0.0006,0.0002,0.0028,0.0001,0.0378,0.0017,0.0013,0.0006,-0.0006,0.0095,0.0025,-0.0005,0.0006,0.0001,0.0002,0.0038,0.0004,0.0004,-0.0027,0.005,0.0006,0.0001,0.0001,0.0035,0.0011,0.0001,0.0006,0.0015,-0.0001,-0.0001,-0.0,0.0032,0.0023,0.0001,0.0
{0: [7]},0.0084,-0.0026,0.0026,0.0012,0.0008,0.0027,0.0001,0.0032,0.0014,0.0016,0.0007,0.0014,0.0012,-0.0021,0.0025,0.0015,0.0027,0.0008,0.0021,0.0011,0.0015,0.0144,-0.0002,0.0001,0.0043,-0.0005,0.0033,0.0015,-0.0,0.0081,-0.0001,-0.0011,0.0026,-0.0008,0.0082,0.0008,0.0021,0.0013,0.0019,0.0091,0.0067,0.0015,-0.0009,0.0031,0.0016,0.0041,0.0007,0.0064,0.0044,-0.0015,0.0137,0.0008,0.0073,0.0071,0.0008,-0.004,0.0007,-0.0015,0.0083,0.0015,0.0069,0.004,-0.0006,-0.0049,0.002,-0.0042,0.0003,0.0003,0.0025,-0.0004,0.0022,0.0017,0.0144,0.0158,0.001,0.0035,0.0016,0.002,-0.0001,0.016,0.0049,0.0006,0.0073,0.0007,0.0107,0.0042,-0.0001,0.0025,0.0059,0.0011,-0.0003,0.0024,0.0015,-0.0011,0.0006,0.0007,0.0019,-0.0017,0.0666,0.0017,0.0005,0.0042,-0.0004,-0.0328,0.0034,0.0008,0.0033,0.0005,0.0021,0.0013,0.0001,0.0083,0.0048,0.0024,0.0052,0.0011,0.0018,0.0012,-0.0005,0.0164,0.0059,-0.0018,0.0095,0.0008,0.003,0.0059,0.0002,-0.0019,0.0048,-0.0015,0.0046,0.0008,0.0056,0.005,-0.0001,0.0028,0.0017,-0.0007,0.0065,0.0013,0.0038,0.0014,-0.0004,0.0037,0.0013,0.0025,0.0014,0.0058,0.0126,0.0051,-0.0001,0.0066,0.0069,0.0005,0.0016,0.0032,0.0017,0.0006,-0.0005,-0.0011,0.0041,-0.0,0.0035,0.0013,0.0009,0.001,-0.0001,0.0066,0.004,0.0032,0.0011,0.0025,0.0166,-0.0011,0.0016,-0.0005,0.0021,-0.0012,0.0051,0.0008,0.0033,0.0044,0.0009,0.0009,0.001,-0.0001,0.0023,0.0006,0.0005,0.0014,0.0011,0.0083,0.0012,0.0007,0.0011,0.0004,0.0031,0.0004,0.0005,0.0072,0.0047,0.0099,-0.0009,0.0,0.0057,0.0014,-0.0008,0.0076,0.0,-0.0007,0.0026,0.0007,-0.0009,0.0006,0.0251,-0.0014,0.0013,-0.002,0.0011,0.0002,0.007,0.0004,0.0005,0.0155,0.0058,-0.0014,0.0035,0.0003,0.0051,-0.001,-0.0005,0.0058,0.0015,-0.0032,0.0018,0.0004,0.0027,-0.0028,-0.0004,0.0081
{0: [8]},-0.0006,0.0039,0.0033,-0.0001,-0.0004,0.0,0.0015,-0.0003,-0.0016,0.0233,0.4507,0.0004,-0.0006,-0.0013,0.0014,0.0004,-0.0002,-0.0002,0.0052,0.0012,-0.0012,-0.002,0.0172,-0.0011,0.0004,-0.002,0.8743,0.0005,-0.001,0.0002,0.0001,-0.0033,0.0006,0.0079,0.0074,0.001,-0.0013,-0.0006,0.0029,0.0026,0.0006,0.0,0.8997,-0.0001,-0.001,-0.0011,0.0006,0.0045,0.0023,-0.0039,0.011,0.0002,-0.0046,-0.0021,0.0085,0.0149,-0.0001,-0.0018,0.0041,0.0004,-0.0009,-0.0045,-0.0003,-0.0076,-0.0001,0.0183,0.1794,0.0003,-0.0018,-0.0035,0.0009,-0.0014,0.0012,0.0446,0.6969,0.0004,-0.0005,-0.0011,-0.0014,0.0079,-0.0013,0.0036,0.0031,0.0005,-0.006,-0.0033,0.0134,0.0062,-0.0007,0.0236,0.0022,0.0009,-0.0013,0.0007,0.0029,-0.0003,0.0005,-0.0025,0.876,0.0011,-0.0014,0.0021,0.0015,-0.0055,0.0005,-0.0012,0.8811,0.0002,-0.0019,-0.0005,-0.0006,0.0075,0.002,-0.0016,0.8654,0.0001,-0.0014,-0.0024,-0.0014,-0.0006,0.0005,-0.001,0.0041,0.0001,-0.0013,0.0002,0.0004,-0.0007,0.0002,0.0093,0.0022,0.0003,-0.0019,-0.0018,0.0004,-0.0014,0.0003,0.0032,0.0122,0.0003,-0.0011,-0.0078,0.0044,0.0022,-0.0,0.0019,0.0045,-0.0004,-0.0008,-0.0023,0.0022,0.0051,0.0013,-0.0003,0.9041,0.0001,-0.001,-0.0012,-0.0007,-0.0003,0.0005,0.0,0.8874,0.0005,-0.001,-0.001,0.0011,-0.007,-0.0038,0.0028,0.0086,-0.0007,0.0325,0.0005,0.8386,0.0005,0.0004,0.0019,0.004,0.0002,-0.0021,0.005,0.0119,0.0088,0.0008,0.0037,0.015,0.0004,-0.0021,0.0053,-0.0002,0.0221,-0.0004,0.001,0.1226,-0.0001,-0.0004,-0.0026,-0.0006,0.007,-0.0005,-0.0188,0.5859,-0.0001,-0.0009,-0.0008,-0.0003,0.0009,-0.0003,0.1973,0.011,0.0012,0.0003,0.0071,0.0529,0.053,0.0002,-0.0006,0.0063,0.0005,-0.0029,-0.0008,-0.0,-0.0039,-0.0009,-0.0021,0.0053,0.0003,-0.0015,-0.0018,-0.0005,-0.004,0.0002,-0.0008,0.0049,0.0002,-0.001,-0.0008,-0.0016,-0.006
{0: [9]},-0.0002,-0.0021,0.0006,0.0002,0.0011,-0.0001,0.0003,0.0004,-0.0002,0.0037,0.0009,0.001,-0.0001,0.001,-0.0006,0.0001,0.0001,-0.0017,0.0033,0.0005,0.0003,-0.0007,0.0002,0.0024,-0.0001,-0.0002,0.0065,0.0001,0.0002,0.0013,-0.0005,0.0041,-0.0002,0.0023,0.0035,0.0008,0.0009,-0.0003,-0.0003,0.0011,0.0,0.0005,0.0028,-0.0,0.0002,0.0011,0.0002,0.0031,-0.0002,0.0006,0.0091,0.0001,-0.002,-0.0002,-0.001,0.0024,-0.0011,-0.0018,0.0047,0.0006,0.001,-0.0018,0.0005,0.0105,0.0001,0.0014,0.0018,0.0003,0.0009,0.0006,0.0005,0.0019,0.001,0.0106,0.0036,-0.0,0.0004,-0.001,-0.001,0.0041,-0.0001,-0.0008,0.0058,0.0002,-0.0001,-0.0036,-0.0001,0.0094,0.0001,0.0103,0.0007,0.0011,-0.0002,-0.0005,0.0002,0.0014,0.0004,-0.0005,0.0019,0.0002,0.0003,0.0001,-0.0012,0.0399,0.0002,-0.0,0.0022,-0.0,-0.0005,0.0007,-0.0004,0.0015,0.0016,0.0001,0.0037,0.0004,0.0002,0.0038,-0.0006,0.0016,0.0006,-0.001,0.0059,0.0003,0.0003,-0.0004,0.0005,0.0043,-0.0004,-0.0003,0.0082,0.0003,0.0004,0.0009,0.0002,0.0041,-0.0002,-0.001,0.0065,0.0004,0.0013,-0.0019,-0.0001,0.0022,-0.0001,0.002,0.0088,-0.0002,-0.0015,0.0072,-0.0002,0.0049,0.0007,0.0002,0.0021,-0.0001,0.0002,0.0014,-0.001,0.0014,0.0,0.0001,0.0044,-0.0001,-0.0002,-0.0,-0.0,0.0044,0.0059,-0.0026,-0.0037,0.0008,-0.0164,0.0006,0.0,0.0002,0.0002,0.0005,0.0018,0.0009,0.0005,0.0008,0.0004,0.001,0.0004,0.0012,0.002,0.0003,0.0003,0.0022,0.0002,0.0058,-0.0002,0.0051,0.0023,-0.0001,0.001,0.0003,-0.0001,0.0018,0.0001,-0.0132,0.0003,0.0001,0.0041,0.0003,-0.0001,0.0013,0.0007,0.0352,-0.0026,0.001,-0.0008,0.0003,0.0116,-0.0004,-0.0,0.0005,-0.0003,0.0004,0.0031,0.0002,-0.0005,0.003,0.0002,0.0005,0.0003,0.0002,-0.0005,-0.0015,-0.0009,0.0069,0.0005,-0.0012,0.0012,0.0008,0.0,-0.0012,-0.0003,0.0039
