,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151
"layer2_cell_[0, 1]",0.0003,-0.0012,0.0027,0.0022,0.0003,-0.0002,0.0011,0.0016,0.0005,-0.0004,0.0027,0.0004,0.0006,-0.0003,0.0009,0.0002,0.0008,0.0002,0.0014,0.0003,-0.0,0.0016,0.0015,0.0003,0.0015,0.0007,0.0026,0.0009,0.0006,0.0016,0.0013,0.0008,0.0011,-0.0,0.0032,0.0008,0.0006,-0.0,0.0005,0.0008,0.001,0.0004,0.0048,0.0009,0.0016,-0.0007,0.0007,0.0008,0.0007,-0.0009,0.0019,0.0011,0.0014,-0.001,0.0004,0.0007,0.0019,-0.0011,0.0023,-0.001,0.0014,0.0006,0.001,-0.0002,0.0005,0.0013,0.0029,0.0,-0.0,0.0009,0.001,-0.0005,-0.002,-0.0166,-0.0188,-0.0009,0.0083,-0.0047,-0.0043,-0.0093,0.0005,-0.0001,0.0006,-0.0004,0.0005,0.0001,0.001,-0.0004,0.0002,-0.001,0.0027,0.0009,0.0007,-0.0012,0.0018,0.0004,0.0018,0.0005,0.0028,0.0013,0.0006,0.0001,0.0015,0.0011,0.0008,0.0008,0.0032,0.0013,0.0007,-0.0008,0.0009,0.0006,0.0012,0.0013,0.0047,0.0021,0.0004,-0.0005,0.0007,0.0009,0.0023,-0.0005,0.0021,-0.0006,0.0006,0.0003,0.0009,-0.0,0.0012,-0.0002,0.0019,-0.0003,-0.0,-0.0,0.0021,0.0006,0.0021,0.0002,0.0022,0.0004,0.0002,0.0058,0.0011,-0.0003,0.0011,-0.0002,-0.0004,0.0012,0.3241,0.003,0.0022,-0.0006
"layer2_cell_[0, 2]",-0.0009,0.0003,-0.0004,-0.001,-0.0005,-0.0006,-0.0001,-0.0,-0.0001,0.0008,-0.0005,-0.0004,-0.0004,-0.0005,0.0,-0.0002,-0.0002,0.0001,-0.0003,0.0002,-0.0003,0.0008,-0.0004,-0.0,-0.0001,0.0002,-0.0002,0.0001,-0.0004,0.0004,-0.0002,0.0001,-0.0003,0.0003,-0.0007,-0.0006,-0.0004,-0.0005,-0.0,-0.0001,-0.0,0.0004,-0.0003,-0.0003,-0.0008,-0.0004,0.0001,-0.0003,-0.0001,0.0002,-0.0007,-0.0006,-0.0005,-0.0009,0.0002,-0.0,-0.0001,-0.0002,-0.0004,0.0,-0.0001,0.0006,-0.0,-0.0006,0.0,0.0005,-0.0006,-0.0003,-0.0007,-0.0012,-0.0,-0.0005,-0.0022,-0.0022,-0.0046,0.0004,0.0011,-0.0035,-0.0007,0.0003,-0.0,0.0001,-0.0002,-0.0,-0.0005,0.0007,-0.0,-0.0001,0.0,0.0002,-0.0004,-0.0003,-0.0006,-0.0,0.0,-0.0003,-0.0004,0.0001,-0.001,-0.0003,-0.0003,0.0002,-0.0,0.0,-0.0002,0.0001,-0.001,-0.0009,-0.0005,-0.0002,0.0,-0.0001,-0.0004,0.0002,-0.0019,-0.0,-0.0003,-0.0006,-0.0001,-0.0001,0.0001,0.0007,-0.0008,0.0001,-0.0002,0.0005,-0.0,-0.0002,-0.0002,0.0008,-0.0017,-0.0,-0.0008,0.0009,-0.0005,0.0001,-0.0,-0.0003,-0.0012,0.0001,-0.0007,0.0001,-0.0,-0.0001,-0.0,0.0,-0.0014,0.0001,-0.0002,-0.0,-0.0,-0.0
"layer2_cell_[0, 3]",0.0001,-0.0032,-0.0005,0.0121,0.004,-0.0024,0.0006,0.0023,0.0009,0.0005,-0.0009,0.0085,0.0059,-0.0021,0.0003,0.0016,0.0014,-0.0006,-0.0004,0.016,0.0106,-0.0024,-0.0021,0.001,0.001,-0.0018,-0.0004,0.0194,0.0072,-0.0013,-0.001,0.0018,0.0011,-0.0044,-0.0004,0.0085,0.0043,-0.0028,-0.0,0.0009,0.001,-0.0046,-0.0001,0.0093,0.0056,-0.002,0.0002,0.0023,0.002,-0.004,-0.0001,0.0066,0.0062,-0.0018,-0.0007,0.0025,0.0013,0.0008,0.0007,0.0125,0.0113,-0.0016,-0.0004,0.0019,0.0011,0.0029,-0.0003,0.0061,0.0061,-0.0001,0.0004,0.0024,-0.0027,-0.0036,-0.0126,-0.0085,-0.008,0.0026,-0.0001,-0.008,0.0016,-0.0005,0.0,0.0036,0.0125,-0.0015,0.0003,0.0006,0.0001,-0.0004,-0.0007,0.0085,0.0102,-0.0002,0.0005,0.0019,0.0025,-0.0023,-0.0005,0.0145,0.0045,-0.0015,-0.0006,0.0003,0.002,-0.0028,-0.0008,0.0278,0.0031,-0.0037,-0.0005,0.0025,0.0018,-0.0028,-0.0009,0.0139,0.003,-0.0031,-0.0006,0.0024,0.0013,0.0001,-0.0003,0.007,0.0072,-0.001,-0.0004,0.001,0.0023,0.0008,-0.0006,0.0165,0.016,-0.0013,0.0005,0.0034,0.0035,-0.0024,-0.0006,0.0171,0.0114,-0.0023,0.0011,0.0058,0.0017,-0.0042,-0.0009,0.006,0.0138,0.0003,0.0001,0.0017
"layer2_cell_[0, 4]",-0.0012,-0.0006,-0.0003,-0.0011,-0.0003,-0.0009,-0.0002,-0.0003,-0.0003,0.0,-0.0002,-0.001,-0.0003,-0.0008,-0.0,-0.0004,0.0002,-0.0002,-0.0,-0.0001,0.0002,0.0003,-0.0001,-0.0002,0.0002,-0.0003,-0.0001,-0.0006,-0.0004,0.0001,-0.0002,-0.0004,0.0008,0.0001,-0.0005,-0.0015,-0.0001,-0.0011,-0.0002,-0.0003,-0.0008,-0.0009,-0.0001,-0.0011,-0.0002,-0.0005,0.0,-0.0004,-0.0007,-0.0002,-0.0003,-0.0022,-0.0001,-0.001,-0.0001,-0.0004,0.0006,0.0001,-0.0007,-0.0004,0.0001,0.0002,0.0,-0.001,-0.0,0.0001,-0.0001,-0.0007,-0.0004,-0.0011,0.0001,-0.0003,-0.0018,-0.0058,0.0011,0.0019,0.002,-0.0028,0.0034,-0.0006,0.0005,-0.0,-0.0,-0.0005,-0.0003,0.0002,0.0001,-0.0003,-0.0002,-0.0006,-0.0005,-0.0004,-0.0003,-0.0019,0.0007,-0.0002,0.0007,-0.0006,0.0,-0.0008,-0.0002,0.0007,0.0004,-0.0001,-0.0007,-0.0002,-0.0004,-0.0024,-0.0002,-0.0012,-0.0003,-0.0005,-0.0008,-0.0003,-0.0006,-0.0017,-0.0002,-0.0013,-0.0006,-0.0003,0.0002,0.0001,-0.0002,-0.0001,-0.0003,0.0001,-0.0001,-0.0005,0.0006,0.0002,-0.0003,-0.0009,-0.0006,-0.0003,0.0004,-0.0004,0.0001,-0.0001,-0.0,-0.0001,-0.0,-0.0002,-0.0002,-0.0005,0.0005,-0.0003,-0.0006,0.0001,0.0002,0.0002,-0.0003,-0.001
"layer2_cell_[0, 5]",-0.0004,0.0001,0.0002,0.0003,-0.0001,-0.0002,-0.0,0.0004,-0.0002,0.0,0.0,0.0001,-0.0,-0.001,-0.0001,-0.0001,0.0005,0.0005,-0.0003,0.0006,0.0011,0.0004,-0.0002,-0.0,0.0008,0.0004,0.0002,0.0,0.0005,-0.001,-0.001,0.0007,0.0005,-0.0009,-0.0004,0.0006,0.0004,-0.0004,-0.0,0.0001,0.0003,0.0001,0.0007,0.0003,0.0009,-0.0011,-0.0002,0.0003,0.0004,0.0002,0.0003,0.0002,0.0012,-0.0007,-0.0004,0.0002,0.0008,0.0008,-0.0008,-0.0002,0.0005,-0.0,-0.0002,0.0009,-0.0,0.0003,-0.0003,0.0002,-0.0004,-0.0008,-0.0,0.0006,-0.003,0.0001,-0.0068,-0.0019,0.0024,-0.0063,-0.0065,-0.008,0.0003,0.0003,-0.0003,0.0,0.0002,-0.0003,-0.0001,-0.0,-0.0002,0.0008,0.0001,-0.0003,-0.0002,-0.0004,0.0004,0.0004,0.0007,0.001,0.0012,0.0014,0.001,-0.0009,-0.0007,0.0003,0.0004,-0.0001,-0.0,-0.0005,0.0006,-0.0012,-0.0008,0.0001,0.0003,0.0003,0.0006,0.0001,0.0005,-0.0017,-0.0011,-0.0,0.0021,0.0001,0.0,0.0001,0.0003,0.0001,-0.0,0.0003,0.0022,0.0004,-0.0006,-0.0002,0.0004,0.0,-0.0006,0.0007,-0.0003,0.0012,0.0007,-0.0006,0.0017,0.0007,-0.0,-0.0003,0.0004,0.0013,0.0008,0.0001,0.0008,0.0002,0.0009,0.0015
"layer2_cell_[0, 6]",-0.0008,-0.0001,-0.0004,0.0118,-0.0004,-0.0007,-0.0007,0.0059,-0.0002,0.0001,-0.0003,0.0363,-0.0003,-0.001,-0.0006,0.0048,-0.0005,0.0002,-0.0004,0.0027,0.0001,-0.0016,-0.0005,0.0071,-0.0001,0.0002,-0.0006,0.0046,-0.0002,-0.0003,-0.0009,0.0025,0.001,0.0001,-0.0012,0.0028,-0.0004,-0.0004,-0.0004,0.0002,-0.0001,0.0006,-0.0004,0.0125,-0.0005,-0.0001,0.0003,0.0225,-0.0005,0.0001,-0.0009,0.0119,-0.0003,-0.0003,-0.0006,0.0072,-0.0001,-0.0,-0.001,0.0016,-0.0003,0.0005,-0.0004,-0.0007,-0.0001,0.0002,-0.0004,0.0063,-0.0003,-0.0021,0.0002,0.0061,-0.0014,-0.0021,0.0008,-0.0277,0.0026,-0.0036,-0.0064,-0.049,-0.0001,0.0002,-0.0001,0.0017,-0.0003,-0.0002,0.0002,0.0056,-0.0,0.0001,-0.0003,0.0056,-0.0002,-0.0039,-0.0004,0.0122,0.0005,0.0002,-0.0007,0.0011,-0.0002,-0.0005,-0.0003,0.0024,-0.0002,-0.0007,-0.0013,0.0168,-0.0008,-0.0006,-0.0003,0.0088,0.0006,0.0,-0.0013,0.0227,-0.0002,-0.0011,0.0,0.0072,0.0007,0.0003,-0.0005,0.0002,-0.0003,-0.0001,-0.0007,-0.0005,-0.0008,0.0005,-0.0015,0.0004,-0.0008,0.0004,-0.0008,0.0055,-0.0,0.0003,-0.0005,0.0213,-0.0003,0.0004,0.0005,0.0093,0.0001,0.0014,-0.0029,0.1442,-0.0023,0.0002,0.0,0.0121
"layer2_cell_[0, 7]",0.0002,-0.0015,-0.0002,0.0007,0.0005,-0.0016,0.0004,0.0018,0.0,-0.0005,-0.0003,0.0007,-0.0,-0.0021,0.0003,0.001,0.0002,-0.0004,0.0001,0.0011,0.0,-0.0018,-0.0001,0.0004,0.0009,-0.0004,-0.0,0.0009,0.0004,-0.002,-0.0004,0.0015,0.0004,-0.0013,-0.0013,-0.0003,-0.0003,-0.0024,0.0002,0.0009,0.001,-0.0022,0.0003,0.0005,0.0008,-0.0023,0.0009,0.0013,0.0004,-0.0005,0.0002,0.0006,0.0007,-0.0013,-0.0,0.0002,-0.0004,-0.0022,-0.0005,0.0003,0.0002,-0.0004,0.0003,0.0018,0.0009,0.0009,0.0007,0.0009,-0.0005,-0.0012,0.0006,0.0042,0.0042,0.0011,-0.0002,-0.0011,0.0065,0.0038,0.0018,-0.0097,0.0006,-0.0003,-0.0,-0.0003,-0.0003,-0.0008,0.0003,-0.0001,0.0004,-0.0018,0.0001,0.0014,-0.0003,-0.0028,0.0005,0.0009,0.0018,-0.001,0.0,0.0007,0.0005,-0.0019,0.0008,0.0004,0.0005,-0.0009,0.0001,0.0011,0.0003,-0.0022,0.0008,0.0007,0.0012,-0.0005,-0.0,0.0014,0.0005,-0.0026,0.0009,0.0003,0.0003,-0.0013,-0.0004,-0.0002,-0.0004,-0.0008,0.0005,0.0007,0.0017,-0.0008,-0.0021,-0.0008,-0.0004,0.0003,0.0003,0.0032,0.0022,-0.0012,0.001,0.0004,-0.0003,0.0003,0.0005,0.0017,0.0007,-0.0018,-0.0008,0.0019,-0.001,0.0012,0.0005,0.0007
"layer2_cell_[0, 8]",0.0018,0.0057,-0.0001,-0.0002,-0.0004,0.0403,-0.0,-0.0001,0.001,0.0066,-0.0003,-0.0004,-0.0002,0.0474,0.0,-0.0001,-0.0007,0.0095,-0.0001,-0.0002,-0.0002,0.0688,0.0006,0.0001,-0.0001,0.0262,0.0,-0.0004,-0.0003,0.0701,0.0,0.0001,0.0003,0.0232,-0.0002,-0.0003,-0.0005,0.022,0.0006,-0.0001,0.0002,0.0107,0.0002,-0.0004,-0.0004,0.0321,0.0006,-0.0002,0.0004,0.0085,-0.0001,-0.0005,-0.0008,0.0389,0.0006,-0.0001,-0.0,0.0496,-0.0002,-0.0002,-0.0003,0.0889,0.0004,-0.0002,0.0003,0.0001,-0.0,-0.0006,-0.0003,0.0908,-0.0,-0.001,0.0009,-0.0122,-0.0004,0.0001,0.0015,0.0035,-0.0001,0.0005,0.0001,0.0343,-0.0001,-0.0002,-0.0008,0.0399,0.0002,-0.0001,0.0006,-0.0013,-0.0004,-0.0005,-0.0003,-0.003,0.0006,-0.0006,0.0005,0.0112,-0.0004,-0.0004,-0.0,0.0492,0.0007,-0.0001,-0.0006,0.0156,-0.0001,-0.0009,-0.0003,0.0194,0.0003,-0.0002,0.0001,0.0152,-0.0021,-0.0002,-0.0003,0.0153,0.0007,-0.0001,0.0004,0.0405,-0.0004,-0.0002,-0.0003,0.0628,0.0004,-0.0001,0.0021,0.0255,-0.0014,-0.0002,-0.0004,0.0718,0.0002,0.0001,0.0005,0.0263,-0.0005,0.0002,-0.0005,0.0984,0.0004,-0.0003,-0.0013,0.0508,0.0006,-0.0,-0.0003,0.0842,-0.0004,-0.0004
"layer2_cell_[0, 9]",-0.002,-0.0022,0.0011,-0.0004,-0.0007,-0.0011,0.0025,0.0015,-0.0005,-0.0003,-0.0008,-0.0004,-0.0011,-0.0028,0.0014,0.0002,-0.0008,0.0012,0.0009,0.0002,-0.0017,-0.0028,0.0098,0.0009,0.0002,0.0012,0.0011,0.0011,-0.0009,0.0012,0.0043,0.0013,-0.0008,-0.002,-0.0006,-0.0006,-0.001,-0.0007,0.0042,0.0005,-0.0004,-0.0009,0.0022,-0.0003,-0.0011,-0.0017,0.0016,0.0005,0.0,-0.0025,0.0008,-0.0008,-0.0002,-0.0,0.0031,0.0009,-0.0011,0.0012,0.001,-0.0006,-0.0006,-0.0024,0.0039,0.0001,-0.0001,0.0048,0.0019,0.0001,-0.0015,0.0018,0.003,0.0004,0.0072,-0.0107,-0.0018,-0.0016,-0.0095,0.006,0.0011,-0.0039,-0.0011,0.002,0.0005,-0.0007,-0.001,-0.0003,0.0034,-0.0001,-0.0013,-0.0005,0.0,0.0002,-0.0017,0.005,0.0014,-0.0,0.0012,0.0002,0.0015,-0.0015,-0.0007,-0.0022,0.0038,0.0004,0.0002,0.0005,0.0005,-0.0014,-0.0015,-0.003,0.0034,0.0005,0.0002,-0.0003,0.0013,-0.0003,-0.0009,-0.0032,0.0031,0.0003,-0.0009,0.0037,0.0013,-0.0002,-0.0005,-0.0003,0.0059,0.0009,-0.0011,0.0006,-0.0012,-0.0004,-0.001,0.0007,0.0218,0.0016,-0.0008,-0.0,-0.0001,-0.0002,-0.0011,-0.0014,0.0105,0.0055,0.001,0.0002,0.0013,-0.0003,-0.0011,0.0001,0.0069,0.0033
"layer2_cell_[0, 10]",-0.0032,-0.0017,0.0026,-0.0003,0.0003,-0.0018,0.0017,-0.0,-0.0011,0.0009,0.002,-0.0007,0.001,-0.0023,0.001,-0.0004,-0.0014,0.0031,0.0019,0.0001,0.0015,-0.0019,-0.0003,0.0002,-0.0001,0.0027,0.0016,-0.0005,0.0005,-0.0004,-0.0,0.0004,-0.0019,-0.0026,0.0034,-0.0007,0.0003,-0.0012,0.0011,-0.0,-0.001,-0.002,0.0024,-0.0006,0.0001,-0.0013,0.0013,0.0001,-0.0011,-0.0009,0.0024,-0.0011,-0.0002,-0.0004,0.0014,-0.0001,-0.0015,0.0051,0.0031,-0.0006,0.0025,-0.002,0.0006,-0.0005,-0.0009,0.0064,0.0037,-0.0007,0.0008,0.0056,0.0009,-0.0004,-0.0012,0.0027,-0.0021,0.0014,-0.006,0.0126,0.002,-0.0012,-0.0001,0.0028,0.0013,-0.0003,0.0013,-0.0011,0.0005,0.0001,-0.0005,0.0003,0.0026,-0.0,0.0021,-0.0021,0.0019,0.0002,-0.0008,0.0009,0.0022,-0.0005,0.0007,-0.0001,0.0011,0.0006,-0.0009,0.0032,0.0025,-0.0011,-0.0001,-0.0015,0.001,-0.0001,-0.0007,0.0007,0.0037,-0.0004,0.0002,-0.0023,0.0018,-0.0,-0.0013,0.0045,0.0033,-0.0002,0.0008,-0.0014,0.0004,-0.0001,-0.0013,0.0074,0.0037,-0.001,0.0023,-0.0013,0.001,-0.0004,-0.0005,-0.0006,0.004,-0.0002,0.0014,-0.0022,0.001,0.0002,-0.0002,0.0,0.0055,-0.0001,0.001,-0.0006,0.001,0.0006
