,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
{2: [0]},0.0015,-0.0007,-0.0002,-0.0,-0.0001,-0.0006,-0.0001,-0.0002,0.0008,-0.0006,0.0029,-0.0081,-0.0006,-0.0022,-0.0006,0.0003,0.1263,0.0599,0.0027,0.0408,-0.0002,0.032,0.0317,0.0179,0.0089,-0.0006,-0.0012,0.1706,-0.0023,0.0002,-0.0045,-0.0,0.0001,0.0117,0.0023,0.0,-0.0004,-0.0119,0.014,0.0401,0.0001,0.0117,0.0023,0.0,-0.0004,-0.0119,0.014,0.0401,0.0083,0.0087,0.0012,-0.0002,-0.0011,-0.0176,-0.0693,-0.0002,-0.0026,0.0021,0.0251,-0.0016,0.0001,0.007,0.0078,0.0345,-0.0056,-0.0053,0.0181,-0.0002,0.0011,-0.0002,-0.0342,0.0534,0.022,0.0025,0.027,0.0013,0.0003,-0.0655,-0.0022,0.0007
{2: [1]},0.0936,0.0112,-0.0004,0.0027,0.0007,-0.0008,0.0037,0.0005,0.3966,0.0036,0.0038,0.8072,0.0,-0.0003,0.0212,0.0046,0.2585,0.1014,0.0042,0.1118,0.0625,-0.0137,-0.4187,0.0785,0.0718,0.005,0.0297,0.6271,-0.0053,0.0378,0.0252,0.0037,-0.0009,0.2578,0.4361,0.0123,-0.0006,0.4839,-0.1269,0.8995,-0.0009,0.2578,0.4361,0.0123,-0.0006,0.4839,-0.1269,0.8995,0.0883,0.8213,0.0026,0.0091,0.0004,0.2267,0.2005,0.0126,-0.0145,0.0171,0.3235,0.0073,0.008,0.0373,-0.2201,0.3119,0.0624,0.5561,0.4109,0.9006,0.0301,0.0263,0.2159,0.4501,0.1525,0.029,0.0001,0.7581,0.0017,0.1697,0.0482,0.0097
{2: [2]},0.0076,0.0007,-0.0,-0.0001,0.0002,0.0007,0.0,0.0002,0.0001,0.0003,0.0013,-0.0373,-0.0004,0.0055,-0.0005,-0.0002,0.3059,0.0204,0.0004,-0.2806,-0.0002,-0.0283,0.0216,-0.0921,0.0053,0.0005,0.0,-0.1447,0.001,0.0049,0.0214,0.0,0.0172,0.0234,-0.0013,-0.0118,0.0006,-0.0063,0.1719,-0.0397,0.0172,0.0234,-0.0013,-0.0118,0.0006,-0.0063,0.1719,-0.0397,0.0189,0.0177,0.0005,-0.0411,0.0001,0.0496,0.0377,-0.0004,0.0001,-0.0002,-0.0065,-0.0068,-0.0017,-0.0115,0.0749,-0.1277,0.0179,0.0013,0.0042,0.0014,-0.0006,0.002,0.032,-0.135,0.0342,-0.0001,-0.0027,-0.0004,0.0,-0.0005,0.001,-0.0001
{2: [3]},0.0378,0.0095,0.0483,0.0084,0.1073,0.0238,0.0191,0.0024,0.1141,0.0123,0.2475,0.3082,0.0545,0.0455,0.0273,0.0065,0.1381,0.1021,0.5411,0.0215,0.3713,0.406,-0.1499,-0.0399,0.1247,0.006,0.0823,0.3844,0.1022,0.0208,0.0511,0.0054,0.0488,0.1156,0.6937,-0.0286,0.1872,0.1631,0.0106,-0.0213,0.0488,0.1156,0.6937,-0.0286,0.1872,0.1631,0.0106,-0.0213,0.3174,0.2206,0.1113,-0.0077,0.3102,0.1969,0.1292,-0.0008,-0.0268,-0.0014,0.8638,0.0027,0.0059,0.0502,-0.0069,-0.3986,-0.0083,0.1297,0.6121,0.0336,0.1607,0.0123,0.1031,0.1357,0.0066,0.0619,0.2821,0.0494,0.1307,0.2001,0.0294,0.0057
{2: [4]},0.0071,0.0023,-0.0005,0.0032,-0.0005,0.0021,0.0022,-0.0,0.0001,-0.0025,-0.0052,-0.0226,-0.0012,0.016,0.0015,-0.0014,0.3492,-0.7405,-0.0065,0.0679,0.0013,0.1766,-0.0482,-0.874,0.006,-0.0019,0.0057,0.0426,-0.002,0.0066,0.018,-0.0009,0.1055,-0.009,-0.0036,0.0079,0.0003,0.1158,0.2106,-0.0553,0.1055,-0.009,-0.0036,0.0079,0.0003,0.1158,0.2106,-0.0553,0.432,-0.0478,-0.0008,0.0039,-0.0043,0.014,0.2628,0.0006,0.0076,-0.9065,-0.0307,0.0021,-0.9037,0.0157,0.3976,-0.6516,0.052,0.0073,-0.001,0.0071,-0.0013,0.0129,-0.2741,-0.2007,-0.083,0.0008,-0.0069,0.032,0.0004,0.227,-0.0006,0.001
{2: [5]},-0.0005,0.0006,0.0009,0.0005,0.0004,-0.0005,-0.0009,0.0,-0.002,0.0002,0.0002,-0.0052,-0.0007,0.0041,-0.001,-0.0004,0.1531,-0.1858,0.002,0.0774,0.0012,0.0379,0.0335,-0.1795,0.0019,0.0002,0.002,-0.0963,0.0007,0.0011,-0.0109,0.0,0.0003,-0.0001,0.0037,0.0034,0.0003,0.0538,-0.071,-0.0166,0.0003,-0.0001,0.0037,0.0034,0.0003,0.0538,-0.071,-0.0166,-0.0008,-0.0142,-0.0,-0.0047,0.0006,-0.1547,-0.1512,0.0001,-0.013,0.0024,0.0263,0.0033,0.0021,0.0172,-0.1386,-0.089,-0.0155,0.0237,-0.0016,0.0001,0.0032,-0.0008,-0.0566,-0.1186,0.0769,0.0,-0.0063,-0.0047,0.0005,0.0102,-0.0014,-0.0004
{2: [6]},0.001,0.0018,0.0001,0.0002,-0.0004,0.0085,0.0001,-0.0001,0.0026,0.0,0.0005,0.0443,-0.0003,0.0081,0.0015,0.0001,0.2008,0.1091,-0.0005,0.0588,0.0014,0.0361,0.0039,-0.0548,0.0623,0.0003,-0.0012,0.4412,-0.0006,0.0032,0.265,0.0001,0.0023,-0.0018,-0.0002,0.0013,0.0001,0.2101,0.0789,0.7088,0.0023,-0.0018,-0.0002,0.0013,0.0001,0.2101,0.0789,0.7088,0.0865,-0.0029,-0.0004,0.0063,0.0001,0.1703,0.2001,-0.0002,0.0034,0.0194,-0.0057,0.0019,0.0031,0.0144,0.1086,-0.1582,0.0935,0.01,0.0004,0.005,0.0003,0.0105,0.2226,-0.1029,0.155,-0.0001,-0.0011,-0.0007,0.0001,0.1787,0.0076,-0.0
{2: [7]},-0.0032,0.0003,0.0003,0.0008,0.0005,0.0014,0.0003,0.0,0.0008,-0.0004,-0.0008,0.1568,-0.0002,-0.0029,0.001,-0.0002,-0.0967,0.0461,-0.0008,0.027,0.0013,-0.0002,-0.0261,0.0108,-0.0067,0.0001,0.001,0.1075,0.0009,0.0,-0.0017,0.0003,-0.002,-0.0021,-0.0,0.002,-0.0006,0.1236,-0.0563,0.0261,-0.002,-0.0021,-0.0,0.002,-0.0006,0.1236,-0.0563,0.0261,0.005,0.0305,0.0001,0.0029,0.0008,0.1296,0.0233,0.0004,0.0002,0.0066,0.0222,0.0015,0.0047,-0.0035,0.045,0.0351,-0.014,0.0274,0.0003,0.0061,0.0009,0.0033,0.0531,0.011,-0.0102,0.0012,-0.0053,0.001,0.0,0.1127,0.0,0.0008
{2: [8]},0.0009,-0.0004,0.0002,0.0039,-0.0001,0.0007,0.0004,-0.0003,-0.0001,-0.0,0.002,0.0035,0.0016,-0.0037,0.0009,-0.0002,-0.0463,-0.0117,-0.0015,0.077,0.0017,-0.0176,0.0115,0.0892,0.0076,0.0001,-0.0005,-0.1023,0.0027,-0.0003,-0.001,-0.0,-0.0003,0.0725,0.0038,-0.0045,-0.0002,0.3077,0.0146,-0.0211,-0.0003,0.0725,0.0038,-0.0045,-0.0002,0.3077,0.0146,-0.0211,0.001,-0.0085,0.005,-0.0019,0.0085,0.0054,-0.0271,0.0,0.0007,-0.0126,0.0441,0.0042,0.0052,-0.0044,-0.0036,0.2875,-0.0009,-0.0032,0.8162,-0.0006,0.0078,0.0008,0.0114,-0.0188,-0.0479,-0.0016,0.0022,0.002,-0.0006,-0.0777,-0.0012,-0.0004
{2: [9]},0.0549,-0.0004,0.013,0.0114,0.0027,0.0016,0.0068,0.0017,0.905,0.0047,0.7568,0.1684,0.2883,-0.0059,0.1571,0.0118,0.3808,0.1762,0.9096,0.1028,0.8629,0.557,0.2686,0.0608,0.4908,0.1471,-0.0004,0.6573,0.7769,0.2994,0.1282,0.0046,0.9334,0.8854,0.931,0.0165,0.7614,0.7497,0.647,0.886,0.9334,0.8854,0.931,0.0165,0.7614,0.7497,0.647,0.886,0.7596,0.7619,0.0209,-0.0063,0.8626,-0.0772,0.2384,0.0019,-0.011,0.0044,0.8883,-0.0043,-0.0036,0.0498,0.5721,0.2088,0.1079,0.52,0.9339,0.9189,0.8064,-0.0038,0.1201,0.7504,0.2502,0.8922,0.5573,0.9043,0.8522,0.1148,0.347,0.814
