,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
{0: [0]},0.0056,0.0016,0.0001,-0.0005,-0.0003,-0.0011,0.0001,0.0001,0.0013,-0.0001,0.0008,-0.0472,-0.0,-0.0087,-0.0012,-0.0004,-0.2622,-0.7305,-0.0011,0.0074,-0.0005,-0.0242,-0.0762,-0.4937,0.0007,0.0006,0.0017,-0.0187,-0.0002,0.0003,-0.0165,0.0008,0.0002,-0.0071,0.0026,-0.0047,-0.0,-0.0509,-0.0467,-0.0518,0.0002,-0.0071,0.0026,-0.0047,-0.0,-0.0509,-0.0467,-0.0518,0.0475,-0.0408,0.0006,-0.0195,-0.0005,-0.2683,-0.0147,0.0006,-0.0025,-0.3287,-0.0053,-0.0087,-0.0035,-0.0448,-0.1389,-0.6433,-0.0003,-0.0058,0.0235,0.0051,0.0001,-0.0024,0.0419,-0.1509,-0.1163,-0.0031,-0.0033,-0.0012,0.0004,-0.2008,-0.001,0.0003
{0: [1]},-0.0031,-0.0,-0.0001,0.0007,-0.0,0.0002,0.0001,0.0001,0.0005,-0.0003,-0.0007,0.1194,0.0009,0.0011,-0.0029,-0.0,0.2563,-0.4404,-0.0013,0.0703,0.001,0.027,-0.0457,-0.0622,-0.0017,-0.0001,-0.0006,0.3955,0.0009,0.0017,-0.0162,-0.0002,-0.0008,-0.0069,-0.0016,0.0031,0.0001,0.0698,-0.0919,-0.0182,-0.0008,-0.0069,-0.0016,0.0031,0.0001,0.0698,-0.0919,-0.0182,0.0001,-0.0136,0.0001,0.002,0.0007,0.1118,0.0758,0.0001,-0.0009,-0.0307,-0.0169,0.0017,-0.0017,0.0021,-0.0172,-0.3346,0.0202,-0.0061,-0.0002,0.0059,0.0015,0.002,-0.0726,-0.0994,0.0631,-0.0006,-0.0039,0.0157,-0.0,0.1196,-0.0018,-0.0002
{0: [2]},-0.0014,-0.0002,0.0011,0.0001,0.0002,0.0003,0.0001,-0.0003,0.005,-0.0002,0.0005,0.0539,-0.0008,0.0019,-0.0,0.0001,0.1684,-0.2777,-0.0031,-0.3079,-0.0019,-0.0082,0.058,-0.1811,0.0229,-0.0005,0.0039,0.0837,-0.0002,-0.0004,-0.0108,-0.0003,0.0002,-0.0073,-0.003,-0.0154,0.0014,-0.0869,0.0518,-0.0238,0.0002,-0.0073,-0.003,-0.0154,0.0014,-0.0869,0.0518,-0.0238,-0.0029,-0.0358,0.0001,-0.0004,-0.002,-0.1813,-0.2721,-0.0001,-0.0172,-0.0254,-0.0312,-0.0077,-0.9454,0.0092,-0.098,-0.304,-0.0342,0.0051,-0.002,-0.0029,-0.0011,-0.0037,-0.0545,-0.0037,-0.1075,0.0024,-0.0084,-0.0023,-0.0005,-0.0319,0.0025,-0.0011
{0: [3]},0.014,0.0012,-0.0001,-0.0004,0.0002,0.0003,0.0008,0.0001,0.1559,-0.0008,0.0002,-0.0328,-0.0,-0.0033,0.0075,0.0001,0.3759,0.1253,-0.0012,-0.0524,-0.0002,0.0209,0.0699,0.0625,0.3596,0.0004,0.0011,-0.0504,0.0001,-0.0001,0.0063,0.0002,0.71,0.0812,0.0006,0.0091,0.0006,-0.0021,0.2262,0.3486,0.71,0.0812,0.0006,0.0091,0.0006,-0.0021,0.2262,0.3486,0.8285,0.1361,0.0002,-0.0071,0.0,0.0498,0.2171,0.0002,0.0042,0.02,0.0035,0.0002,-0.0063,0.029,0.3151,0.1749,0.0407,0.1073,0.0013,-0.0019,0.0012,0.0093,0.1814,-0.0312,0.0244,0.0059,-0.0026,-0.0032,-0.0002,-0.3157,0.0285,0.0001
{0: [4]},-0.0014,0.0004,0.0002,0.0001,0.0002,-0.0006,-0.0008,-0.0003,0.0002,0.0002,0.0012,0.1262,0.0004,-0.0053,-0.0031,0.0001,0.106,0.0419,-0.0008,0.0314,0.0018,-0.0205,-0.1565,0.0243,-0.0011,0.0001,0.0021,-0.0063,-0.0001,0.0027,-0.0278,0.0001,-0.0028,-0.003,0.0021,-0.0088,0.0,-0.0806,-0.1724,0.0045,-0.0028,-0.003,0.0021,-0.0088,0.0,-0.0806,-0.1724,0.0045,0.0026,-0.0084,0.0006,-0.0126,-0.0001,-0.2163,-0.2751,-0.0004,-0.0193,-0.0016,0.0528,-0.0061,-0.0,0.0124,-0.2225,0.0711,-0.0316,0.0192,0.0149,0.0068,0.0061,0.0018,-0.0327,0.2174,-0.0137,0.0004,-0.0025,0.0038,0.0001,-0.1193,-0.0017,-0.0
{0: [5]},-0.005,0.0004,-0.0001,0.0004,0.0002,0.0009,-0.0001,-0.0001,-0.0029,0.0,-0.0019,0.0338,-0.0003,0.0046,0.0016,0.0,-0.3272,-0.3262,0.0,0.0272,0.0004,0.0775,0.1597,-0.0835,0.0056,0.0002,0.0014,0.3639,0.0003,0.0024,-0.0194,0.0003,-0.0025,-0.0061,-0.0007,-0.0022,0.0001,0.0522,-0.0046,-0.0172,-0.0025,-0.0061,-0.0007,-0.0022,0.0001,0.0522,-0.0046,-0.0172,0.0103,-0.0059,-0.0002,0.001,-0.0005,0.0213,0.1423,-0.0,-0.019,-0.0121,0.0072,0.0012,-0.0003,-0.0066,-0.0355,-0.3442,0.0157,-0.003,0.0007,0.0019,-0.0003,0.0046,0.1048,0.008,-0.0983,-0.0001,-0.0031,0.0162,-0.0001,0.1529,0.0089,0.0
{0: [6]},0.0017,-0.0008,0.0001,-0.0004,0.0,-0.0008,0.0007,0.0002,0.0046,0.0013,-0.001,-0.0564,-0.0,-0.004,0.0003,0.0005,0.2232,0.0676,0.0033,-0.3524,-0.0,-0.031,0.0495,0.0548,-0.0071,0.0006,-0.0008,-0.1495,-0.0003,-0.0011,0.0055,0.0002,0.0031,0.0885,-0.0009,-0.0218,-0.0,-0.0713,0.1042,0.1084,0.0031,0.0885,-0.0009,-0.0218,-0.0,-0.0713,0.1042,0.1084,0.0114,0.0478,-0.0003,-0.0212,-0.0005,-0.1648,-0.0393,0.001,0.0019,0.012,-0.0,-0.0094,-0.0073,-0.0324,0.1925,0.1493,-0.0018,0.0452,0.0149,-0.003,0.0022,0.0008,-0.1301,-0.0726,0.0382,0.005,0.001,-0.0003,-0.0004,0.0936,0.0011,0.0012
{0: [7]},0.0094,0.0055,0.0009,-0.0007,-0.0002,0.0003,0.0032,-0.0003,0.0308,0.0059,-0.0046,0.3692,-0.0007,-0.0027,-0.0007,-0.0004,0.3397,-0.0332,0.005,0.0678,0.0022,0.4139,0.0961,-0.1895,-0.0127,0.002,-0.001,-0.1679,0.0004,0.0005,-0.0257,0.001,0.3345,-0.0006,0.0066,0.0016,0.001,0.36,0.1939,-0.0219,0.3345,-0.0006,0.0066,0.0016,0.001,0.36,0.1939,-0.0219,0.3951,0.0068,-0.0002,-0.0022,-0.0007,-0.0258,-0.3921,-0.0007,-0.0176,-0.0046,0.5484,-0.0001,-0.0146,0.0371,0.1617,0.0498,0.0297,0.1043,-0.0022,0.0004,-0.0002,0.0088,-0.1512,-0.1603,-0.1172,0.024,-0.0076,0.0036,-0.0009,0.0626,-0.003,-0.0014
{0: [8]},0.1114,0.0024,0.0009,0.9347,0.0001,0.3901,0.0074,-0.0,0.526,-0.0012,0.0063,0.8456,0.0001,0.3979,0.2191,0.0002,0.3437,0.134,0.014,0.0968,0.1234,0.1517,0.1216,0.0709,0.0457,0.0009,0.0036,0.7532,-0.0009,0.5376,0.579,0.0005,0.0989,0.0993,0.3462,0.0039,0.0,0.7303,0.5339,0.3435,0.0989,0.0993,0.3462,0.0039,0.0,0.7303,0.5339,0.3435,0.429,0.1324,0.0101,0.0058,0.0029,0.2758,0.1836,0.0006,-0.0048,0.014,0.2564,-0.0159,0.0067,-0.0464,0.3072,0.268,0.0963,0.1008,0.0553,0.8911,0.1044,0.023,0.234,0.321,0.3478,0.0143,0.0075,0.9268,0.0039,0.3027,0.0494,0.0061
{0: [9]},0.0032,0.0003,0.0001,-0.0002,0.0001,0.0005,0.0009,-0.0001,-0.0007,0.0,-0.0003,0.0019,0.0002,0.0025,0.0016,-0.0001,0.2241,0.042,-0.001,0.007,0.0008,0.0216,-0.0846,-0.0292,0.0043,-0.0002,-0.0004,0.3727,-0.0007,0.0017,-0.0096,-0.0,-0.001,0.0039,0.0009,0.0054,0.0,0.2092,0.0917,0.0087,-0.001,0.0039,0.0009,0.0054,0.0,0.2092,0.0917,0.0087,0.0018,0.0043,0.0009,0.0028,-0.0004,0.1235,0.1171,-0.0005,-0.0015,0.0015,0.0292,0.0024,0.0051,0.0049,0.078,0.007,0.0022,0.0079,0.0001,0.0002,0.0018,0.0066,0.0062,-0.0574,0.1588,-0.0003,-0.006,0.0062,0.0001,0.1618,0.002,-0.0006
