,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
{0: [0]},0.0006,0.0005,0.0018,0.0585,0.0065,0.0435,0.0299,0.0707,0.0048,0.0032,0.0027,-0.0028,-0.0017,-0.0022,0.005,0.0008,-0.0013,0.0063,0.0006,-0.0786,0.0001,0.0001,0.0005,-0.0021,-0.0046,0.0874,0.0032,-0.0196,-0.0003,-0.0031,-0.002,-0.0019,-0.0012,0.0057,-0.0,0.0022,-0.0004,-0.0007,-0.0004,0.0038,0.0268,-0.047,-0.0008,-0.0025,0.0002,-0.034,0.0641,0.0335,-0.0023,0.0099,-0.0002,0.0019,-0.0006,-0.0005,0.0023,-0.0015,-0.0051,-0.0024,-0.0001,0.0012,0.0164,-0.0018,-0.0001,-0.0,0.0128,-0.0012,-0.0019,-0.0001,-0.0015,0.0004,0.0122,-0.0017,0.0003,0.0006,0.0009,-0.001,-0.0031,-0.0009,0.0004,-0.0003
{0: [1]},-0.0003,-0.0001,0.0015,0.0359,0.0002,0.0006,0.0022,0.016,0.0,-0.0024,-0.0008,0.0031,0.0,0.0009,0.0035,0.003,-0.0006,0.0003,-0.0011,0.014,0.0005,-0.0001,0.0001,0.0007,0.0003,0.0003,-0.0009,0.0116,0.0001,-0.0011,0.0001,0.0012,-0.0,0.0013,-0.0003,-0.0005,0.0002,0.0,-0.0009,0.0004,-0.0021,-0.0211,0.0035,-0.0031,0.0005,0.0127,-0.0182,0.0114,-0.0002,0.0034,-0.0001,-0.0007,-0.0005,-0.0004,0.0006,0.0005,-0.0007,0.001,0.0001,-0.0002,-0.0002,0.0002,-0.0,-0.0001,0.0013,0.0007,0.0,-0.0007,0.0002,0.0001,-0.0002,-0.003,0.0001,0.0001,0.0002,0.0,-0.0007,0.0013,-0.0,0.0004
{0: [2]},-0.0008,-0.0004,0.002,-0.006,0.0032,0.0082,0.005,-0.0365,0.0021,0.004,-0.0001,0.0016,0.0005,0.0023,0.004,-0.0015,0.0002,0.0017,-0.0009,-0.062,0.0014,-0.0006,-0.0014,-0.0016,-0.0003,0.003,0.0022,-0.0062,0.0029,-0.0031,-0.0012,-0.0046,0.0017,-0.0019,-0.0006,-0.0013,0.0018,-0.0006,0.0006,-0.0008,-0.0085,-0.0307,-0.0002,0.0067,0.0019,-0.049,0.0148,0.0207,0.002,-0.0016,0.0,0.0014,0.0016,0.0004,-0.0012,0.0006,-0.0015,-0.0006,0.0043,0.0004,0.0031,0.0011,0.0002,0.0,-0.0001,0.0053,0.0007,-0.0002,0.0005,-0.0008,-0.0011,0.0011,0.0001,0.0007,0.0005,-0.0,-0.0006,0.0075,-0.0003,0.0002
{0: [3]},0.0002,-0.0004,0.0008,0.0622,0.0026,-0.0,0.0727,0.1097,-0.0004,-0.002,0.0012,-0.0044,-0.0002,0.0009,0.0004,0.0314,-0.0006,0.0005,0.0005,-0.0642,-0.001,-0.0002,-0.0008,0.0053,-0.0023,0.0012,-0.0022,0.0272,-0.0007,-0.0018,-0.0022,0.0084,0.0015,0.0005,-0.0002,0.0018,-0.0005,0.0001,-0.0005,-0.0002,0.0129,-0.0247,-0.001,-0.0067,0.0006,0.0342,0.0395,0.0073,-0.001,0.0014,0.0003,0.0015,-0.0003,0.0004,0.0026,0.0006,-0.001,-0.0006,0.0007,0.0005,0.0009,-0.001,-0.0001,-0.0008,-0.0013,-0.001,-0.0,0.0042,0.0001,-0.0007,0.0019,-0.0112,-0.0,0.0003,-0.0001,-0.0001,0.0003,0.0032,0.0001,-0.0003
{0: [4]},-0.0001,0.0004,0.0015,0.2867,-0.0078,0.0023,-0.0007,0.0429,0.0014,0.0121,-0.0019,0.0073,0.0007,0.0046,0.0042,0.0027,-0.0007,0.0046,-0.0031,0.0389,-0.0013,0.0047,0.0016,0.0004,-0.0004,-0.0043,0.0166,0.7679,0.0011,0.0155,0.0022,0.0435,0.0085,-0.001,0.0012,-0.0001,0.001,-0.0006,0.0025,0.0002,0.019,0.0885,-0.0033,-0.0029,0.0015,-0.0626,0.1028,-0.0593,0.0024,-0.0002,0.0002,0.0025,-0.0011,0.0003,0.0021,-0.0009,-0.0005,0.0023,0.0007,-0.0001,-0.0021,0.001,0.0003,-0.0004,0.0043,0.0055,-0.0005,0.0003,0.002,0.001,-0.0077,0.0112,-0.0001,-0.0014,0.0002,-0.0001,-0.0007,-0.0007,-0.0001,0.0002
{0: [5]},-0.0002,-0.0004,0.0028,0.103,0.0043,0.0,0.0983,-0.0225,0.0,0.0103,-0.0022,-0.0082,0.0004,0.0021,-0.002,0.0027,-0.0014,-0.0004,0.0015,-0.059,-0.0002,0.0002,0.0001,-0.0011,-0.0018,-0.0024,0.0038,-0.0023,-0.0014,-0.0012,-0.0029,0.0071,0.0003,0.0003,-0.0004,0.0144,0.0016,0.0005,0.0058,-0.0009,0.0227,-0.0635,0.0038,0.0458,-0.0008,-0.0174,0.0456,-0.0499,-0.0017,-0.0015,-0.0,-0.0034,-0.0006,0.0006,0.0031,0.0006,-0.0002,0.0008,-0.0003,0.0022,0.0012,-0.0002,0.0001,-0.0,0.0044,0.0006,-0.0007,0.0051,0.0004,-0.0027,0.0169,-0.0055,-0.0001,-0.0004,-0.0006,0.0001,-0.0014,0.0014,0.0001,-0.0
{0: [6]},0.0,0.0004,0.0,-0.002,0.0067,0.0005,-0.0254,-0.084,-0.0002,-0.0002,0.0016,-0.0054,0.0003,0.0029,-0.0095,-0.0041,0.0021,0.0004,-0.001,-0.0922,-0.0003,0.0,0.002,0.0011,0.0015,0.0015,0.0027,0.0115,0.0035,0.0045,-0.0003,-0.0039,0.0009,-0.0003,0.0001,-0.0017,0.0062,-0.0003,0.0011,-0.0008,-0.0276,0.1368,0.0027,0.0026,0.0075,-0.0307,-0.0361,0.0182,0.0005,0.0,-0.0001,-0.0006,-0.0005,0.0001,-0.0002,-0.0013,-0.0007,-0.0,0.0004,-0.0007,-0.0009,0.0006,0.0006,-0.0006,0.0,0.0033,0.0004,-0.002,0.0011,0.0013,-0.0057,0.0008,-0.0001,-0.0012,0.0001,0.0001,0.0001,0.0047,0.0,-0.0002
{0: [7]},-0.0005,-0.0012,0.0005,-0.0269,-0.0105,0.0295,-0.0465,-0.4093,-0.001,-0.0139,0.0685,0.018,-0.0012,0.1263,0.0597,-0.0092,0.0012,-0.0011,-0.0015,0.0448,0.0012,-0.0017,0.0001,-0.0022,0.0029,-0.0035,-0.0018,-0.0173,-0.001,-0.0013,0.0004,-0.0032,-0.0002,-0.0056,-0.0002,-0.0075,-0.0026,-0.0008,-0.0025,-0.0024,0.0291,-0.0409,-0.002,0.0195,0.0012,0.0119,0.2562,-0.0382,0.0,-0.0046,-0.0001,-0.0049,-0.001,-0.0009,-0.0012,-0.0012,-0.0037,0.0005,-0.0005,0.0011,-0.0021,0.0004,0.0002,0.0004,0.0016,-0.0011,-0.0013,0.0173,-0.001,-0.0041,-0.0092,0.0072,-0.0001,0.0054,-0.0009,-0.0002,-0.0005,-0.0038,0.0,-0.0009
{0: [8]},0.0001,-0.0005,0.0138,0.0176,-0.003,0.0,0.7493,-0.2665,-0.0005,-0.0084,0.013,-0.0036,-0.0012,-0.0016,0.2746,0.1226,-0.0007,0.0015,-0.0019,0.0109,-0.0003,0.0014,-0.0005,0.0044,-0.0021,0.0021,0.1273,0.0148,0.0001,-0.0042,0.0117,0.1727,0.0,0.0051,0.0045,0.0084,0.0046,0.0006,0.0189,-0.0025,0.0629,-0.0238,0.0169,0.0075,-0.0006,0.3865,0.3361,-0.0307,-0.0003,0.0026,0.0024,-0.0036,0.0001,-0.0025,0.0213,0.0033,-0.0024,-0.001,0.0009,0.0002,-0.0014,-0.0004,-0.0003,0.0081,0.0023,-0.0001,-0.0,0.0095,-0.003,-0.0023,0.0153,-0.0035,-0.0002,-0.0011,0.033,-0.0001,0.0052,0.0008,0.2199,0.0006
{0: [9]},-0.0004,-0.0004,-0.0003,-0.0036,0.0014,0.0012,-0.0288,0.0232,0.0002,0.0002,-0.0,-0.0019,-0.0,0.0008,-0.004,-0.0017,-0.0002,0.0004,-0.0006,-0.0115,0.0004,-0.0013,-0.0001,-0.0002,-0.0027,0.0102,-0.0001,0.0153,-0.0006,-0.0023,-0.001,0.0062,-0.0003,-0.0007,0.0002,0.0016,-0.0003,-0.0004,-0.0009,-0.0001,0.0903,0.0123,0.0003,-0.0013,-0.0001,0.0087,-0.0378,-0.0044,-0.0,-0.001,-0.0001,-0.0015,-0.0005,-0.0007,-0.0005,0.0001,-0.0017,-0.0004,-0.0002,0.0003,0.0002,0.0002,-0.0004,-0.0,-0.0002,0.003,0.0002,0.0003,-0.0006,0.0003,0.0005,-0.0012,0.0,-0.0003,0.0001,-0.0001,0.0002,-0.0011,-0.0002,0.0
