,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
{0: [0]},-0.0001,0.0082,-0.0012,-0.0005,0.0042,-0.0024,0.0001,0.0008,0.0,0.0003,-0.0007,-0.0006,0.0025,-0.002,0.0002,-0.0001,-0.0007,0.0005,-0.0002,-0.0002,-0.0007,-0.0004,-0.0,0.0004,-0.0001,0.0007,-0.0001,0.0001,-0.0003,-0.0012,-0.0,-0.0003,-0.0001,-0.0014,-0.0,-0.0,0.0,-0.0003,-0.0002,0.0011,-0.0004,-0.0004,-0.0001,-0.0,-0.0002,0.0,-0.0003,-0.0007,-0.0001,-0.0015,-0.0013,-0.0004,0.0016,-0.0002,-0.0005,-0.0006,-0.001,-0.0,-0.0001,0.0003,0.0035,-0.0003,-0.0,-0.0005,0.001,-0.0016,0.0065,0.0001,-0.0018,-0.0,-0.0001,-0.0147,0.246,-0.0603,0.0006,0.0061,-0.0022,-0.001,-0.0006,0.0504
{0: [1]},0.0002,-0.0003,0.0005,-0.0005,-0.001,-0.0003,0.0,0.0025,-0.0005,-0.0001,0.0001,-0.0001,0.0004,-0.0004,0.0002,0.0002,-0.0,0.0002,-0.0001,0.0001,0.0001,-0.0003,-0.0002,-0.0,0.0002,0.0001,0.0009,0.0001,0.0004,-0.0002,-0.0002,-0.0004,0.0001,0.0,-0.0,0.0,0.0002,0.0001,-0.0001,0.0001,0.0,-0.0001,-0.0002,0.0001,0.0002,-0.0003,0.0001,-0.0003,-0.0002,-0.0,0.0,0.0002,-0.0,-0.0001,-0.0001,-0.0001,0.0007,0.0001,0.0001,0.0001,0.0003,-0.0003,0.0001,-0.0002,-0.0002,0.0002,-0.0002,-0.0001,0.0017,-0.0001,0.0007,-0.0056,-0.0185,-0.0116,0.0008,0.0001,-0.0002,0.0002,-0.0003,-0.0298
{0: [2]},0.0003,0.0646,-0.0,0.0001,0.0047,-0.0002,0.0006,0.0124,-0.001,0.0007,-0.0004,-0.0004,0.0015,-0.0007,-0.0007,-0.0016,-0.0009,-0.0002,0.0002,-0.001,-0.0007,-0.0002,-0.0002,0.0006,-0.0005,0.0005,0.0,-0.0002,-0.0001,-0.0003,0.0,0.0002,-0.001,-0.0004,-0.0001,-0.0001,-0.0023,-0.0004,0.0001,-0.0001,-0.0009,-0.0007,-0.0007,-0.0005,-0.0008,0.0021,-0.0006,-0.0008,-0.0005,0.0002,-0.0023,-0.0007,0.0258,0.0001,-0.0004,0.0001,0.0006,0.0207,-0.0004,0.0,-0.0013,-0.0006,-0.0001,-0.0,-0.0003,-0.0008,-0.0002,0.0005,-0.0031,-0.0003,-0.0019,-0.0067,0.4508,0.1123,0.0018,0.0001,0.005,0.0002,0.0017,-0.0028
{0: [3]},0.0001,0.1048,0.001,0.0,0.0016,-0.0002,-0.0001,0.0028,0.0003,-0.0002,0.0007,0.0001,0.0012,0.0002,0.0002,-0.0001,-0.0001,-0.0001,0.0005,-0.0001,0.0003,-0.0002,0.0001,0.0018,-0.0001,-0.0001,0.0,-0.0002,0.0004,-0.0001,-0.0001,0.0004,0.0003,0.0001,0.0002,0.0001,0.0003,-0.0,-0.0001,-0.0001,-0.0001,-0.0001,0.0004,-0.0002,0.0003,0.0007,0.0001,-0.0002,0.0003,0.0001,0.0006,-0.0003,0.0037,0.0,-0.0001,0.0,0.0003,-0.0004,-0.0,0.0002,0.0003,-0.0001,0.0001,-0.0,0.0003,-0.0001,-0.0004,0.0001,0.0005,0.0,0.0003,-0.0039,0.0718,0.0729,0.0015,0.0001,0.0083,-0.0001,0.0005,0.7513
{0: [4]},0.0,0.7586,-0.0019,0.0003,0.004,-0.0017,-0.0009,0.0155,0.0002,-0.0012,0.0002,-0.0004,0.0031,-0.0018,-0.001,-0.0021,-0.0006,-0.0006,-0.0005,-0.0002,0.0001,-0.0006,-0.0002,0.0,0.0002,-0.0001,-0.0003,-0.0001,0.0015,-0.0007,-0.0001,-0.0009,-0.0012,-0.0002,0.0002,0.0002,-0.0012,-0.0007,-0.0001,-0.0,-0.0007,-0.0001,-0.0001,-0.0004,-0.0009,0.0032,-0.0006,-0.0004,0.0002,-0.0,0.0007,0.0006,0.0009,0.0006,-0.0005,0.0,0.0022,-0.0002,-0.0001,0.0002,0.0035,0.0,0.0003,0.0003,0.0005,-0.0017,0.0001,0.0005,-0.0065,0.0001,0.0013,-0.0096,0.3623,0.1078,0.0037,0.0335,0.9574,0.0001,-0.0004,0.8914
{0: [5]},0.0001,0.2832,0.0006,-0.0002,-0.003,-0.0003,0.0003,0.0058,0.0001,-0.0002,-0.0003,-0.0002,-0.0017,0.0,0.0001,-0.0004,-0.0001,-0.0001,0.0001,-0.0001,-0.0006,0.0001,0.0,-0.0014,-0.0002,0.0002,0.0009,-0.0,-0.0003,0.0003,0.0001,-0.0007,-0.0001,0.0001,0.0001,-0.0001,-0.0001,-0.0002,0.0,-0.0,0.0,0.0001,-0.0,-0.0004,-0.0,-0.0012,0.0002,-0.0,-0.0005,-0.0003,0.0001,-0.0012,0.0004,-0.0002,-0.0002,0.0,0.0,-0.0002,0.0001,0.0002,-0.0004,-0.0003,-0.0002,-0.0002,0.0004,-0.0,-0.0001,0.0001,-0.0001,-0.0,0.0004,-0.002,0.0529,0.1267,0.0028,0.0007,0.0035,-0.0001,0.0004,0.8736
{0: [6]},0.0,-0.0004,0.0012,-0.0003,0.0004,-0.0005,-0.0,0.0014,0.0008,0.0002,0.0011,-0.0001,-0.002,0.0003,0.0011,0.0003,-0.0007,-0.0001,0.0006,-0.0002,-0.0004,-0.0001,0.0003,-0.0009,-0.0001,-0.0001,0.0014,0.0,-0.0,-0.0001,0.0003,-0.001,0.0001,0.0001,-0.0,0.0001,-0.0001,0.0,-0.0002,0.0001,-0.0004,0.0004,-0.0005,-0.0,-0.0001,0.0,-0.0002,0.0005,0.0,0.0002,0.0001,0.0003,-0.0011,-0.0002,-0.0002,-0.0001,0.0014,0.0006,0.0001,-0.0002,0.0012,0.0001,-0.0001,0.0003,-0.0001,0.0007,0.0004,0.0001,-0.0042,0.0002,0.0008,-0.0003,0.1098,-0.0115,-0.0002,-0.0,-0.0,-0.0001,-0.0002,-0.0077
{0: [7]},-0.0009,-0.0007,-0.0006,-0.0004,-0.0043,-0.0002,-0.0,0.0073,-0.0043,-0.0004,0.0003,0.0001,-0.0017,-0.0004,-0.0011,0.0004,0.0008,-0.0004,-0.0005,-0.0004,-0.0,0.0003,0.0008,0.0001,0.0004,-0.0006,-0.0015,0.0002,-0.0003,0.0002,-0.0007,0.0001,-0.0007,0.0006,-0.0008,0.0001,0.0011,-0.0008,-0.0014,-0.0002,-0.0004,-0.0001,-0.0013,0.0,-0.001,0.0011,-0.0003,-0.0002,-0.0,-0.0014,-0.0026,0.0011,-0.0017,-0.0016,-0.0006,-0.0002,-0.0015,-0.0016,-0.0002,-0.0004,-0.0018,-0.0008,-0.0005,0.0005,0.0013,-0.0002,-0.0025,0.0007,0.0002,-0.0005,-0.0009,0.0012,0.0991,-0.0964,-0.0017,0.0002,-0.0002,-0.0007,-0.0003,-0.0209
{0: [8]},0.0,0.0588,-0.0011,0.0002,0.0016,0.0,0.0047,0.0078,-0.0008,0.0006,-0.0006,0.0,0.0014,0.0003,0.0085,-0.0001,-0.0,-0.0003,-0.0002,0.0001,0.0003,0.0003,0.0003,0.0007,0.0003,0.0001,-0.0,0.0002,0.0005,-0.0,0.0024,0.0001,0.0001,-0.0001,0.0013,0.0,0.0006,-0.0002,0.0008,0.0001,-0.0,-0.0,-0.0015,-0.0,-0.0005,0.0007,-0.0002,0.0001,-0.0002,0.0006,0.0016,-0.0014,0.001,0.0001,0.0002,0.0,-0.0004,0.0014,0.0005,0.0009,0.0002,0.0004,-0.0,0.0002,0.0005,0.0006,0.0004,-0.0011,0.0007,0.0001,0.0024,-0.0048,-0.0023,0.1123,-0.0013,0.0002,0.0019,0.0001,0.009,0.1107
{0: [9]},-0.0002,0.0037,-0.0004,-0.0,0.001,-0.0,0.0,0.0022,-0.0009,-0.0002,-0.0002,0.0,0.0003,0.0003,-0.0002,-0.0,-0.0002,-0.0001,-0.0003,-0.0001,0.0001,0.0002,-0.0001,0.0005,-0.0,-0.0001,-0.0006,-0.0,0.0003,0.0004,-0.0003,-0.0,-0.0,-0.0001,0.0001,0.0001,0.0002,-0.0001,-0.0001,0.0,-0.0001,0.0002,-0.0001,0.0001,-0.0006,-0.0022,0.0003,-0.0002,-0.0,-0.0002,0.0002,0.0002,0.0005,-0.0,-0.0002,0.0001,-0.0001,-0.0003,0.0002,0.0,-0.0004,-0.0001,-0.0001,-0.0001,-0.0,0.0009,-0.0001,-0.0,0.001,0.0,-0.001,-0.0025,0.0117,-0.02,-0.0,0.0002,-0.0004,-0.0002,-0.0008,-0.0202
