,0
"{0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]}",0.9591
"{0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 1: [], 2: []}",0.8771474999999999
"{0: [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 1: [], 2: []}",0.8777174999999999
"{0: [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 1: [], 2: []}",0.8780975
"{0: [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31], 1: [], 2: []}",0.8782675000000001
"{0: [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31], 1: [], 2: []}",0.8782749999999998
"{0: [0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31], 1: [], 2: []}",0.8780375000000005
"{0: [0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 21, 22, 23, 25, 26, 27, 28, 30, 31], 1: [], 2: []}",0.8776675
"{0: [0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 21, 22, 23, 25, 26, 27, 28, 31], 1: [], 2: []}",0.8772874999999999
"{0: [0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 22, 23, 25, 26, 27, 28, 31], 1: [], 2: []}",0.8766937499999999
"{0: [0, 1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 22, 23, 25, 26, 27, 31], 1: [], 2: []}",0.8758537499999999
"{0: [0, 1, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 18, 20, 22, 23, 25, 26, 27, 31], 1: [], 2: []}",0.8755462499999995
"{0: [0, 1, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 18, 20, 22, 23, 25, 26, 27, 31], 1: [], 2: []}",0.87562
"{0: [0, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 18, 20, 22, 23, 25, 26, 27, 31], 1: [], 2: []}",0.8745224999999998
"{0: [0, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 20, 22, 23, 25, 26, 27, 31], 1: [], 2: []}",0.8731787499999999
"{0: [0, 4, 5, 7, 8, 10, 11, 12, 13, 15, 20, 22, 23, 25, 26, 27, 31], 1: [], 2: []}",0.8709575000000005
"{0: [0, 4, 5, 7, 8, 10, 11, 12, 13, 15, 20, 22, 25, 26, 27, 31], 1: [], 2: []}",0.86845875
"{0: [0, 4, 5, 7, 8, 10, 11, 12, 15, 20, 22, 25, 26, 27, 31], 1: [], 2: []}",0.8654187499999999
"{0: [0, 4, 7, 8, 10, 11, 12, 15, 20, 22, 25, 26, 27, 31], 1: [], 2: []}",0.85909625
"{0: [4, 7, 8, 10, 11, 12, 15, 20, 22, 25, 26, 27, 31], 1: [], 2: []}",0.8539850000000003
"{0: [4, 7, 8, 10, 11, 15, 20, 22, 25, 26, 27, 31], 1: [], 2: []}",0.843885
"{0: [7, 8, 10, 11, 15, 20, 22, 25, 26, 27, 31], 1: [], 2: []}",0.8303562500000001
"{0: [7, 8, 10, 11, 20, 22, 25, 26, 27, 31], 1: [], 2: []}",0.80111625
"{0: [7, 8, 10, 11, 20, 22, 25, 26, 27], 1: [], 2: []}",0.77007625
"{0: [7, 8, 11, 20, 22, 25, 26, 27], 1: [], 2: []}",0.7115462499999998
"{0: [7, 8, 11, 20, 22, 25, 27], 1: [], 2: []}",0.64630125
"{0: [8, 11, 20, 22, 25, 27], 1: [], 2: []}",0.5671487499999998
"{0: [8, 11, 20, 22, 27], 1: [], 2: []}",0.5094037499999999
"{0: [11, 20, 22, 27], 1: [], 2: []}",0.44266249999999996
"{0: [11, 20, 22], 1: [], 2: []}",0.30891625000000006
"{0: [20, 22], 1: [], 2: []}",0.18498125000000004
"{0: [22], 1: [], 2: []}",0.08357625
