,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
{0: [0]},0.0001,0.0,0.0001,-0.0001,-0.0003,0.0002,0.0007,-0.0001,-0.0005,0.0015,0.0,0.0001,0.0008,0.0005,0.0008,-0.0001,-0.0008,0.0001,0.0005,-0.0,0.0,0.0002,0.0003,-0.0001,-0.0003,0.001,0.0008,0.0004,0.0147,0.0008,0.0003,-0.0004,-0.0004,0.0031,0.0004,-0.0001,0.0008,0.0008,0.0001,0.0001,0.0002,0.0127,-0.0,0.0005,0.0012,0.0003,-0.0003,-0.0002,0.6603,0.0002,-0.0017,-0.0005,0.0142,-0.0,-0.0035,0.0003,0.8164,0.0015,-0.0006,-0.0003,-0.0003,0.0025,0.0,-0.0008,0.003,0.0007,0.0001,-0.0096,0.0519,-0.0004,-0.0006,0.0002,-0.0004,-0.0001,0.0011,0.0004,0.0005,0.0001,0.0008,0.0001
{0: [1]},-0.0001,-0.0001,0.0001,0.0002,-0.0001,-0.0001,-0.0002,-0.0,0.0003,-0.0002,0.0001,-0.0001,0.0,0.0002,-0.0001,-0.0,0.0,0.0002,-0.0002,-0.0,-0.0001,0.0,-0.0,-0.0001,-0.0002,0.0005,-0.0003,0.0,-0.0001,0.0003,-0.0,-0.0001,0.0003,-0.0001,-0.0002,-0.0002,-0.0001,0.0005,0.0002,0.0001,0.0,-0.0007,-0.0004,-0.0001,-0.0003,-0.0001,-0.0009,0.0005,0.0033,0.0001,0.0008,-0.0003,0.0002,0.001,-0.0019,-0.0002,0.0032,-0.0018,-0.0002,-0.0002,0.0002,0.923,0.0002,0.0005,0.0035,-0.0003,-0.0002,0.0042,0.8282,-0.0003,-0.001,0.0001,0.0002,0.0002,0.0001,0.0,-0.0,-0.0001,0.0006,-0.0
{0: [2]},-0.0,0.0001,0.0,0.0002,0.0001,-0.0,0.0001,-0.0001,0.0003,0.0,-0.0003,-0.0001,0.0002,-0.0,0.0001,0.0,-0.0,0.0002,0.0002,0.0,0.0001,0.0001,-0.0001,-0.0002,0.0006,0.0011,0.0004,-0.0,0.0016,-0.0001,0.0018,-0.0001,-0.0001,0.0002,-0.0005,-0.0003,0.0007,0.0003,-0.0001,0.0002,-0.0005,0.762,-0.0002,0.0003,0.0009,-0.0005,0.0,0.0011,0.1924,-0.0,-0.0021,-0.0002,0.0008,-0.0,-0.002,-0.0004,0.1463,0.0016,-0.0011,0.0,-0.0019,0.9437,0.0001,0.0008,0.0126,0.0756,-0.0003,0.0074,0.9282,-0.0014,0.0012,-0.0001,-0.0004,-0.0,-0.0001,0.0001,0.0,-0.0002,-0.0,0.0003
{0: [3]},-0.0001,-0.0,0.0001,-0.0001,-0.0001,-0.0001,-0.0002,0.0,0.0004,0.0001,-0.0,0.0001,0.0,0.0004,-0.0,-0.0002,-0.0003,-0.0001,-0.0001,0.0001,-0.0001,0.0,-0.0001,-0.0001,-0.0001,0.0002,-0.0001,-0.0,-0.0002,0.0001,-0.0005,-0.0002,0.0004,0.0001,-0.0002,-0.0,0.0001,0.0001,0.0001,-0.0001,-0.0002,-0.0003,-0.0001,-0.0001,0.0,-0.0001,-0.0001,0.0,0.0052,0.0001,-0.0011,-0.0002,-0.0001,0.0001,-0.0077,0.0,-0.0025,-0.0017,0.0002,-0.0002,-0.0009,0.5319,0.0001,-0.0008,0.0016,0.0003,0.0001,-0.0058,0.0391,-0.0001,-0.0015,0.0003,0.0,-0.0,0.0,0.0002,-0.0001,-0.0001,-0.0001,-0.0001
{0: [4]},0.0,0.0005,0.0002,-0.0003,-0.0001,0.0002,-0.0004,-0.0002,-0.0004,0.0003,0.0002,-0.0002,-0.0,-0.0002,-0.0005,-0.0002,0.0001,0.0001,0.0003,-0.0001,-0.0,0.0001,-0.0004,-0.0003,0.0001,-0.0001,0.0007,0.0001,-0.0001,0.0004,-0.0001,-0.0002,-0.0005,0.0002,-0.0,-0.0005,-0.0001,0.0007,-0.0003,0.0,0.0003,0.0106,-0.0001,0.0002,-0.0003,0.0001,-0.0009,0.0007,-0.0001,-0.0005,-0.001,0.0002,0.0005,-0.0002,-0.0084,-0.0003,0.103,0.0026,-0.0004,-0.0001,-0.0008,0.9193,0.0011,0.0007,0.002,-0.0002,0.0005,0.0005,0.6917,-0.0007,0.0019,-0.0002,-0.0004,-0.0002,-0.0,-0.0001,0.0002,-0.0001,-0.0008,-0.0009
{0: [5]},0.0001,-0.0001,-0.0003,0.0,0.0,0.0,-0.0003,-0.0001,-0.0013,0.0004,-0.0004,0.0,0.0001,0.0,-0.0002,0.0001,-0.0005,-0.0001,-0.0011,-0.0,0.0001,-0.0,-0.0002,-0.0001,-0.0005,0.0002,-0.0004,0.0001,-0.0,-0.0001,0.0002,-0.0001,-0.0005,0.0002,-0.0004,-0.0004,0.0,0.0001,0.0002,0.0002,0.0,-0.0004,-0.0003,0.0002,-0.0,-0.0001,0.0002,-0.0004,0.0029,-0.0001,-0.0005,-0.0002,0.0004,0.0,0.0001,-0.0003,0.0009,0.0007,-0.0001,-0.0001,-0.0011,0.0343,0.0002,-0.0011,0.0018,0.0,0.0002,-0.0026,-0.0035,-0.0001,-0.0003,-0.0001,-0.0001,-0.0001,0.0008,0.0001,0.0001,-0.0,-0.0002,-0.0003
{0: [6]},0.0,-0.0,0.0,-0.0,-0.0001,-0.0,-0.0003,-0.0,-0.0,-0.0002,0.0001,-0.0001,-0.0001,-0.0,-0.0004,-0.0001,-0.0,-0.0002,-0.0003,0.0,0.0,-0.0,-0.0003,0.0,-0.0,-0.0003,0.0001,-0.0002,0.0,0.0001,-0.0009,-0.0001,0.0001,-0.0001,0.0,-0.0003,-0.0,-0.0001,-0.0002,-0.0001,0.0,0.8592,0.0004,0.0,0.0002,0.0001,0.0004,-0.0002,0.0024,0.0003,0.0007,-0.0001,0.0,0.0001,-0.0015,-0.0001,0.0042,-0.001,-0.0001,0.0001,0.0004,-0.0017,0.0001,0.0003,0.0051,-0.0,-0.0002,0.006,0.0191,0.0001,-0.0007,0.0,-0.0002,-0.0,0.0,0.0,-0.0,-0.0,0.0005,-0.0001
{0: [7]},0.0005,-0.0,0.0009,0.0006,0.0001,-0.0002,0.0003,-0.0001,0.0004,0.0003,0.0,0.0001,0.0003,-0.0003,0.0005,-0.0003,0.0005,0.0002,0.0004,0.0,0.0001,-0.0002,0.0004,-0.0002,0.0007,0.0,0.0007,-0.0,0.0003,-0.0005,0.0002,-0.0,-0.0002,-0.0002,0.0003,-0.0003,0.0004,-0.0006,-0.0,-0.0001,-0.0002,0.0056,0.001,0.0007,0.001,-0.0002,0.0008,0.0002,-0.0008,-0.0001,-0.0013,-0.0002,-0.0001,-0.0001,0.0009,0.0002,0.0103,-0.0015,-0.0002,-0.0,0.0015,-0.0,0.0002,-0.0004,0.0106,-0.0002,-0.0003,0.0029,0.0075,-0.0005,0.002,0.0007,0.0001,0.0001,0.0004,0.0004,0.0001,-0.0001,0.0006,0.0004
{0: [8]},0.0002,-0.0005,0.0002,0.0006,0.0001,0.0004,-0.001,-0.0,0.0008,0.0007,0.0005,0.0002,-0.0002,0.0007,-0.0006,-0.0004,0.0002,0.0003,0.0007,0.0004,0.0001,0.0009,-0.0013,-0.0006,-0.0001,0.0004,0.001,0.0004,-0.0002,0.0003,-0.0006,-0.0006,-0.0001,0.0004,0.0002,0.0005,-0.0001,0.0,-0.0005,-0.0003,0.0,0.8752,0.0001,0.0005,-0.0,0.0004,-0.0009,-0.0002,-0.0043,-0.0007,0.0001,-0.0005,-0.0004,0.0019,-0.0083,-0.0006,-0.0032,-0.0018,-0.0,-0.0003,0.0002,0.1784,0.0016,-0.0027,-0.914,0.0004,0.0006,-0.0444,-0.0111,0.002,-0.0027,0.0002,-0.0,0.0006,0.0012,0.0001,-0.0003,0.0004,-0.0004,0.0008
{0: [9]},0.0002,0.0001,0.0,-0.0,0.0,0.0,-0.0006,0.0001,0.0002,-0.0003,-0.0001,0.0001,0.0002,-0.0,-0.0,0.0004,-0.0001,0.0003,-0.0005,-0.0,0.0,0.0001,-0.0001,0.0001,0.0003,0.0005,-0.0001,0.0001,0.0001,-0.0001,0.0001,0.0002,-0.0002,-0.0003,0.0003,0.0,-0.0003,0.0,-0.0003,0.0003,-0.0002,0.81,-0.0004,0.0005,-0.0003,-0.0004,-0.0005,-0.0005,0.6715,0.0003,-0.0014,-0.0002,0.0026,0.0003,-0.0025,-0.0033,0.4439,0.0006,-0.0009,0.0001,0.0022,-0.0015,0.0001,0.0007,0.0098,-0.0001,0.0002,0.007,0.6873,-0.0009,0.0022,-0.0006,-0.0002,-0.0002,0.0006,0.0004,0.0004,-0.0,0.0003,-0.0002
