,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
{0: [0]},0.0004,0.0,0.0003,-0.0,-0.0003,0.0004,0.0008,-0.0002,0.0,0.0019,0.0001,0.0001,0.0013,0.0003,0.001,0.0,0.0,0.0001,0.0006,-0.0,0.0003,0.0003,0.0004,-0.0,0.0006,0.0007,0.0009,0.0006,0.019,0.001,0.0006,-0.0002,0.0,0.0028,0.0009,-0.0002,0.0012,0.0007,0.0003,0.0003,0.001,0.0128,0.0003,0.0003,0.0016,0.0003,-0.0,-0.0,0.697,0.0002,-0.0017,-0.0006,0.0142,-0.0,-0.0032,0.0002,0.8359,0.0015,-0.0005,-0.0003,-0.0001,0.0021,-0.0002,-0.0005,0.003,0.0007,0.0003,-0.008,0.0597,-0.0004,-0.0008,0.0003,0.0003,-0.0001,0.0011,0.0005,0.0005,0.0001,0.0009,-0.0
{0: [1]},-0.0001,-0.0,0.0001,0.0001,-0.0001,-0.0,-0.0,0.0001,0.0004,-0.0001,0.0002,-0.0001,0.0,0.0003,-0.0002,0.0,-0.0,0.0001,-0.0001,-0.0,-0.0001,-0.0,0.0,0.0001,-0.0001,0.0005,-0.0002,0.0001,-0.0001,0.0005,-0.0001,-0.0001,0.0004,-0.0001,0.0,-0.0002,-0.0002,0.0006,0.0002,0.0001,0.0,-0.0006,-0.0003,-0.0001,-0.0003,-0.0,-0.0009,0.0006,0.0029,-0.0,0.0009,-0.0002,0.0001,0.001,-0.0017,-0.0,0.0022,-0.0017,-0.0001,-0.0002,0.0,0.9201,0.0001,0.0001,0.003,-0.0004,-0.0,0.0046,0.8284,-0.0001,-0.0011,-0.0,0.0002,0.0004,0.0001,0.0,-0.0,-0.0,0.0008,0.0001
{0: [2]},0.0,0.0001,0.0004,0.0004,0.0007,-0.0001,0.0001,0.0002,0.0008,0.0003,0.0003,0.0002,0.0009,-0.0,0.0003,0.0005,-0.0,0.0004,0.0011,0.0001,0.0002,0.0001,-0.0,0.0001,0.0008,0.0014,0.0012,0.0001,0.0021,-0.0002,0.0022,0.0002,0.0002,0.0003,0.0005,0.0002,0.0015,0.0001,-0.0,0.0008,-0.0002,0.7754,0.0002,0.0002,0.0011,-0.0005,-0.0001,0.0017,0.1972,0.0,-0.0023,-0.0003,0.0008,-0.0,-0.002,0.0001,0.153,0.0018,-0.0008,0.0,-0.0015,0.9446,0.0001,0.0017,0.0104,0.0791,-0.0001,0.0072,0.9258,-0.0014,0.0007,0.0008,-0.0004,0.0002,0.0002,0.0002,0.0002,-0.0002,-0.0,0.0005
{0: [3]},0.0001,-0.0001,0.0002,0.0003,-0.0001,-0.0001,0.0001,-0.0,0.0004,0.0,0.0,0.0003,-0.0001,0.0005,0.0002,-0.0002,-0.0001,-0.0001,-0.0,0.0002,-0.0001,-0.0,-0.0,-0.0,0.0001,0.0002,-0.0001,0.0002,-0.0002,0.0,-0.0003,-0.0002,0.0003,0.0,-0.0002,0.0005,-0.0,0.0002,0.0002,-0.0002,0.0,-0.0003,-0.0002,0.0003,-0.0001,-0.0,0.0003,0.0002,0.0051,0.0,-0.001,0.0001,-0.0001,0.0001,-0.0078,0.0002,-0.0019,-0.0018,0.0005,-0.0001,-0.0009,0.5241,0.0001,-0.0009,0.0012,0.0003,0.0,-0.0043,0.0435,-0.0001,0.0002,0.0004,0.0001,0.0,0.0001,0.0003,-0.0,-0.0001,0.0001,-0.0
{0: [4]},0.0001,0.0005,0.0003,-0.0001,0.0,0.0001,-0.0001,-0.0001,-0.0002,0.0002,0.0004,-0.0001,-0.0001,-0.0004,-0.0004,-0.0002,0.0003,0.0002,0.0005,-0.0001,0.0001,0.0001,-0.0002,-0.0002,0.0,-0.0003,0.0007,0.0,-0.0001,0.0001,0.0002,0.0001,-0.0004,0.0001,0.0002,-0.0004,-0.0001,0.0004,-0.0001,0.0001,0.0008,0.0094,-0.0001,0.0004,-0.0,0.0001,-0.0006,0.0009,0.0008,-0.0007,-0.0011,0.0004,0.0005,-0.0002,-0.008,-0.0002,0.1065,0.0031,-0.0002,0.0,-0.0006,0.9154,0.0012,0.0013,0.0053,-0.0001,0.0005,0.0013,0.6818,-0.0006,0.0023,-0.0002,-0.0004,0.0001,0.0001,0.0,0.0005,-0.0002,-0.0001,-0.0009
{0: [5]},0.0002,-0.0001,-0.0003,0.0001,-0.0001,0.0001,-0.0004,-0.0001,-0.0012,0.0003,-0.0004,0.0003,0.0002,0.0,-0.0004,0.0001,-0.0004,-0.0001,-0.0012,0.0,-0.0,0.0,-0.0002,-0.0,-0.0003,0.0001,-0.0003,0.0001,-0.0,-0.0002,0.0001,-0.0,-0.0005,0.0001,-0.0002,0.0001,-0.0001,0.0,0.0,0.0002,0.0001,-0.0006,-0.0004,0.0003,-0.0,-0.0001,-0.0003,-0.0002,0.0027,-0.0002,-0.0006,-0.0,0.0004,0.0001,-0.0006,-0.0001,0.0009,0.0006,0.0,-0.0001,-0.0009,0.0337,0.0002,-0.0013,0.0014,0.0001,-0.0001,-0.0024,-0.0039,-0.0002,-0.0009,-0.0003,-0.0,-0.0,0.0006,0.0002,0.0,-0.0,-0.0006,-0.0006
{0: [6]},0.0001,0.0,-0.0001,0.0,-0.0001,0.0,-0.0002,-0.0001,0.0002,-0.0001,-0.0,-0.0001,-0.0001,0.0001,-0.0004,-0.0001,0.0002,-0.0001,-0.0005,0.0,-0.0,-0.0,-0.0003,-0.0,0.0002,-0.0002,-0.0001,-0.0001,0.0001,0.0003,-0.0008,-0.0001,0.0003,-0.0001,0.0,-0.0002,-0.0,0.0001,-0.0001,-0.0002,0.0002,0.8566,0.0004,0.0001,0.0003,0.0002,0.0003,-0.0002,0.003,0.0004,0.0006,-0.0001,0.0001,0.0001,-0.0017,-0.0002,0.0047,-0.0009,-0.0,0.0001,0.0007,-0.0015,0.0,0.0002,0.0034,0.0,0.0001,0.0059,0.0186,0.0001,-0.0011,-0.0001,-0.0,0.0,0.0001,0.0001,0.0,0.0,0.0006,-0.0001
{0: [7]},0.0006,0.0004,0.0001,0.0001,0.0005,-0.0003,0.0004,-0.0001,0.0004,0.0,-0.0001,-0.0001,0.0003,-0.0004,0.0006,-0.0003,0.0006,0.0002,-0.0,-0.0001,0.0001,-0.0002,0.0005,-0.0002,0.0009,0.0001,0.0004,-0.0001,0.0002,-0.0006,0.0003,-0.0002,-0.0003,-0.0003,0.0003,-0.0009,0.0005,-0.0011,0.0,-0.0004,-0.0001,0.0066,0.0005,0.0005,0.001,-0.0006,0.0002,0.0,-0.0018,0.0007,-0.0016,-0.0002,-0.0006,-0.0,-0.0001,0.0002,0.006,-0.0011,-0.0007,0.0001,-0.0014,-0.0004,0.0007,-0.0001,0.0081,0.0001,-0.0011,0.0044,0.0047,-0.0007,0.001,0.0004,0.0003,0.0004,-0.0001,0.0002,0.0002,-0.0003,0.0003,-0.0001
{0: [8]},0.0001,-0.0004,0.0003,0.0006,0.0001,0.0003,0.0006,-0.0002,-0.0003,0.0006,-0.0002,-0.0002,-0.0002,0.0001,-0.0001,-0.0002,0.0002,0.0002,-0.0006,0.0002,0.0002,0.0004,-0.0003,-0.0005,-0.0006,0.0003,-0.0011,-0.0001,-0.0002,-0.0001,-0.0001,0.0,-0.0007,0.0003,-0.001,-0.0004,-0.0005,-0.0002,-0.0002,0.0001,-0.0003,0.8778,-0.0002,0.0,0.0003,0.0005,0.0017,-0.0009,-0.0042,-0.0006,0.0002,0.0,-0.0004,0.0018,-0.0073,-0.0014,-0.0018,-0.0017,-0.0001,0.0004,0.0001,0.1678,0.0022,-0.0026,-0.9125,0.0009,-0.0002,-0.0411,-0.0112,0.0011,0.0002,-0.0001,-0.0,0.001,0.0011,0.0001,0.0,0.0005,0.001,0.0004
{0: [9]},0.0002,-0.0001,-0.0,0.0001,-0.0,0.0,-0.0008,0.0001,0.0002,-0.0001,-0.0001,0.0002,0.0003,-0.0,-0.0001,0.0004,-0.0001,0.0002,-0.0006,0.0,0.0,0.0001,-0.0001,0.0001,0.0002,0.0005,-0.0003,0.0002,0.0002,-0.0001,0.0001,0.0,-0.0002,-0.0002,0.0001,0.0,-0.0002,0.0001,-0.0004,0.0002,-0.0003,0.8099,-0.0004,0.0004,-0.0003,-0.0004,-0.0007,-0.0005,0.7027,0.0001,-0.0014,-0.0005,0.0023,0.0002,-0.0028,-0.0032,0.434,0.0005,-0.0011,-0.0001,0.0022,-0.0018,0.0001,0.0008,0.01,-0.0,0.0002,0.007,0.6924,-0.0009,0.0018,-0.0002,-0.0003,-0.0002,0.0008,0.0005,0.0004,-0.0001,-0.0,0.0
