,0
"{0: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]}",0.9736
"{0: [0, 1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 1: [], 2: []}",0.94124
"{0: [0, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 1: [], 2: []}",0.9412900000000001
"{0: [0, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31], 1: [], 2: []}",0.9412462499999998
"{0: [0, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31], 1: [], 2: []}",0.941155
"{0: [0, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 28, 30, 31], 1: [], 2: []}",0.9410687500000001
"{0: [0, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 30, 31], 1: [], 2: []}",0.9408799999999997
"{0: [0, 2, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 30, 31], 1: [], 2: []}",0.940525
"{0: [0, 2, 4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 30], 1: [], 2: []}",0.940175
"{0: [0, 2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 30], 1: [], 2: []}",0.9393225000000005
"{0: [0, 2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 28, 30], 1: [], 2: []}",0.9385875000000004
"{0: [0, 2, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 21, 22, 23, 24, 25, 28, 30], 1: [], 2: []}",0.9373250000000002
"{0: [0, 2, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 21, 22, 23, 24, 25, 28, 30], 1: [], 2: []}",0.9344937500000003
"{0: [0, 2, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 21, 22, 23, 24, 25, 28, 30], 1: [], 2: []}",0.9308512499999997
"{0: [0, 2, 7, 8, 9, 10, 11, 15, 16, 17, 18, 21, 22, 23, 24, 25, 28, 30], 1: [], 2: []}",0.9233300000000005
"{0: [0, 2, 8, 9, 10, 11, 15, 16, 17, 18, 21, 22, 23, 24, 25, 28, 30], 1: [], 2: []}",0.913365
"{0: [0, 2, 8, 9, 10, 11, 15, 16, 17, 18, 22, 23, 24, 25, 28, 30], 1: [], 2: []}",0.8977750000000004
"{0: [0, 2, 8, 10, 11, 15, 16, 17, 18, 22, 23, 24, 25, 28, 30], 1: [], 2: []}",0.8741262500000001
"{0: [0, 2, 8, 10, 11, 15, 16, 17, 18, 23, 24, 25, 28, 30], 1: [], 2: []}",0.8431975000000002
"{0: [0, 2, 8, 10, 15, 16, 17, 18, 23, 24, 25, 28, 30], 1: [], 2: []}",0.813655
"{0: [2, 8, 10, 15, 16, 17, 18, 23, 24, 25, 28, 30], 1: [], 2: []}",0.7689462500000002
"{0: [2, 8, 10, 16, 17, 18, 23, 24, 25, 28, 30], 1: [], 2: []}",0.7212912500000003
"{0: [2, 10, 16, 17, 18, 23, 24, 25, 28, 30], 1: [], 2: []}",0.64106
"{0: [10, 16, 17, 18, 23, 24, 25, 28, 30], 1: [], 2: []}",0.5277549999999998
"{0: [10, 17, 18, 23, 24, 25, 28, 30], 1: [], 2: []}",0.40699499999999994
"{0: [10, 17, 18, 23, 24, 28, 30], 1: [], 2: []}",0.32886125
"{0: [10, 17, 18, 23, 24, 28], 1: [], 2: []}",0.238435
"{0: [10, 17, 23, 24, 28], 1: [], 2: []}",0.17853625
"{0: [17, 23, 24, 28], 1: [], 2: []}",0.11431125000000002
"{0: [23, 24, 28], 1: [], 2: []}",0.10017499999999999
"{0: [23, 24], 1: [], 2: []}",0.022767500000000003
"{0: [23], 1: [], 2: []}",0.00015125000000000004
