,0
"{2: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]}",0.9737
"{0: [], 1: [], 2: [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]}",0.9078282894736837
"{0: [], 1: [], 2: [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31]}",0.9092335526315783
"{0: [], 1: [], 2: [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31]}",0.9106348684210526
"{0: [], 1: [], 2: [0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31]}",0.9111578947368425
"{0: [], 1: [], 2: [0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 31]}",0.9117710526315793
"{0: [], 1: [], 2: [0, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 20, 22, 24, 25, 26, 27, 28, 29, 30, 31]}",0.9122907894736841
"{0: [], 1: [], 2: [0, 2, 3, 4, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 20, 22, 24, 25, 26, 27, 28, 29, 30, 31]}",0.9127032894736842
"{0: [], 1: [], 2: [0, 2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 20, 22, 24, 25, 26, 27, 28, 29, 30, 31]}",0.9128993421052632
"{0: [], 1: [], 2: [0, 2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 20, 22, 24, 25, 26, 27, 28, 29, 30, 31]}",0.9130664473684211
"{0: [], 1: [], 2: [0, 2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 20, 22, 24, 25, 26, 28, 29, 30, 31]}",0.9130243421052633
"{0: [], 1: [], 2: [2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 20, 22, 24, 25, 26, 28, 29, 30, 31]}",0.9129348684210526
"{0: [], 1: [], 2: [2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 20, 22, 24, 25, 26, 28, 29, 30]}",0.9128375000000005
"{0: [], 1: [], 2: [2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 20, 22, 24, 25, 26, 28, 29]}",0.9127986842105266
"{0: [], 1: [], 2: [2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 20, 22, 24, 25, 28, 29]}",0.9127500000000004
"{0: [], 1: [], 2: [2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 20, 22, 24, 25, 28]}",0.9127124999999999
"{0: [], 1: [], 2: [2, 3, 6, 7, 8, 9, 10, 12, 13, 14, 15, 17, 20, 24, 25, 28]}",0.9123394736842109
"{0: [], 1: [], 2: [2, 3, 6, 7, 8, 9, 10, 13, 14, 15, 17, 20, 24, 25, 28]}",0.9121059210526311
"{0: [], 1: [], 2: [2, 6, 7, 8, 9, 10, 13, 14, 15, 17, 20, 24, 25, 28]}",0.9114105263157893
"{0: [], 1: [], 2: [6, 7, 8, 9, 10, 13, 14, 15, 17, 20, 24, 25, 28]}",0.9104085526315788
"{0: [], 1: [], 2: [6, 7, 8, 9, 10, 13, 14, 15, 17, 20, 24, 28]}",0.9093967105263155
"{0: [], 1: [], 2: [6, 7, 8, 9, 10, 13, 14, 17, 20, 24, 28]}",0.9074559210526312
"{0: [], 1: [], 2: [6, 7, 8, 9, 10, 13, 14, 20, 24, 28]}",0.9049572368421054
"{0: [], 1: [], 2: [6, 7, 8, 9, 10, 14, 20, 24, 28]}",0.8992565789473683
"{0: [], 1: [], 2: [6, 7, 8, 9, 14, 20, 24, 28]}",0.881880921052632
"{0: [], 1: [], 2: [6, 8, 9, 14, 20, 24, 28]}",0.8239868421052633
"{0: [], 1: [], 2: [6, 8, 14, 20, 24, 28]}",0.6864289473684209
"{0: [], 1: [], 2: [6, 14, 20, 24, 28]}",0.5073
"{0: [], 1: [], 2: [6, 14, 24, 28]}",0.3481105263157897
