,250
plan_agent_layer1_tick_1,0.4131008904801182
plan_agent_layer1_tick_2,0.5987127619173042
plan_agent_layer1_tick_3,0.6622640673829412
plan_agent_layer1_tick_4,0.6859308563854569
plan_agent_layer1_tick_5,0.7189187280639873
plan_agent_layer1_tick_6,0.7401257432856492
plan_agent_layer1_tick_7,0.7417400434074899
plan_agent_layer1_tick_8,0.7626481212498233
plan_agent_layer1_tick_9,0.7761928286078703
plan_agent_layer1_tick_10,0.7659984185606905
plan_agent_layer1_tick_11,0.7820753756373178
plan_agent_layer1_tick_12,0.790830299189187
plan_agent_layer1_tick_13,0.7803196526303996
plan_agent_layer1_tick_14,0.7932875031278639
plan_agent_layer1_tick_15,0.7980038803658948
plan_box_layer1_tick_1,0.4475219140446966
plan_box_layer1_tick_2,0.6610192207868509
plan_box_layer1_tick_3,0.7280555149691132
plan_box_layer1_tick_4,0.7595213848935112
plan_box_layer1_tick_5,0.78553359694633
plan_box_layer1_tick_6,0.8093412473799771
plan_box_layer1_tick_7,0.819847091632424
plan_box_layer1_tick_8,0.8252148323289893
plan_box_layer1_tick_9,0.8343540444688736
plan_box_layer1_tick_10,0.8378050619125756
plan_box_layer1_tick_11,0.8433036318749044
plan_box_layer1_tick_12,0.8491363145128631
plan_box_layer1_tick_13,0.8481285067440444
plan_box_layer1_tick_14,0.8525807432313297
plan_box_layer1_tick_15,0.8574444212323817
plan_agent_layer2_tick_1,0.572838899264799
plan_agent_layer2_tick_2,0.6757658159238716
plan_agent_layer2_tick_3,0.729662316850805
plan_agent_layer2_tick_4,0.7565063197972043
plan_agent_layer2_tick_5,0.786730031946398
plan_agent_layer2_tick_6,0.8057317494650867
plan_agent_layer2_tick_7,0.8135144150359418
plan_agent_layer2_tick_8,0.8258916850290481
plan_agent_layer2_tick_9,0.836806664753313
plan_agent_layer2_tick_10,0.8361031962728778
plan_agent_layer2_tick_11,0.8450878212610577
plan_agent_layer2_tick_12,0.8517999799423919
plan_agent_layer2_tick_13,0.8498718841729289
plan_agent_layer2_tick_14,0.8572973086175381
plan_agent_layer2_tick_15,0.8590902168078045
plan_box_layer2_tick_1,0.6562210184342259
plan_box_layer2_tick_2,0.7849686283750352
plan_box_layer2_tick_3,0.8329000595331506
plan_box_layer2_tick_4,0.8590471092521677
plan_box_layer2_tick_5,0.8806076176915001
plan_box_layer2_tick_6,0.8945983923784177
plan_box_layer2_tick_7,0.9030206709457295
plan_box_layer2_tick_8,0.9099294105406057
plan_box_layer2_tick_9,0.9162431656724774
plan_box_layer2_tick_10,0.9132734122119961
plan_box_layer2_tick_11,0.9214976466956617
plan_box_layer2_tick_12,0.9226660945317825
plan_box_layer2_tick_13,0.9224177736216971
plan_box_layer2_tick_14,0.9277131113134663
plan_box_layer2_tick_15,0.9313084897101881
plan_agent_layer3_tick_1,0.5840521823226187
plan_agent_layer3_tick_2,0.675409330591398
plan_agent_layer3_tick_3,0.7244217091189377
plan_agent_layer3_tick_4,0.7428133828418239
plan_agent_layer3_tick_5,0.7739981649449525
plan_agent_layer3_tick_6,0.7951431146716184
plan_agent_layer3_tick_7,0.7917574359340468
plan_agent_layer3_tick_8,0.8155987193869796
plan_agent_layer3_tick_9,0.8195624693642218
plan_agent_layer3_tick_10,0.813115525492241
plan_agent_layer3_tick_11,0.8296759137226377
plan_agent_layer3_tick_12,0.8329522929710229
plan_agent_layer3_tick_13,0.8249627518267806
plan_agent_layer3_tick_14,0.8375314301164003
plan_agent_layer3_tick_15,0.8405966085942229
plan_box_layer3_tick_1,0.607278915496013
plan_box_layer3_tick_2,0.7330414967670105
plan_box_layer3_tick_3,0.7801946464897103
plan_box_layer3_tick_4,0.795973090093972
plan_box_layer3_tick_5,0.8195274079663377
plan_box_layer3_tick_6,0.8326513882991733
plan_box_layer3_tick_7,0.8361967729646664
plan_box_layer3_tick_8,0.8468620909372075
plan_box_layer3_tick_9,0.8502218794638157
plan_box_layer3_tick_10,0.8516579259621985
plan_box_layer3_tick_11,0.8552999027307576
plan_box_layer3_tick_12,0.8578939926826485
plan_box_layer3_tick_13,0.8569611897899172
plan_box_layer3_tick_14,0.8635198820687187
plan_box_layer3_tick_15,0.8656129197620356
