,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.8847892212997424,0.881691508016032,0.9082074864013742,0.7986933688806184
Precision_0,0.964779441993459,0.9678229122940223,0.970935439179519,0.8207408227003636
Recall_0,0.9753248144722892,0.979012812126407,0.9812820021203167,0.9955478988563824
F1_0,0.9700234687213178,0.9733857039092629,0.9760813027602855,0.8997322857840336
Precision_1,0.5686239605320041,0.541883327119675,0.6369528337345971,1.0
Recall_1,0.5771762418151625,0.47523253112604436,0.5394980253138417,0.0
F1_1,0.5728681839532004,0.5063741422068605,0.5841889499673902,0.0
Precision_2,0.5521189429703185,0.5147229387020271,0.6805646401612248,1.0
Recall_2,0.5258896191714977,0.5122621437000922,0.663241133957567,0.0
F1_2,0.5386851846132805,0.513489593002422,0.6717912251388386,0.0
Precision_3,0.535598796239182,0.5553433863301098,0.6567635333802334,1.0
Recall_3,0.49213805422209245,0.5819213891298187,0.6253316959646879,0.0
F1_3,0.512949495401553,0.5683218223066504,0.6406623233225263,0.0
Precision_4,0.5869253141429583,0.5133490515276324,0.6427070232342622,0.23749792914112608
Recall_4,0.5550188200241531,0.46254947418527365,0.6847050941882707,0.1769170420387331
F1_4,0.5705263253276791,0.4866270982101456,0.6630416689785275,0.20277950381158782
Avg_F1,0.6330105316034061,0.6096396719270684,0.7071530940335136,0.22050235791912431
