,layer1_hidden_states,x_hidden_states
Acc,0.9505373616236162,0.8305627306273062
Precision_0,0.9830919656334767,0.8789386232275558
Recall_0,0.984673316849973,0.9801688123454685
F1_0,0.983882005832692,0.9267976771745585
Precision_1,0.8081860746110859,0.3635558180744241
Recall_1,0.797545707472178,0.18347575516693163
F1_1,0.802830636893301,0.24387505778247376
Precision_2,0.8137516030383742,0.36966973244147155
Recall_2,0.8063932743535852,0.17288235006598562
F1_2,0.8100557287702845,0.23558797082625638
Precision_3,0.813687648456057,0.37059214903526283
Recall_3,0.799368011667477,0.1895478852698104
F1_3,0.8064642699494826,0.25081213212826864
Precision_4,0.8012872856525289,0.3751939399470658
Recall_4,0.8108686142030818,0.19982501336703445
F1_4,0.8060494781600309,0.260767522993974
Avg_F1,0.841856423921158,0.3835680721811062
