,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9607641314980436,0.9775188652878704,0.9748266314980436,0.9045184984628284
Precision_0,0.9796915319101912,0.9915188566992168,0.9894420749733162,0.9297817891961938
Recall_0,0.9834767601799651,0.9904845406018722,0.9909209759999456,0.9977278112497184
F1_0,0.9815804968538417,0.9910014287696274,0.99018097327772,0.9625572285190772
Precision_1,0.8715493829282547,0.8188559322033898,0.84484920123218,1.0
Recall_1,0.8988973195291448,0.8633349879449723,0.8362820876471423,0.0
F1_1,0.8850121306267782,0.8405074214704867,0.840543815259613,0.0
Precision_2,0.8594955801880174,0.8915415720378884,0.8481711043212571,1.0
Recall_2,0.8645144218047103,0.8518126488489018,0.8569992061391902,0.0
F1_2,0.8619976957106797,0.871224423514128,0.8525623025623026,0.0
Precision_3,0.688667872212176,0.7975784074665769,0.839958238420653,1.0
Recall_3,0.6061972727755081,0.8388249235068358,0.7826002369961621,0.0
F1_3,0.6448062759262917,0.8176818440425495,0.8102654251471787,0.0
Precision_4,0.7251328408501815,0.9154692922535764,0.8460848411129694,0.24465288140410715
Recall_4,0.6886413637132879,0.8969061062477884,0.8561208633978984,0.31782027415806396
F1_4,0.7064161544106623,0.9060926328877836,0.8510732665998822,0.2764777130161874
Avg_F1,0.8159625507056507,0.885301550136915,0.8689251565693393,0.24780698830705292
