,layer1_hidden_states,x_hidden_states
Acc,0.9829912361623616,0.9196333025830258
Precision_0,0.9918890712707966,0.9298342554538707
Recall_0,0.9908098561256661,0.99210538301544
F1_0,0.9913491699810881,0.9599610223790794
Precision_1,0.8894168466522678,0.5318352059925093
Recall_1,0.8944396177237185,0.18505647263249347
F1_1,0.8919211609270089,0.2745729938768933
Precision_2,0.8941706792336851,0.5824006175221922
Recall_2,0.9029588247465342,0.15611421477343265
F1_2,0.8985432645287487,0.2462266459982051
Precision_3,0.898171500630517,0.5445614035087719
Recall_3,0.9025343189017951,0.1638859556494192
F1_3,0.9003476245654692,0.2519480519480519
Precision_4,0.8885000486050355,0.5795246800731262
Recall_4,0.909452736318408,0.18925373134328358
F1_4,0.8988543049614004,0.28532853285328535
Avg_F1,0.916203104992743,0.40360744941110305
