,layer1_hidden_states,x_hidden_states
Acc,0.979160516605166,0.9265336715867158
Precision_0,0.9914150317648869,0.9438659691474526
Recall_0,0.988712018129183,0.992441981835605
F1_0,0.9900616800445285,0.9675446640936487
Precision_1,0.8298111510791367,0.44064864864864867
Recall_1,0.8631898971000935,0.23830682881197382
F1_1,0.8461714809720312,0.30932685740305077
Precision_2,0.8493121238177128,0.46374423203691495
Recall_2,0.8690201253711647,0.15473441108545036
F1_2,0.859053106484753,0.23204419889502761
Precision_3,0.8575973669775095,0.4524001072673639
Recall_3,0.8719464584495259,0.18817624093697713
F1_3,0.864712389380531,0.265794863715141
Precision_4,0.8549805686234404,0.48737677326280354
Recall_4,0.8894563251409724,0.21566124055750613
F1_4,0.8718777702456068,0.29901165363622956
Avg_F1,0.8863752854254899,0.41474444754861955
