,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9417922896869759,0.944574919647848,0.9522957133873673,0.8440342894074903
Precision_0,0.9819390298810687,0.9832741335301535,0.9835951870185817,0.9212012215848567
Recall_0,0.9772011693669572,0.978385836452556,0.9841315811043414,0.952204584574192
F1_0,0.97956437075319,0.9808238943720108,0.9838633109520696,0.9364463626883586
Precision_1,0.7891961738255674,0.7894664241191127,0.8286607672752075,0.46597557743665013
Recall_1,0.7997592013217563,0.8047509403452033,0.8221429324709109,0.4017558969311351
F1_1,0.7944425772264392,0.7970354122874588,0.8253889827555022,0.4314893295704456
Precision_2,0.7813308942808822,0.7956445721605762,0.828784609852571,0.48508909611300893
Recall_2,0.8032466956444602,0.8154351104408765,0.8178302137851503,0.4194624323605074
F1_2,0.7921372396357306,0.8054182875968178,0.8232709737911328,0.44989510439610103
Precision_3,0.7906284519322389,0.809994329214854,0.8290449758779893,0.47865648732431104
Recall_3,0.8102855266341733,0.8146842269003423,0.8286580939541637,0.41231981748418545
F1_3,0.8003363080376767,0.8123325089831195,0.8288514897699868,0.443018640172706
Precision_4,0.7820258359685124,0.7825982801490207,0.8233160056098155,0.48027957093627144
Recall_4,0.7904553027984631,0.8053572035771362,0.8334013397259342,0.4205855350402938
F1_4,0.7862179758180434,0.7938146489423653,0.8283279752273851,0.4484547996610031
Avg_F1,0.830539694294216,0.8378849504363544,0.8579405464992153,0.5418608472977229
