,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9802246366685299,0.9827858615148127,0.982136930547792,0.9307224706539966
Precision_0,0.9915526067823941,0.9931994501952294,0.9911253963175194,0.9645348890350259
Recall_0,0.9921974102828548,0.9921147866219656,0.9936389501546035,0.9744717188929207
F1_0,0.9918749037382828,0.9926568221091389,0.9923805816232074,0.9694778423210834
Precision_1,0.8758256978478585,0.8755231965108509,0.8849454966863434,0.5831658588485636
Recall_1,0.8862595008355345,0.8945429716277649,0.8781557148761073,0.5318311681310981
F1_1,0.8810117085979154,0.8849308981024753,0.8815375319041477,0.5563167836702473
Precision_2,0.8926095746985342,0.9083742242747871,0.9118816052164038,0.6141956151766944
Recall_2,0.8758191930284459,0.891866520245138,0.8818236565234333,0.5433419533104255
F1_2,0.8841346755592111,0.9000446867459112,0.8966007833956148,0.5766002838265838
Precision_3,0.8792859572791892,0.8884142620521315,0.895777590440934,0.5873818665091554
Recall_3,0.8730488888888889,0.9058666666666667,0.86896,0.5657244444444445
F1_3,0.8761563233155815,0.8970555873421064,0.8821650303205313,0.5763497726984587
Precision_4,0.8707340504275792,0.8940704043325743,0.9084741443837493,0.6069488335759685
Recall_4,0.8633914768024735,0.9074597498321283,0.8907975076908662,0.5338632353170824
F1_4,0.8670472187808741,0.9007153208869049,0.8995489954899549,0.5680649368992132
Avg_F1,0.9000449659983729,0.9150806630373072,0.9104465845466911,0.6493619238831172
