,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.8834631691024343,0.904043846568649,0.9058775504027821,0.8267792979926927
Precision_0,0.9436791383219955,0.9512031419467849,0.9514571291190522,0.848424995536944
Recall_0,0.9568595811042041,0.9622057424478963,0.9684536910381092,0.9917564566300732
F1_0,0.9502236558107906,0.9566728082850141,0.9598801766057455,0.9145086929326748
Precision_1,0.5115486643003923,0.649215578166508,0.6999038706443953,1.0
Recall_1,0.5435892549449328,0.6170942614164225,0.6764175738662982,0.0
F1_1,0.5270824831961565,0.6327475238455808,0.687960330792092,0.0
Precision_2,0.6141743170003319,0.6652254112231775,0.6467025888415568,1.0
Recall_2,0.5286025941057475,0.6236880726666931,0.5455634445281822,0.0
F1_2,0.5681846282408217,0.6437874377146975,0.5918432331021188,0.0
Precision_3,0.6497666466429463,0.6841806281644919,0.6452929046190337,1.0
Recall_3,0.5479968823070928,0.6477318784099766,0.5682852689010133,0.0
F1_3,0.5945582545823556,0.6654575300782736,0.6043458259597412,0.0
Precision_4,0.5392893747864708,0.6613133327215237,0.667714935803673,0.22772501799749514
Recall_4,0.523276188672097,0.6256472185388647,0.6485524404874661,0.18226305487150343
F1_4,0.5311621199375075,0.642986060131652,0.6579942023414853,0.20247348738924764
Avg_F1,0.6342422283535265,0.7083302720110437,0.7004047537602366,0.22339643606438447
