,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9529666014252736,0.9724684457492723,0.9609445573622403,0.9069949437920305
Precision_0,0.9759868529056496,0.9819429739947737,0.9805088855786884,0.9311923394376675
Recall_0,0.9848794506310837,0.9914309330413038,0.9871463995619557,0.9974522981630738
F1_0,0.9804129876464773,0.9866641445190579,0.9838164473695644,0.9631841147879006
Precision_1,0.6776420944952368,0.8582836944426262,0.8325890088078403,1.0
Recall_1,0.639071450105517,0.790593910159783,0.8093457943925234,0.0
F1_1,0.6577918450940234,0.823049400539828,0.820802886232305,0.0
Precision_2,0.7471200555170021,0.9014952873644675,0.7570119219902143,1.0
Recall_2,0.7156817124243834,0.845642491524297,0.7302399787276475,0.0
F1_2,0.7310630496044546,0.8726761336351787,0.7433849901874535,0.0
Precision_3,0.8426324438531967,0.916018776587942,0.7656570090722856,1.0
Recall_3,0.6922087940344561,0.8028413473900746,0.6727307791205965,0.0
F1_3,0.7600494088583024,0.8557040082219939,0.7161921708185054,0.0
Precision_4,0.665177740554625,0.8462622509768752,0.7359764867738102,0.2709572510590954
Recall_4,0.6310771041789288,0.7775750441436139,0.6927015891701,0.37268981753972924
F1_4,0.6476788788546921,0.8104659366277108,0.7136836360328674,0.3137837904804381
Avg_F1,0.7553992340115899,0.8697119247087539,0.7955760261281392,0.2553935810536677
