,layer0,layer1,layer2
Acc,0.8902412280701755,0.9064692982456141,0.9065241228070176
Precision_0,0.9746540622003014,0.9791752294834909,0.9807507877791478
Recall_0,0.9513874958207957,0.959264478894034,0.9630053137822022
F1_0,0.9628802490440904,0.969117597206685,0.9717970473443068
Precision_1,0.5806451612903226,0.5714285714285714,0.5783410138248848
Recall_1,0.6214549938347719,0.6622162883845126,0.6338383838383839
F1_1,0.600357355568791,0.6134817563388991,0.6048192771084338
Precision_2,0.5513513513513514,0.6021621621621621,0.5891891891891892
Recall_2,0.5821917808219178,0.6727053140096618,0.6457345971563981
F1_2,0.56635202665186,0.6354820308043354,0.6161673261729791
Precision_3,0.5106861642294713,0.5984251968503937,0.6017997750281214
Recall_3,0.602921646746348,0.6487804878048781,0.66875
F1_3,0.5529841656516443,0.6225863077823289,0.6335109532267613
Precision_4,0.5645833333333333,0.6822916666666666,0.6625
Recall_4,0.6414201183431952,0.6953290870488322,0.6787620064034151
F1_4,0.6005540166204986,0.6887486855941115,0.6705324196099104
