,layer0,layer1,layer2
Acc,0.9373867753623188,0.9455955615942029,0.9485394021739131
Precision_0,0.9864817042961286,0.9845707410290891,0.9854908344539599
Recall_0,0.9761187758246376,0.9829011516992864,0.9809778779766098
F1_0,0.9812728808786259,0.9837352379605404,0.9832291777001023
Precision_1,0.7272727272727273,0.7878787878787878,0.8045977011494253
Recall_1,0.7665198237885462,0.8012752391073327,0.8191489361702128
F1_1,0.7463806970509383,0.7945205479452054,0.8118081180811808
Precision_2,0.7284105131414268,0.7659574468085106,0.7847309136420526
Recall_2,0.776,0.7836107554417413,0.8217562254259502
F1_2,0.7514525500322788,0.7746835443037975,0.8028169014084507
Precision_3,0.7508455467869222,0.8105975197294251,0.7948139797068771
Recall_3,0.7620137299771167,0.8051511758118701,0.8038768529076397
F1_3,0.756388415672913,0.8078651685393259,0.7993197278911564
Precision_4,0.757847533632287,0.7926008968609866,0.8172645739910314
Recall_4,0.7924970691676436,0.7890625,0.8191011235955056
F1_4,0.7747851002865329,0.79082774049217,0.8181818181818181
