,layer0,layer1,layer2
Acc,0.946875,0.9281808035714286,0.9174665178571428
Precision_0,0.9757329391475733,0.9665558019216556,0.9579945799457995
Recall_0,0.9725581680888944,0.9663177339901478,0.9599456890699253
F1_0,0.9741429669485012,0.9664367532947408,0.9589691420820616
Precision_1,0.7875647668393783,0.8523316062176166,0.5181347150259067
Recall_1,0.6755555555555556,0.6339113680154143,0.42016806722689076
F1_1,0.7272727272727273,0.7270718232044199,0.4640371229698376
Precision_2,0.5170454545454546,0.4659090909090909,0.7045454545454546
Recall_2,0.5889967637540453,0.4194373401534527,0.5890736342042755
F1_2,0.5506807866868382,0.44145356662180346,0.6416558861578266
Precision_3,0.6719681908548708,0.44532803180914515,0.4294234592445328
Recall_3,0.7331887201735358,0.5758354755784062,0.5581395348837209
F1_3,0.7012448132780082,0.5022421524663677,0.48539325842696623
Precision_4,0.6817155756207675,0.5033860045146726,0.5033860045146726
Recall_4,0.7347931873479319,0.5853018372703412,0.5150115473441108
F1_4,0.7072599531615925,0.5412621359223301,0.5091324200913242
