,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states,layer0_bl_hidden_states,layer1_bl_hidden_states,layer2_bl_hidden_states
Acc,0.9621010638297872,0.9634308510638298,0.917220744680851,0.9105718085106383,0.9138962765957447,0.9138962765957447,0.9138962765957447
Precision_0,0.9864518491395093,0.9867695700110254,0.9516994633273703,0.9422145328719723,0.9138962765957447,0.9138962765957447,0.9138962765957447
Recall_0,0.9799927246271372,0.9767188068388505,0.9676245907602765,0.990542015278283,1.0,1.0,1.0
F1_0,0.9832116788321168,0.9817184643510055,0.9595959595959596,0.9657740734172726,0.9550112906027445,0.9550112906027445,0.9550112906027445
Precision_1,0.759493670886076,0.8507462686567164,0.5875,1.0,1.0,1.0,1.0
Recall_1,0.8108108108108109,0.7702702702702703,0.6351351351351351,0.0,0.0,0.0,0.0
F1_1,0.7843137254901961,0.8085106382978723,0.6103896103896104,0.0,0.0,0.0,0.0
Precision_2,0.8260869565217391,0.6071428571428571,0.29411764705882354,1.0,1.0,1.0,1.0
Recall_2,0.76,0.68,0.2,0.0,0.0,0.0,0.0
F1_2,0.7916666666666666,0.6415094339622641,0.23809523809523808,0.0,0.0,0.0,0.0
Precision_3,0.7021276595744681,0.8,0.4107142857142857,0.13559322033898305,1.0,1.0,1.0
Recall_3,0.717391304347826,0.8695652173913043,0.5,0.34782608695652173,0.0,0.0,0.0
F1_3,0.7096774193548387,0.8333333333333334,0.45098039215686275,0.1951219512195122,0.0,0.0,0.0
Precision_4,0.6571428571428571,0.7192982456140351,0.4418604651162791,1.0,1.0,1.0,1.0
Recall_4,0.7752808988764045,0.9213483146067416,0.21348314606741572,0.0,0.0,0.0,0.0
F1_4,0.711340206185567,0.8078817733990148,0.2878787878787879,0.0,0.0,0.0,0.0
Avg_F1,0.7960419393058771,0.8145907286686981,0.5093879976232918,0.23217920492735694,0.19100225812054888,0.19100225812054888,0.19100225812054888
