,layer0,layer1,layer2
Acc,0.9150390625,0.9100748697916666,0.9092610677083334
Precision_0,0.9805365066559096,0.9749899152884227,0.9784187172246874
Recall_0,0.9843085644867382,0.9859269834795024,0.9835766423357665
F1_0,0.9824189148226736,0.9804279484839266,0.9809908998988879
Precision_1,0.7883355176933159,0.8073394495412844,0.755570117955439
Recall_1,0.7076470588235294,0.6936936936936937,0.7047677261613692
F1_1,0.7458152510849348,0.7462144155057542,0.7292852624920936
Precision_2,0.32764505119453924,0.30204778156996587,0.35665529010238906
Recall_2,0.44755244755244755,0.4481012658227848,0.41386138613861384
F1_2,0.3783251231527094,0.36085626911314983,0.383134738771769
Precision_3,0.4846153846153846,0.4076923076923077,0.41923076923076924
Recall_3,0.4483985765124555,0.3408360128617363,0.38515901060070673
F1_3,0.4658040665434381,0.371278458844133,0.40147329650092084
