,layer0,layer1,layer2
Acc,0.8785128805620609,0.8940281030444965,0.8877951795472288
Precision_0,0.9698039296324827,0.9742280667529442,0.9714557428373282
Recall_0,0.9768074232815762,0.9802935619811619,0.9861325131715137
F1_0,0.9732930779166944,0.9772514027975359,0.9787391093898626
Weights_0,"[-0.8094621300697327, 1.4678714275360107, 2.547456741333008, -0.7843659520149231, 1.1481302976608276, -1.283495545387268, 0.1853632926940918, 0.40525391697883606, -0.46730443835258484, -0.6984599232673645, 0.8952821493148804, 1.1017266511917114, -1.3442718982696533, -1.9366859197616577, 0.38469797372817993, -0.7756099700927734, -0.8672130703926086, 0.29865023493766785, -0.3366701006889343, -0.41689661145210266, 1.5288914442062378, -0.8328323364257812, -3.359689712524414, -0.0019519823836162686, 1.0385841131210327, 1.6545923948287964, -0.13573716580867767, -0.5155083537101746, 0.17143699526786804, 0.7741982936859131, 1.6136906147003174, -0.11969222128391266]","[-0.8796796202659607, 2.149538278579712, 0.3413536250591278, -1.3551247119903564, 2.7157602310180664, 0.31248578429222107, 0.9578304290771484, -0.6640552282333374, 0.49050480127334595, 0.598965585231781, -0.2477947175502777, -1.3743573427200317, 0.35390180349349976, 0.28334924578666687, -0.9220829606056213, -0.10987221449613571, 0.5286461114883423, -0.5611808896064758, -0.02999434620141983, -1.1197993755340576, -0.9607920050621033, -0.10563813894987106, 0.96927410364151, 0.7346050143241882, 0.12278062105178833, -0.19657176733016968, -0.2452401965856552, 3.668619394302368, 0.7034924626350403, -0.1108708381652832, 0.2570074200630188, 1.1965264081954956]","[0.40064671635627747, 0.900642991065979, -0.8843675851821899, -0.5958878397941589, -1.7730064392089844, -0.3606538772583008, 0.2638855278491974, -0.29798805713653564, -0.20137935876846313, 1.24843430519104, 1.715694785118103, 1.1197232007980347, -0.3746664226055145, -1.016163945198059, -2.81575345993042, 0.432119756937027, -0.6732044816017151, -0.6338450908660889, -0.6189660429954529, 1.5546989440917969, -0.26346561312675476, 0.0020278438460081816, -0.06639774143695831, -0.6384084224700928, 0.2837413251399994, -0.9755063056945801, 1.063374638557434, -0.38571277260780334, 0.5911753177642822, -0.20308873057365417, -2.0891315937042236, 0.5626026391983032]"
Precision_1,0.42217235015829924,0.46637981239854776,0.4093015861751226
Recall_1,0.47916960955602667,0.5155982429401633,0.5416493191083355
F1_1,0.44886884053376924,0.48975557143690224,0.4662657645730585
Weights_1,"[0.04408030956983566, 0.4556918442249298, -0.8407039046287537, 0.6152762174606323, -0.6352866291999817, 0.3383443057537079, -0.21314679086208344, -0.2891579270362854, 0.20335541665554047, 0.6525894403457642, -0.7391822934150696, -1.0520950555801392, 0.5086081027984619, 1.224320650100708, 0.34470853209495544, -0.43642109632492065, 0.5919127464294434, -0.7941948771476746, 0.39420026540756226, 0.27429741621017456, -0.20566152036190033, -0.08243327587842941, 1.7648348808288574, 0.06104717403650284, -0.9054904580116272, -1.1995989084243774, 1.1786772012710571, 1.1227740049362183, 0.09417961537837982, -0.7578931450843811, -0.7266112565994263, -0.06750146299600601]","[0.6566505432128906, -1.4343276023864746, -0.15796524286270142, 0.7199282050132751, -0.621425449848175, 0.0722755715250969, -0.6483070850372314, 0.22482271492481232, -0.5402729511260986, 0.3959057927131653, 0.5847542881965637, 0.17520180344581604, 0.7974022626876831, 0.003824393032118678, 0.46398934721946716, 0.08746405690908432, 0.041761819273233414, 0.8682878613471985, -0.8124755024909973, -0.16860803961753845, 0.3374302387237549, 0.7395138740539551, 0.394824355840683, -0.7680087685585022, -0.12547501921653748, 0.28909459710121155, -0.25662845373153687, -1.7622305154800415, 0.3448793888092041, -0.041509635746479034, 0.08112181723117828, -0.5389968752861023]","[-0.5039401650428772, -0.752219021320343, -0.4902596175670624, 0.8772059679031372, 1.8020691871643066, -0.28774693608283997, -0.988903284072876, -0.11076286435127258, 0.5347238779067993, -0.31867796182632446, -0.5186065435409546, -0.10246303677558899, 0.24157626926898956, 1.1120599508285522, 0.9650849103927612, 0.05443442985415459, -0.018512582406401634, 0.22626617550849915, -0.889199435710907, -1.6211693286895752, -0.5054346919059753, 0.1420857161283493, 0.2978268265724182, -0.2806064784526825, -0.2081649899482727, 0.10590348392724991, -0.2793006896972656, 0.8166367411613464, 0.3477161228656769, 0.11615840345621109, 0.5445979833602905, 2.2982263565063477]"
Precision_2,0.4699726308040126,0.4444786424001884,0.45406587730943704
Recall_2,0.580907571481342,0.5720552823011847,0.5686775601880981
F1_2,0.5195847424460726,0.5002614257655648,0.5049498550776499
Weights_2,"[0.30647116899490356, -0.8563711047172546, -0.818386971950531, 1.0221551656723022, -0.24112582206726074, 0.9304950833320618, 0.34978699684143066, -0.22264179587364197, -0.06766890734434128, 0.849422812461853, -0.7049433588981628, -1.0342274904251099, 1.065840244293213, 1.0718141794204712, 0.05633317306637764, 0.24605639278888702, -0.04379148408770561, -0.14595569670200348, -0.8788734674453735, 0.44842928647994995, -1.0609946250915527, 2.0149362087249756, 1.5513129234313965, 0.030309047549962997, -0.5949272513389587, -0.835452139377594, -0.8137597441673279, -0.5147865414619446, -0.15991830825805664, -0.11393970996141434, -0.7994706630706787, 0.9051508903503418]","[0.36217597126960754, -1.5092283487319946, -0.3466857075691223, 0.9284132719039917, -0.7209320068359375, -0.614531397819519, -0.9531990885734558, 0.04988758638501167, -0.44309425354003906, 0.4514773488044739, 0.3221101760864258, 0.8557586669921875, -0.5800001621246338, 0.0350412055850029, 0.2394389510154724, -0.1940281242132187, 0.014904633164405823, 0.8262829780578613, -0.991430401802063, 0.8270355463027954, 1.0733534097671509, 0.12731501460075378, -1.8783615827560425, -0.23587864637374878, -0.19211982190608978, -0.017806926742196083, -0.07946180552244186, -0.9979450702667236, 0.26523086428642273, -0.4552725553512573, -0.20945289731025696, 0.6403989195823669]","[-0.3152221143245697, -0.8055992126464844, 1.2191869020462036, -0.5841675400733948, -0.3856126070022583, 0.2812276780605316, -0.4287320077419281, -0.11615676432847977, 0.9683865308761597, -0.09666476398706436, -0.28695032000541687, 0.11558865755796432, 0.18317803740501404, 0.5818840861320496, 1.3291760683059692, 0.04346264526247978, -0.3629896938800812, -0.12125744670629501, 0.0015116457361727953, -0.42895230650901794, 0.325396329164505, -0.18668751418590546, -0.11186492443084717, 0.2682670056819916, 0.38923728466033936, 1.2828075885772705, 1.3319365978240967, -0.6429131031036377, -0.32733258605003357, -0.040341928601264954, -0.4893729090690613, -0.7515487670898438]"
Precision_3,0.38942716577376996,0.47185895897839686,0.48248282422755495
Recall_3,0.529195996994592,0.6063095829489275,0.5662902302832044
F1_3,0.44867864343280006,0.5307010870814136,0.5210380042934445
Weights_3,"[0.48167598247528076, -0.11750845611095428, -0.4794529676437378, 0.1342739313840866, -1.7603310346603394, 1.0540367364883423, 0.3080625534057617, -0.16714972257614136, 0.7319290041923523, 0.5070528388023376, -0.38705986738204956, -0.4233911633491516, 0.45286181569099426, 1.3817387819290161, 0.1756330132484436, 1.1301007270812988, -0.11049316823482513, -0.46890202164649963, 0.650497555732727, 0.10384640097618103, -0.05706082656979561, 0.6773963570594788, 1.6549609899520874, -0.2691911458969116, 0.061352863907814026, -0.7518756985664368, -0.19598422944545746, 0.7563512325286865, -0.04711585491895676, -0.5408722162246704, -0.7452957034111023, 0.09620548039674759]","[0.441805362701416, -0.8235226273536682, 0.16743768751621246, 1.3866370916366577, -1.1059283018112183, 0.2592700719833374, 0.2911933958530426, 1.254352331161499, -0.3481508791446686, -0.4405413866043091, 0.289773166179657, 0.9726117253303528, -1.0159872770309448, -0.09833081066608429, 0.7507423758506775, -0.30154183506965637, 0.14313234388828278, -0.6514463424682617, -0.1224527657032013, 1.0392948389053345, 0.5506181120872498, -0.17924970388412476, 0.3398674726486206, -0.15010295808315277, 0.11959746479988098, 0.14099916815757751, 0.3900590240955353, -1.4491063356399536, -1.271131157875061, -0.773571789264679, -0.33815687894821167, -0.522249698638916]","[-1.558340311050415, -1.0009015798568726, -0.6902450919151306, 0.6823346614837646, 0.6133979558944702, -0.7769384980201721, 0.9852066040039062, -0.309048056602478, 0.08195779472589493, -0.5288485884666443, 0.6089821457862854, -1.247275948524475, 0.16622230410575867, 0.3740242123603821, 0.777317464351654, -0.009958136826753616, 1.0006073713302612, 0.4759855568408966, 0.29233530163764954, -0.19018623232841492, 0.3940357267856598, -0.08692283928394318, -0.10121983289718628, 0.43206730484962463, -0.1230594590306282, 0.0562390498816967, -1.22536039352417, -0.059450116008520126, -0.47574546933174133, 0.1956643909215927, 1.0930556058883667, -1.4976823329925537]"
Precision_4,0.41737791222568826,0.5044384967101594,0.4114830979585076
