,layer0,layer1,layer2
Acc,0.8960528883684621,0.8915154176424668,0.9204844847775175
Precision_0,0.9710575311309935,0.9702986449126471,0.9740708794354732
Recall_0,0.9778819719012694,0.9815393311092201,0.985821691862435
F1_0,0.9744578032253419,0.9758866203073326,0.9799110588220566
Weights_0,"[-0.6509960293769836, 1.5522569417953491, 2.5901501178741455, -0.6380744576454163, 1.156082034111023, -1.0313831567764282, 0.2812666893005371, 0.48647093772888184, -0.47967973351478577, -0.7423585057258606, 1.010172724723816, 0.9573212265968323, -1.3449156284332275, -2.096134662628174, 0.4557741582393646, -0.7950648665428162, -0.7113436460494995, 0.4696519672870636, -0.5249500870704651, -0.44582217931747437, 1.6684492826461792, -0.574948251247406, -3.4731180667877197, -0.10475153475999832, 1.1663585901260376, 1.652171015739441, -0.04655807465314865, -0.5998136401176453, 0.18739722669124603, 0.5853874683380127, 1.6214900016784668, 0.016942473128437996]","[-0.7415241003036499, 2.2428882122039795, 0.3939726948738098, -1.2065277099609375, 2.3775484561920166, 0.3858928084373474, 0.9052823185920715, -0.45815038681030273, 0.5561294555664062, 0.5906509757041931, -0.45602619647979736, -1.300572156906128, 0.4620674252510071, 0.3889259099960327, -1.0569401979446411, -0.20584532618522644, 0.231336772441864, -0.3912578523159027, -0.2699740529060364, -0.9952070713043213, -0.9495949745178223, -0.23052869737148285, 0.38298672437667847, 0.872226357460022, 0.047952424734830856, -0.20196911692619324, -0.2746466398239136, 3.8257009983062744, 0.607231080532074, -0.24301308393478394, 0.26257699728012085, 1.0525257587432861]","[0.7162117958068848, 0.8853371739387512, -0.8286494016647339, -0.36302661895751953, -2.1612331867218018, -0.5609186887741089, 0.30507925152778625, -0.32625171542167664, -0.23965583741664886, 1.0897587537765503, 1.2552683353424072, 1.1349186897277832, -0.5187060832977295, -0.787390947341919, -2.5811867713928223, 0.514011025428772, -0.3681683838367462, -0.6566454768180847, -0.47320905327796936, 1.5647026300430298, -0.31249794363975525, 0.10353368520736694, -0.30189311504364014, -0.5674756765365601, 0.07519759237766266, -0.8428218364715576, 1.0770584344863892, -0.4772948920726776, 0.5836294293403625, -0.116669662296772, -1.594287395477295, 0.6794633269309998]"
Precision_1,0.5413089014377067,0.5345407909810719,0.6112332762215668
Recall_1,0.6306110057866489,0.5699329640781631,0.6322590238281105
F1_1,0.5825574745724466,0.5516698174655839,0.6215683917619219
Weights_1,"[0.719138503074646, -1.4070732593536377, -0.633686900138855, 0.2664370834827423, -0.22756938636302948, 0.25984808802604675, 0.05816631019115448, 0.19441144168376923, 0.21609975397586823, 1.6964138746261597, -1.7851451635360718, -0.4991251528263092, 0.22841224074363708, 1.8082094192504883, 0.07372228056192398, 1.084402084350586, 0.6893596649169922, 0.31999608874320984, -0.44147416949272156, -0.047632548958063126, 0.9833347797393799, 0.8404789566993713, 1.5939018726348877, -0.032155461609363556, -1.013534665107727, -2.8708252906799316, 0.35468146204948425, 0.5881034731864929, 0.2476782500743866, -0.3641805648803711, 0.19865618646144867, -0.006589540280401707]","[1.1254076957702637, -0.6535049676895142, -0.4320544898509979, 0.936549961566925, -1.118254542350769, -0.6730415225028992, -0.2957162857055664, -0.07753413170576096, -0.45142683386802673, 0.07500337809324265, -0.4568411111831665, 1.210760235786438, 0.10058075934648514, -0.10123514384031296, 0.21594300866127014, -0.34342876076698303, 0.27953726053237915, 0.018255192786455154, -0.36169716715812683, -0.36122769117355347, 0.8814477324485779, -0.2602241337299347, -0.7827936410903931, 0.038428984582424164, -0.5819698572158813, 0.18347975611686707, -0.5897876620292664, -0.2818284034729004, -0.46713903546333313, 0.45988351106643677, 0.02012002281844616, -0.5440682768821716]","[-0.1722738891839981, -1.1400303840637207, 0.5782908201217651, 0.08320062607526779, 2.2820663452148438, -0.16766546666622162, -0.45175209641456604, 0.6185271143913269, -0.15375301241874695, -1.0197094678878784, 0.026967495679855347, -0.5902976989746094, 0.3101556599140167, 1.3948235511779785, 0.7361845970153809, -2.265007972717285, 0.5996753573417664, 0.2953755855560303, -0.4651833474636078, -1.0511759519577026, -0.22744524478912354, 0.28151679039001465, -0.0790162980556488, -0.04851088300347328, 0.9929873943328857, 0.46242555975914, -1.0502346754074097, -0.43694987893104553, 0.04481640085577965, 0.34133678674697876, -1.2149507999420166, -2.1774659156799316]"
Precision_2,0.461106395122789,0.4123834693799563,0.6351539409501933
Recall_2,0.564124263714428,0.5357278877770683,0.7425898327537663
F1_2,0.5074395764513685,0.46603244088872153,0.6846829835638893
Weights_2,"[0.3067642152309418, 1.5416878461837769, -0.775216281414032, 1.3260966539382935, -0.10310852527618408, 1.2183386087417603, 0.4027468264102936, -0.09247036278247833, 0.015617878176271915, 0.8716017007827759, 0.15813565254211426, -1.0010449886322021, 1.3393815755844116, -0.9491080045700073, 0.4719688594341278, -0.004958280362188816, 0.349431574344635, -0.28312772512435913, 0.5167949199676514, 0.23378606140613556, -1.4187202453613281, 0.591902494430542, 0.995784342288971, -0.34819620847702026, -0.21727706491947174, 0.1045043095946312, -0.25884589552879333, -0.17849025130271912, -0.3220837712287903, -0.30673956871032715, -0.8851105570793152, 0.9127441644668579]","[-0.5251978635787964, 0.014489746652543545, -0.014426341280341148, 1.1187677383422852, -0.9016242623329163, 0.7331356406211853, -0.9753178954124451, 0.17456014454364777, -0.19288389384746552, -0.14683347940444946, 0.5818199515342712, 0.2948319911956787, -0.41495805978775024, -0.21280011534690857, 0.6830836534500122, 0.015895923599600792, -0.17506524920463562, 0.4495113790035248, -0.357979416847229, 1.3161565065383911, 1.0518709421157837, 0.3648124039173126, -0.8706762790679932, -1.2062644958496094, 0.40321439504623413, 0.24455156922340393, -0.07584139704704285, -2.22059965133667, 0.11539670825004578, -0.07004939764738083, -0.2165416032075882, -0.3429507315158844]","[0.40892165899276733, -0.5639966726303101, 1.018914818763733, 0.460018128156662, -1.0923364162445068, 0.7972714900970459, 0.07167483121156693, -0.052655179053545, 0.1343185305595398, -0.21911975741386414, -0.8129890561103821, -0.4471919536590576, 0.23461462557315826, 0.996871292591095, 0.4646446108818054, 2.6254448890686035, -0.08893664181232452, 0.017086731269955635, 0.39922067523002625, -0.9167041182518005, 0.5906409621238708, 0.3364291191101074, 0.25851941108703613, 0.41663554310798645, -1.3270291090011597, 1.6395362615585327, -1.0497775077819824, 1.4025851488113403, -1.157271385192871, 0.18140684068202972, 1.5112135410308838, -0.730099618434906]"
Precision_3,0.46190915728386456,0.5095005761867583,0.6134443013834112
Recall_3,0.5526318724211002,0.6671313334076792,0.7219046999491953
F1_3,0.5032141924362931,0.5777572340029622,0.6632697877241027
Weights_3,"[0.4395510256290436, -1.8537228107452393, -0.237812802195549, 1.1713149547576904, -1.8813843727111816, 1.1312203407287598, 0.21856524050235748, -0.0966111496090889, 0.357610285282135, 0.030103009194135666, -0.626920759677887, -0.5985128879547119, 0.924606442451477, 1.858985185623169, -0.18044500052928925, -0.4733569324016571, 0.8538023829460144, -0.05422104150056839, 0.7716816067695618, 0.937856912612915, -0.8107663989067078, 0.4086575210094452, 0.17990045249462128, -0.43134039640426636, -0.17547938227653503, -1.6801344156265259, 0.3765706717967987, 0.6073116064071655, 0.1435694545507431, -0.007658411283046007, -0.661352813243866, 0.36937862634658813]","[1.0367597341537476, -2.223958969116211, 0.3453730642795563, 1.1265279054641724, 0.07736142724752426, -0.16428858041763306, -0.822455883026123, 0.1753077656030655, -1.0135947465896606, -0.30424758791923523, 1.456559658050537, 0.6576731204986572, -0.8267303109169006, -0.7997254729270935, -0.305400013923645, -0.03843345493078232, -0.7952691912651062, 0.13056285679340363, 0.18148377537727356, 1.3222458362579346, 0.008238346315920353, 0.2683790624141693, -0.15994498133659363, -0.04995603486895561, -0.24060265719890594, -0.0642857551574707, -0.32185760140419006, -0.3963196873664856, -0.7533520460128784, -0.3194100260734558, -0.36663058400154114, -0.5605528950691223]","[-0.8192930221557617, -0.8726544380187988, -0.13183510303497314, 0.22638384997844696, -0.1274586319923401, -0.5023636817932129, 0.5081732273101807, 0.23077838122844696, -0.1663151979446411, -0.03383432701230049, -0.4064476191997528, -0.20456096529960632, -0.3691626191139221, 1.3336149454116821, 1.4379358291625977, 1.6607378721237183, 0.5320472121238708, 0.5790074467658997, 0.08718555420637131, -1.0047215223312378, -0.09440597146749496, -0.6356611251831055, 0.1918683499097824, 0.8808491826057434, 0.9154911041259766, -1.0416806936264038, -0.5013728737831116, -0.5732768774032593, -0.22081516683101654, 0.3376792073249817, 1.4878767728805542, -0.22224611043930054]"
Precision_4,0.5305764514780906,0.3862984313803982,0.6329674597238998
Recall_4,0.6487420767280251,0.5337120226464486,0.7718342395742863
F1_4,0.5837392710491255,0.44819516181533814,0.69553725368546
Weights_4,"[0.39689821004867554, -1.2126353979110718, -0.9073792099952698, -1.149548888206482, -0.6090418100357056, 0.10133197158575058, 0.6178300976753235, -0.9265115857124329, 0.6318085193634033, -0.5400834679603577, -0.16059306263923645, 0.23265376687049866, 1.1350293159484863, 1.379677653312683, -0.35153597593307495, -0.05500287935137749, -0.9999132752418518, -1.4869859218597412, 0.3023850917816162, 0.3423842787742615, -1.2339146137237549, 0.36969831585884094, 2.566385507583618, -0.10768973082304001, -0.6327129006385803, 1.1887595653533936, 0.000344261119607836, 0.7019115090370178, -0.013679232448339462, -0.35987037420272827, -0.9887063503265381, 0.05656718835234642]","[-0.3685067594051361, -0.7254028916358948, -0.6072001457214355, 0.4070788323879242, -1.4506309032440186, 0.4255204200744629, -0.6510632634162903, 0.41272029280662537, 0.008237873204052448, 0.33268609642982483, -0.39254915714263916, 0.6165164709091187, -0.2934929430484772, -0.19211168587207794, 0.628305196762085, -0.2675572633743286, -0.21833842992782593, -0.006508219987154007, 0.46616482734680176, -1.1157851219177246, 1.182037591934204, -0.04034264013171196, -0.2063475251197815, -0.05336598679423332, 0.006517497356981039, 0.2180841565132141, 0.43259626626968384, -2.4296681880950928, -0.22280572354793549, -0.9527775049209595, -0.041547998785972595, -0.10650715231895447]","[-1.0094813108444214, -0.9421014189720154, 0.7905844449996948, 0.2168940007686615, 0.8488203883171082, 0.5615703463554382, -0.23289917409420013, 0.009669584222137928, -0.5698735117912292, -0.4958581030368805, -0.48026376962661743, -0.9106850028038025, 0.6428868174552917, -1.8672211170196533, 0.6356037259101868, -2.6475608348846436, 0.4415418207645416, 0.46880021691322327, 0.01091123465448618, -1.3648350238800049, 0.14812064170837402, -0.012995431199669838, -0.1662900149822235, -1.2968356609344482, -1.1232715845108032, 0.6770510077476501, 1.1496772766113281, -0.32185402512550354, -0.11237887293100357, 0.26865047216415405, 1.3820686340332031, 2.5377144813537598]"
