,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.96038031107739,0.9591631891755185,0.9605383788568538,0.8378066514921598
Precision_0,0.9791554547551319,0.9798559901162117,0.9772448314218863,0.8777577922021498
Recall_0,0.9845010677256959,0.980925877612546,0.9847329719492516,0.9760752142698399
F1_0,0.9818209851262606,0.9803906419759048,0.980974611960053,0.9243093872098237
Precision_1,0.8078734858681023,0.7986903962390867,0.8208161865569273,0.3724205699312152
Recall_1,0.7762689945037181,0.7689945037180731,0.7738441642418364,0.18380213385063046
F1_1,0.7917559769167354,0.7835611925547685,0.7966383757696788,0.2461305336075333
Precision_2,0.8129908376963351,0.7981752398930313,0.8096463022508038,0.37900617465451336
Recall_2,0.7843725335438042,0.8009471191791634,0.7949486977111286,0.20347277032359906
F1_2,0.7984253233710934,0.7995587771824771,0.8022301871764237,0.26479046836483155
Precision_3,0.7790510006455778,0.7776739841195703,0.7823364639973637,0.34037015615962984
Recall_3,0.7769193626267503,0.803959439884114,0.7642040882021568,0.1894414936423628
F1_3,0.7779837214924652,0.7905982905982906,0.7731639798078489,0.2434081273911695
Precision_4,0.7864290181363353,0.7884978001257071,0.8021908239403079,0.37422485845241305
Recall_4,0.7763543756752586,0.7745022379996913,0.7799043062200957,0.2142305911406081
F1_4,0.7813592233009709,0.7814373588725376,0.7908905932070747,0.2724774244208873
Avg_F1,0.8262690460415051,0.8271092522367957,0.8287795495842157,0.39022318819884905
