,layer0,layer1,layer2
Acc,0.9596750585480094,0.9674448672911787,0.9727629781420765
Precision_0,0.9806786750320448,0.9836875126492612,0.9900020238818052
Recall_0,0.979951462855602,0.986215759215421,0.9847537243323043
F1_0,0.9803149340796439,0.9849500135098621,0.9873708999158957
Weights_0,"[-1.595435619354248, 1.4723784923553467, -0.3302897810935974, 0.46843019127845764, 0.11270606517791748, 0.21212124824523926, -1.5194123983383179, 0.4046230614185333, -0.2672816216945648, -0.3988059163093567, 0.5308085083961487, 0.31426018476486206, -1.5142086744308472, 0.10486520081758499, 0.861605703830719, 0.21112577617168427, -0.31572142243385315, 0.48538997769355774, 0.4085301160812378, 0.1225409284234047, -0.21111591160297394, -1.665865182876587, -0.20120204985141754, 0.7171431183815002, 2.585249900817871, 1.5506386756896973, -0.7872235178947449, 0.02031325362622738, 0.08272945135831833, 1.1782935857772827, 1.6942030191421509, 0.0892413780093193]","[0.434195876121521, 0.5454773902893066, 1.0734673738479614, -3.095128297805786, -0.46888160705566406, -1.2977423667907715, 0.6538796424865723, -0.4333052337169647, 1.2315266132354736, -0.8329424858093262, 0.89229816198349, -1.2408956289291382, 0.26709282398223877, -0.6353240609169006, -0.5259856581687927, 0.1268177628517151, 1.4384369850158691, 1.0044682025909424, -0.1847141832113266, 0.07884684205055237, 0.9054243564605713, -0.6401673555374146, 0.7548341751098633, 0.9713606238365173, -0.3069397211074829, -0.06732672452926636, 0.1744074523448944, -0.4726574718952179, 0.17085817456245422, 1.3914291858673096, 1.9593360424041748, 1.3422023057937622]","[1.0769702196121216, 0.45133987069129944, -4.3978800773620605, -0.08084749430418015, -0.1839568316936493, 2.133528232574463, -2.873880386352539, 0.42109328508377075, 2.4542064666748047, -0.49956363439559937, 0.23820890486240387, -0.2355973869562149, -1.227944016456604, 0.06848596036434174, -0.43566814064979553, -0.25902795791625977, 0.000595039629843086, 0.2568579912185669, 1.2807693481445312, 1.5400705337524414, 1.8808537721633911, 0.015289134345948696, 0.13507114350795746, 1.1464099884033203, -0.1879308670759201, -0.1461488902568817, 0.466494083404541, -0.4356094002723694, 0.24016280472278595, -0.43184560537338257, 0.8364341855049133, 0.436226487159729]"
Precision_1,0.8449897750511247,0.8061349693251534,0.7791411042944786
Recall_1,0.8418907905460473,0.8390804597701149,0.8355263157894737
F1_1,0.8434374362114717,0.8222778473091364,0.8063492063492063
Weights_1,"[-0.26173922419548035, 0.02718709036707878, 0.38492944836616516, 0.6144159436225891, -0.7799389362335205, -0.5476489663124084, 2.0664327144622803, -0.5574069619178772, 0.28947246074676514, -0.48346516489982605, -1.0218323469161987, -0.026720313355326653, 1.3633564710617065, -0.5026337504386902, 0.4089967608451843, 0.15723606944084167, 0.5840641260147095, -0.7497007250785828, 1.2912192344665527, 2.013324737548828, -0.03240684047341347, -0.3935430943965912, 0.12466596066951752, -0.37557122111320496, -2.7094507217407227, 1.0634074211120605, 0.006057158578187227, 0.5786016583442688, 0.04691300541162491, -1.956295371055603, -0.6567339897155762, 0.1519530862569809]","[-0.28675156831741333, -0.8488591313362122, -0.49633684754371643, 1.9938634634017944, 1.461769938468933, 2.5489816665649414, -0.8194549083709717, 0.1250223070383072, -0.8581351637840271, 0.4925461709499359, -0.08746907114982605, -0.18020734190940857, -0.18106301128864288, -0.21462787687778473, 0.2680511176586151, -0.012752247974276543, 0.2597024142742157, 0.1943645030260086, -0.9281211495399475, -0.13134609162807465, -0.5188446640968323, 2.5344655513763428, 0.522495687007904, -0.8068742752075195, -0.4790922701358795, -0.21867655217647552, -0.2049243152141571, 0.44794467091560364, 0.36408162117004395, -1.505425214767456, -0.051990825682878494, -0.6647946238517761]","[-0.5517056584358215, -0.2888079285621643, -0.0583927221596241, 0.4580847918987274, -0.22154691815376282, -0.38317638635635376, -1.45009183883667, 0.3380192220211029, 0.6954864263534546, 0.0038260193541646004, -0.26938381791114807, 0.7702145576477051, 1.7940348386764526, 0.36559194326400757, 0.13392885029315948, -0.1326981633901596, -0.05283590406179428, -0.18740995228290558, -0.0014157920377328992, -1.7671873569488525, -2.352837324142456, -0.2519310712814331, 0.12098853290081024, -1.2460180521011353, 0.028271397575736046, -0.06972460448741913, -0.1117941215634346, 2.4436676502227783, -0.0589020736515522, 0.3427089750766754, 0.33659130334854126, 0.13689756393432617]"
Precision_2,0.8683862433862434,0.8201058201058201,0.8240740740740741
