,layer0,layer1,layer2
Acc,0.9483442164179104,0.9612873134328358,0.9685167910447762
Precision_0,0.9764841942945258,0.9794397327165253,0.9919043947571319
Recall_0,0.9749807544264819,0.9833569861953296,0.9803149606299213
F1_0,0.9757318952234206,0.9813944505246893,0.9860756259580992
Precision_1,0.6887755102040817,0.7397959183673469,0.7040816326530612
Recall_1,0.6923076923076923,0.6872037914691943,0.8466257668711656
F1_1,0.6905370843989771,0.7125307125307124,0.7688022284122562
Precision_2,0.7942857142857143,0.7771428571428571,0.8228571428571428
Recall_2,0.7202072538860104,0.768361581920904,0.7422680412371134
F1_2,0.7554347826086956,0.7727272727272727,0.7804878048780487
Precision_3,0.5555555555555556,0.7323232323232324,0.702020202020202
Recall_3,0.6432748538011696,0.7038834951456311,0.8633540372670807
F1_3,0.5962059620596206,0.7178217821782178,0.7743732590529248
Precision_4,0.6666666666666666,0.8711111111111111,0.7377777777777778
Recall_4,0.672645739910314,0.8484848484848485,0.9021739130434783
F1_4,0.6696428571428572,0.8596491228070176,0.8117359413202934
