,layer0,layer1,layer2
Acc,0.9525830924855492,0.9643244219653179,0.9716401734104047
Precision_0,0.9752120640904807,0.9787935909519322,0.9870876531573987
Recall_0,0.9786247990163625,0.9865108767930084,0.9859725098851441
F1_0,0.9769154510692536,0.9826370818943084,0.9865297663903542
Precision_1,0.4864864864864865,0.5675675675675675,0.4864864864864865
Recall_1,0.5684210526315789,0.504,0.6666666666666666
F1_1,0.5242718446601943,0.5338983050847458,0.5625
Precision_2,0.5172413793103449,0.5057471264367817,0.6666666666666666
Recall_2,0.5113636363636364,0.5057471264367817,0.4793388429752066
F1_2,0.5142857142857142,0.5057471264367817,0.5576923076923077
Precision_3,0.29411764705882354,0.5462184873949579,0.5462184873949579
Recall_3,0.33653846153846156,0.38922155688622756,0.6632653061224489
F1_3,0.31390134529147984,0.45454545454545453,0.5990783410138247
Precision_4,0.45517241379310347,0.8275862068965517,0.7448275862068966
Recall_4,0.3113207547169811,0.7228915662650602,0.72
F1_4,0.36974789915966383,0.7717041800643086,0.7322033898305085
