,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states,layer0_bl_hidden_states,layer1_bl_hidden_states,layer2_bl_hidden_states
Acc,5.146149468892261,5.1568348507840165,5.149682283763278,4.828678237228123,4.8334597875569045,4.843212569549823,4.836415655032878
Precision_0,0.9878000709202313,0.989778275860929,0.9878171199876045,0.9303029033214295,0.930983915861837,0.9329844075411652,0.9335260567231815
Recall_0,0.9894499292917278,0.9892582900492976,0.990047975893105,0.9902842208212733,0.9879961143491535,0.9880275035354136,0.9869586191401345
F1_0,0.9886243117679733,0.9895182146427716,0.9889312898368365,0.9593569322242095,0.9586431092687525,0.9597173757280439,0.959499025901543
Precision_1,0.8931399294696919,0.881757845221986,0.893984912210428,0.5832520007807925,0.6160524792591163,0.590929501571621,0.5557361065973351
Recall_1,0.8653858551995358,0.8822126232995938,0.8633228031719425,0.19263748307652634,0.20585391012829604,0.25452904390432596,0.22048868544903616
F1_1,0.8790438768827766,0.8819851756364808,0.8783863561823548,0.28961907531259085,0.3085918623755678,0.35580389329488105,0.31571659358412185
Precision_2,0.8939477684123256,0.8966061021597532,0.8977500865351332,0.5011337868480725,0.5406976744186046,0.5738206697875405,0.563249001331558
Recall_2,0.8609928134149587,0.8701756720787862,0.8629225445834442,0.17647058823529413,0.2289725845089167,0.21207080117114718,0.2251796646260314
F1_2,0.877160870449461,0.8831931921791105,0.8799918569538221,0.2610236220472441,0.3217090501121915,0.30968807696045086,0.3217341699942955
Precision_3,0.8479714077702032,0.8528866440764657,0.8466366489289125,0.5487364620938628,0.5656934306569343,0.5863176489481291,0.5584817970565453
Recall_3,0.8553307964483611,0.8905801455370852,0.8284932238467188,0.19280325789438546,0.22765204619801055,0.24374123773282597,0.24067027171373256
F1_3,0.8516352034033502,0.8713259307642064,0.8374666801633094,0.28534729769785594,0.32465368686628265,0.3443365085353202,0.3363814500326584
Precision_4,0.866042372318523,0.890382219891169,0.888319873941304,0.5041004184100418,0.5774391253934074,0.6084216997080067,0.555885128758258
Recall_4,0.8600448489645166,0.8957261574990106,0.8923624851602691,0.19865453106450337,0.2299168975069252,0.26111330958976386,0.2719298245614035
F1_4,0.8630331910387504,0.8930461943120171,0.8903365906623235,0.2849978710318399,0.32888343789801405,0.3654068023443629,0.36520660791000487
Avg_F1,0.8918994907084622,0.9038137415069173,0.8950225547597291,0.41606895966274804,0.4484962293041617,0.4669905313726118,0.4597075694845246
