,layer0,layer1,layer2
Acc,0.9666398321623731,0.968689012490242,0.9664934621389539
Precision_0,0.9827921251189408,0.9828457322057976,0.9842261146923623
Recall_0,0.9882887253712838,0.9874111374407583,0.9861027190332327
F1_0,0.985532761273762,0.9851231454304885,0.9851635231937327
Weights_0,"[-0.6837289333343506, 1.9942110776901245, 0.5784232020378113, 0.22785809636116028, 0.8506461381912231, 0.14977335929870605, -1.3098076581954956, 0.13790680468082428, 0.010760001838207245, -1.0417790412902832, 0.7704362273216248, 0.31073904037475586, -1.6525756120681763, -1.3977279663085938, 0.5369938015937805, 0.6647577881813049, 1.0244896411895752, 0.7145935893058777, -0.6144621968269348, -0.04020226374268532, 0.4515824615955353, -1.1741360425949097, -0.9794827103614807, 0.3374539911746979, 0.891906201839447, 0.542354941368103, -0.9371504783630371, 0.049157485365867615, 0.10037004947662354, 0.8797190189361572, 1.038955569267273, -1.655943751335144]","[-0.1210632175207138, 1.375427007675171, 0.31361302733421326, -2.539726972579956, -0.611659824848175, -0.3745601177215576, 1.1135828495025635, 0.051497746258974075, 1.2400039434432983, 0.011346803046762943, 0.9446505308151245, -1.2919557094573975, 0.22423893213272095, 0.05495353415608406, -0.7603066563606262, 0.24812071025371552, 1.5037024021148682, -0.7704421281814575, 0.2516559958457947, -0.15321364998817444, -0.37258920073509216, 0.08137423545122147, 0.6337805986404419, 0.9221925735473633, 0.08174604177474976, 0.34050390124320984, 0.00498004537075758, 0.42361804842948914, 1.0259623527526855, 0.30268141627311707, 0.28822457790374756, 1.2947505712509155]","[1.1187186241149902, 1.1174060106277466, -2.742741107940674, -0.08643533289432526, -0.2657961845397949, -0.48444119095802307, -1.3084324598312378, -0.17519687116146088, 0.9018545746803284, -0.6472826600074768, 0.4826207458972931, -0.07681888341903687, -0.3342432975769043, -0.16328643262386322, -0.35887593030929565, 0.04753929004073143, 0.7721795439720154, -1.3255068063735962, 0.06690429151058197, 2.9829554557800293, 0.8699827790260315, -0.4239028990268707, -0.024777881801128387, 0.23923103511333466, -0.2616826891899109, 0.3562491238117218, 0.7487314343452454, -0.9497206807136536, 0.19999176263809204, -0.36473920941352844, 1.5942262411117554, -1.2412821054458618]"
Precision_1,0.7985480943738656,0.7749546279491834,0.8480036297640653
Recall_1,0.7550407550407551,0.7608017817371938,0.7329411764705882
F1_1,0.7761852260198456,0.7678129916835245,0.7862852334875895
Weights_1,"[0.30606329441070557, -1.6722131967544556, 0.5060238242149353, 0.4006440043449402, -1.4042540788650513, 0.511276125907898, 2.948273181915283, -0.8387848734855652, 0.6606581807136536, 0.7010769248008728, -1.3696037530899048, 0.5627555251121521, 1.4328805208206177, 0.4540031850337982, 0.48688650131225586, 2.0153331756591797, 1.4576157331466675, 0.7702390551567078, 0.7430393695831299, 1.438234567642212, 1.721619963645935, -1.43118417263031, 1.4616948366165161, 1.526654839515686, -1.247921347618103, -0.4474942684173584, -0.06190033629536629, -0.07769478112459183, 0.1859055608510971, -0.9369677901268005, -0.6980536580085754, 0.5270115733146667]","[-0.08062202483415604, -1.0296638011932373, -0.36810538172721863, 1.735154390335083, 0.7317266464233398, 1.301942229270935, -0.7881612181663513, -0.461869478225708, -0.12064723670482635, 0.333062082529068, -0.758525013923645, 0.541513204574585, -0.40448135137557983, -0.7318525910377502, -0.9912616014480591, -0.24906349182128906, 0.6445937156677246, 0.984081506729126, -0.7448933124542236, 0.2648544907569885, 0.297418475151062, 0.9907397627830505, 0.32145243883132935, 0.6490625739097595, -0.5597424507141113, -0.2795015275478363, -0.4230407774448395, -0.23984085023403168, -1.0258690118789673, -0.9359883666038513, -0.253374308347702, -1.349981427192688]","[-0.12948077917099, -0.9627318382263184, 0.8156850337982178, -0.3542536199092865, 1.2413793802261353, 0.4613078236579895, 0.08906122297048569, 0.7769654393196106, -0.0855773463845253, 0.558150053024292, 0.6499382853507996, 0.21203240752220154, 0.775122344493866, 0.26862651109695435, -0.06365715712308884, 0.013299076817929745, 0.9688432216644287, 0.765710711479187, 0.7795482873916626, -4.456912517547607, -0.7941363453865051, 0.19293369352817535, -0.5437487363815308, -0.352947860956192, 0.07109400629997253, 0.772249162197113, 0.13883323967456818, 2.9829397201538086, 0.9336019158363342, 0.40273937582969666, -2.2051515579223633, -0.5409010052680969]"
Precision_2,0.787857641311933,0.8046057222609909,0.801814375436148
