,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9482695037434942,0.9479442094130089,0.9535572761557516,0.8186484107545436
Precision_0,0.9811391743713149,0.9803736654317032,0.9827664692596855,0.8807062344891765
Recall_0,0.9860913570352887,0.9853279201049767,0.9862944631832953,0.9772449559221129
F1_0,0.9836090325463978,0.9828445495421178,0.9845273056435417,0.9264675301972622
Precision_1,0.827567270730368,0.8131983993889783,0.8441163266324139,0.3837851691536622
Recall_1,0.8059221351938393,0.8059056802474824,0.8353518067531099,0.2217633120516027
F1_1,0.8166012946575577,0.8095356159968264,0.8397111973071547,0.2810987819122309
Precision_2,0.8162211702583851,0.8243201105689413,0.8421366330316818,0.36099408422999574
Recall_2,0.8016218403428657,0.8077243862358274,0.8284020248230757,0.2030768722594284
F1_2,0.8088556335094239,0.8159378701680041,0.8352128682577148,0.25993023993235387
Precision_3,0.8309484582639893,0.8278942314060533,0.8447345723901168,0.36819253710639477
Recall_3,0.8181129527620647,0.8234155900830802,0.822567497468073,0.21855264349644707
F1_3,0.8244807527943507,0.8256488373149055,0.8335036773448027,0.27429096977870093
Precision_4,0.8110997745063575,0.8263254274294367,0.8358090543870902,0.39564860426929394
Recall_4,0.7977686326761229,0.7915113592282134,0.8351183147526606,0.24383127287446663
F1_4,0.8043789724294794,0.808543813100858,0.8354635417984865,0.3017186505410567
Avg_F1,0.847585137187442,0.8485021372245424,0.8656837180703402,0.408701234472321
