,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9881954688413259,0.9906425693729299,0.988095880069025,0.9167281304795569
Precision_0,0.9939817361057417,0.995258455057956,0.9935346524164996,0.9360325728745599
Recall_0,0.9954610780134522,0.9964794134076443,0.9957328289220888,0.9938661242038015
F1_0,0.9947208570431642,0.9958685600020053,0.9946325261569184,0.9640827953712824
Precision_1,0.936374276610963,0.9416385534314444,0.9344414568565143,0.5829547912610858
Recall_1,0.937792032300604,0.940657408462628,0.9335590902430686,0.2632564348859548
F1_1,0.9370826182090305,0.9411477252365982,0.9340000651529465,0.3627146398088851
Precision_2,0.9413115883771678,0.952227625180707,0.946969946887474,0.5646101286173634
Recall_2,0.9347170856481859,0.944362078235227,0.9353524821192916,0.2746379054725558
F1_2,0.9380027467137532,0.9482785416888205,0.9411253637146019,0.3695292376829068
Precision_3,0.946684411146162,0.9553437601824699,0.9394153939516536,0.544406070783562
Recall_3,0.9259485432368586,0.9423401417391165,0.8955598052292413,0.2761180837899947
F1_3,0.9362016719337726,0.9487973982056033,0.9169635291117163,0.36640081886808545
Precision_4,0.9324849296718017,0.957665694039183,0.9462895649720328,0.5654876670434147
Recall_4,0.9117820420459755,0.9404021219464274,0.9334763245792128,0.27852184163992405
F1_4,0.9220172853405741,0.948955398964073,0.9398392746754585,0.373220123302398
Avg_F1,0.9456050358480589,0.95660952481942,0.9453121517623284,0.4871895230067115
