,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.8946496841253352,0.9183821841857319,0.9178703222767135,0.7997691336699442
Precision_0,0.9516176155053994,0.9616456021968512,0.9625002409375739,0.8208803987361348
Recall_0,0.9671762282308762,0.9693056305159216,0.9726935751153545,0.9960899194989016
F1_0,0.9593338430671682,0.9654604227997458,0.9675700621206955,0.9000374767701979
Precision_1,0.6383014305722986,0.7265601882257844,0.7625717068946856,1.0
Recall_1,0.6544355616520565,0.7192204099420594,0.7550206828557344,0.0
F1_1,0.6462678143078877,0.7228716681985294,0.7587774092103563,0.0
Precision_2,0.6309091054992497,0.7604295353036207,0.7357797868383174,1.0
Recall_2,0.5842200689573178,0.7135299013197004,0.6761086672214957,0.0
F1_2,0.6066676183384582,0.7362335730605861,0.7046832766672604,0.0
Precision_3,0.733361513444501,0.7537610984845506,0.7245227930504748,1.0
Recall_3,0.6402422033272833,0.7218352023256339,0.642893185018941,0.0
F1_3,0.6836454873704273,0.7374527772007171,0.6812714982322567,0.0
Precision_4,0.6283882551082017,0.7389290455819443,0.7198630764137853,0.2326833680402179
Recall_4,0.5773312507298843,0.7312273735840243,0.7459710381875511,0.16147962162793414
F1_4,0.6017787313035408,0.7350580363038726,0.7326845529329534,0.19065017880994442
Avg_F1,0.6995386988774964,0.7794152955126901,0.7689973598327045,0.21813753111602846
