,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9570647512864494,0.970299174981277,0.9618557183581765,0.9063843826250816
Precision_0,0.9787240761616826,0.9829820361774317,0.9823126048933025,0.9314646818607164
Recall_0,0.9866616734862118,0.9890736477361456,0.9858641050645595,0.996552527253047
F1_0,0.9826768460491131,0.9860184335684544,0.9840851507052999,0.9629099557487201
Precision_1,0.6996910211673558,0.8252973467520586,0.8017318166552283,1.0
Recall_1,0.6584547282537937,0.782950222055058,0.7942627338087868,0.0
F1_1,0.6784468624236101,0.8035662586205616,0.797979797979798,0.0
Precision_2,0.748785046728972,0.8702909879469464,0.7810019389158643,1.0
Recall_2,0.7264799571072634,0.8163970101239474,0.7431797394897026,0.0
F1_2,0.7374638823745988,0.8424829741011057,0.7616215648407767,0.0
Precision_3,0.835114452348043,0.8751220782603034,0.7558133944454238,1.0
Recall_3,0.7541288034461239,0.8183630911609359,0.7178714400961992,0.0
F1_3,0.7925581692968494,0.8457914152895,0.7363539845116163,0.0
Precision_4,0.6863025551376455,0.8191554316077823,0.7317375886524823,0.2326833680402179
Recall_4,0.6105438436645826,0.7797920135725281,0.7131389613245782,0.34754469194759496
F1_4,0.6462103766761715,0.7989891917557964,0.7223185730878773,0.27874511780269623
Avg_F1,0.7674712273640686,0.8553696546670837,0.8004718142250736,0.24833101471028324
