,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9342929010620459,0.9501218383174959,0.9514035424818335,0.8073723099496926
Precision_0,0.9794098155393096,0.983643349700765,0.9825682125845258,0.8279183416595556
Recall_0,0.9779525149586077,0.9804726646812929,0.9863861643124505,0.9977645419524057
F1_0,0.9786806227523167,0.9820554479624958,0.9844734867996414,0.9049409098973815
Precision_1,0.7385904998447687,0.8230271875917148,0.8232483135347805,1.0
Recall_1,0.7735701479945161,0.8132843533588779,0.8569269167223257,0.0
F1_1,0.7556757452836262,0.8181267653572265,0.8397500764325176,0.0
Precision_2,0.7498119610278298,0.8173414310839261,0.8447405069167209,1.0
Recall_2,0.760507407078861,0.8368668499955646,0.8071232147609332,0.0
F1_2,0.7551218137298078,0.8269889065670843,0.8255035383777899,0.0
Precision_3,0.7986271407699423,0.8132782846107744,0.8192648713936699,1.0
Recall_3,0.7983165681496076,0.8443430467696775,0.7737477963289433,0.0
F1_3,0.7984718242597899,0.8285195800756406,0.7958560552525966,0.0
Precision_4,0.7373530734434383,0.821973524441916,0.8137812289569465,0.2707193443710178
Recall_4,0.7108453194600293,0.8229028528681696,0.8115882892991941,0.19431976605800946
F1_4,0.7238565981224274,0.8224379261273125,0.8126832797769785,0.2262438512624088
Avg_F1,0.8023613208295937,0.855625725217952,0.8516532873279047,0.22623695223195806
