,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9466972645332588,0.9474544962269424,0.9514284341811068,0.8268791049468978
Precision_0,0.9824415596896872,0.9819345863225947,0.9839800749757195,0.8873164966563678
Recall_0,0.9822983435066991,0.9826690616844473,0.9829480557769794,0.977635702508217
F1_0,0.98236994637845,0.9823016867101647,0.983463794633456,0.9302890304044971
Precision_1,0.8089933193492094,0.8067136278868334,0.8206504904491482,0.3972532244057766
Recall_1,0.8046460661845277,0.8001227262765724,0.8360815253122945,0.21654174884944116
F1_1,0.806813836870487,0.80340465984209,0.8282941444668794,0.28029525068507916
Precision_2,0.8204108439449775,0.8144195222522395,0.8337826180720294,0.36539013293620975
Recall_2,0.7953239127743488,0.8104009338025927,0.8205259713846099,0.23649258086765823
F1_2,0.8076726204908538,0.8124052585389204,0.8271011792810219,0.2871391836975719
Precision_3,0.8027787074462152,0.8093249946085831,0.819298940053657,0.3674798727685026
Recall_3,0.8121950372466964,0.8145739637778048,0.808678740731737,0.20964073000052094
F1_3,0.8074594207339442,0.8119409960061098,0.8139541996740408,0.2669762556320314
Precision_4,0.7851716139442633,0.8062301731759322,0.814988074041724,0.3851432444262457
Recall_4,0.8053896087102698,0.8018723976517443,0.8365358919319661,0.2351445246161671
F1_4,0.7951521135031853,0.8040453808752026,0.8256214132871625,0.2920074508628442
Avg_F1,0.8398935875953841,0.8428195963944975,0.8556869462685122,0.4113414342564047
