,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.9607523406931247,0.9776149385131359,0.974744095863611,0.9045184984628284
Precision_0,0.9798304342703714,0.9916461124072379,0.9895164597655575,0.9297817891961938
Recall_0,0.9832991694104035,0.9903964750421718,0.9908168542884765,0.9977278112497184
F1_0,0.9815617373143752,0.9910208997892884,0.9901662300721444,0.9625572285190772
Precision_1,0.869130442214663,0.8239578911622378,0.8431985984232261,1.0
Recall_1,0.9013792369876613,0.8602857750673664,0.8361579917742165,0.0
F1_1,0.8849611431654614,0.8417300503889751,0.8396635364279674,0.0
Precision_2,0.8549333425913067,0.8858335155623588,0.8537272195951331,1.0
Recall_2,0.8688541942312781,0.8575637293816706,0.8503836993913734,0.0
F1_2,0.8618375578556867,0.8714694203171359,0.8520521794463888,0.0
Precision_3,0.6903865891207663,0.7984890455804583,0.8373479203998868,1.0
Recall_3,0.6067455474788207,0.8411948851276065,0.7851293751437011,0.0
F1_3,0.6458694178778522,0.8192858250219627,0.810398335098032,0.0
Precision_4,0.725863833520152,0.9142861615039053,0.840552039328292,0.24465288140410715
Recall_4,0.6874259603993907,0.8986445945322236,0.8601824643456053,0.31782027415806396
F1_4,0.7061221909668447,0.9063979020219419,0.8502539614951793,0.2764777130161874
Avg_F1,0.816070409436044,0.8859808195078609,0.8685068485079425,0.24780698830705292
