,layer0_hidden_states,layer1_hidden_states,layer2_hidden_states,x_hidden_states
Acc,0.975041922861934,0.9867392747344885,0.9762087758524315,0.9067085313024036
Precision_0,0.9906198781419934,0.9944916908598243,0.9911760546233129,0.9310577007656377
Recall_0,0.9908350919212529,0.9940996985694442,0.9912054403306502,0.9980116859017789
F1_0,0.9907274733440068,0.9942956560797602,0.991190747259183,0.963372776567885
Precision_1,0.7933746173604025,0.9042545685458265,0.8571915067513494,1.0
Recall_1,0.8103246904928755,0.9211363268826478,0.904569385298187,0.0
F1_1,0.801760078225699,0.9126173839512217,0.8802433949397632,0.0
Precision_2,0.8413526604459007,0.931378172952818,0.8753744647222069,1.0
Recall_2,0.8368521732969642,0.9202593078040313,0.8436359771865811,0.0
F1_2,0.8390963823325697,0.9257853566401169,0.8592122234348646,0.0
Precision_3,0.8979562644161139,0.9190731150706575,0.8132691958613179,1.0
Recall_3,0.8928,0.9307555555555556,0.7964977777777777,0.0
F1_3,0.895370708790572,0.9248774455681668,0.8047961199928148,0.0
Precision_4,0.8177418843017168,0.9189091707439468,0.8304553324909916,0.2707193443710178
Recall_4,0.8048315817418055,0.9150491122319909,0.8313631181972921,0.35696550431781626
F1_4,0.8112353714299206,0.9169750792222526,0.8309089774004246,0.30791715777066847
Avg_F1,0.8676380028245536,0.9349101842923038,0.8732702926054101,0.25425798686771073
