,layer,alpha,interv,success_rate
0,0,0.25,0,0.21875
1,0,0.25,1,0.21875
2,0,0.25,2,0.25625
3,0,0.25,3,0.3
4,0,0.5,0,0.6625
5,0,0.5,1,0.7125
6,0,0.5,2,0.75625
7,0,0.5,3,0.8
8,0,1.0,0,0.90625
9,0,1.0,1,0.94375
10,0,1.0,2,0.96875
11,0,1.0,3,0.9625
12,0,2.0,0,0.98125
13,0,2.0,1,0.975
14,0,2.0,2,0.95
15,0,2.0,3,0.9
16,0,4.0,0,0.99375
17,0,4.0,1,0.9875
18,0,4.0,2,0.94375
19,0,4.0,3,0.875
20,1,0.25,0,0.08125
21,1,0.25,1,0.09375
22,1,0.25,2,0.10625
23,1,0.25,3,0.1375
24,1,0.5,0,0.38125
25,1,0.5,1,0.4375
26,1,0.5,2,0.46875
27,1,0.5,3,0.59375
28,1,1.0,0,0.8625
29,1,1.0,1,0.9125
30,1,1.0,2,0.9375
31,1,1.0,3,0.9375
32,1,2.0,0,0.85
33,1,2.0,1,0.89375
34,1,2.0,2,0.875
35,1,2.0,3,0.825
36,1,4.0,0,0.84375
37,1,4.0,1,0.85625
38,1,4.0,2,0.7875
39,1,4.0,3,0.76875
40,2,0.25,0,0.4
41,2,0.25,1,0.45
42,2,0.25,2,0.4875
43,2,0.25,3,0.55
44,2,0.5,0,0.89375
45,2,0.5,1,0.91875
46,2,0.5,2,0.95625
47,2,0.5,3,0.95625
48,2,1.0,0,0.975
49,2,1.0,1,0.98125
50,2,1.0,2,0.9875
51,2,1.0,3,1.0
52,2,2.0,0,0.98125
53,2,2.0,1,0.99375
54,2,2.0,2,0.9875
55,2,2.0,3,0.975
56,2,4.0,0,0.9875
57,2,4.0,1,0.95
58,2,4.0,2,0.9
59,2,4.0,3,0.825
