,layer,alpha,intervs,success_rate
0,0,0.25,0,0.25
1,0,0.25,1,0.27
2,0,0.25,2,0.32
3,0,0.25,3,0.345
4,0,0.5,0,0.65
5,0,0.5,1,0.675
6,0,0.5,2,0.74
7,0,0.5,3,0.79
8,0,1.0,0,0.87
9,0,1.0,1,0.905
10,0,1.0,2,0.915
11,0,1.0,3,0.93
12,0,2.0,0,0.94
13,0,2.0,1,0.93
14,0,2.0,2,0.89
15,0,2.0,3,0.85
16,0,4.0,0,0.95
17,0,4.0,1,0.925
18,0,4.0,2,0.845
19,0,4.0,3,0.795
20,1,0.25,0,0.085
21,1,0.25,1,0.105
22,1,0.25,2,0.125
23,1,0.25,3,0.135
24,1,0.5,0,0.49
25,1,0.5,1,0.505
26,1,0.5,2,0.545
27,1,0.5,3,0.685
28,1,1.0,0,0.85
29,1,1.0,1,0.9
30,1,1.0,2,0.89
31,1,1.0,3,0.925
32,1,2.0,0,0.875
33,1,2.0,1,0.9
34,1,2.0,2,0.85
35,1,2.0,3,0.825
36,1,4.0,0,0.875
37,1,4.0,1,0.86
38,1,4.0,2,0.785
39,1,4.0,3,0.765
40,2,0.25,0,0.475
41,2,0.25,1,0.52
42,2,0.25,2,0.57
43,2,0.25,3,0.61
44,2,0.5,0,0.88
45,2,0.5,1,0.905
46,2,0.5,2,0.935
47,2,0.5,3,0.95
48,2,1.0,0,0.965
49,2,1.0,1,0.965
50,2,1.0,2,0.975
51,2,1.0,3,0.98
52,2,2.0,0,0.975
53,2,2.0,1,0.98
54,2,2.0,2,0.985
55,2,2.0,3,0.97
56,2,4.0,0,0.98
57,2,4.0,1,0.96
58,2,4.0,2,0.94
59,2,4.0,3,0.895
60,3,0.25,0,0.02
61,3,0.25,1,0.015
62,3,0.25,2,0.02
63,3,0.25,3,0.025
64,3,0.5,0,0.24
65,3,0.5,1,0.255
66,3,0.5,2,0.265
67,3,0.5,3,0.24
68,3,1.0,0,0.575
69,3,1.0,1,0.445
70,3,1.0,2,0.37
71,3,1.0,3,0.315
72,3,2.0,0,0.515
73,3,2.0,1,0.365
74,3,2.0,2,0.255
75,3,2.0,3,0.175
76,3,4.0,0,0.425
77,3,4.0,1,0.295
78,3,4.0,2,0.175
79,3,4.0,3,0.14
80,4,0.25,0,0.01
81,4,0.25,1,0.01
82,4,0.25,2,0.01
83,4,0.25,3,0.015
84,4,0.5,0,0.06
85,4,0.5,1,0.075
86,4,0.5,2,0.09
87,4,0.5,3,0.085
88,4,1.0,0,0.52
89,4,1.0,1,0.48
90,4,1.0,2,0.495
91,4,1.0,3,0.49
92,4,2.0,0,0.71
93,4,2.0,1,0.66
94,4,2.0,2,0.615
95,4,2.0,3,0.57
96,4,4.0,0,0.795
97,4,4.0,1,0.715
98,4,4.0,2,0.66
99,4,4.0,3,0.57
100,5,0.25,0,0.025
101,5,0.25,1,0.025
102,5,0.25,2,0.02
103,5,0.25,3,0.035
104,5,0.5,0,0.22
105,5,0.5,1,0.265
106,5,0.5,2,0.24
107,5,0.5,3,0.235
108,5,1.0,0,0.48
109,5,1.0,1,0.46
110,5,1.0,2,0.405
111,5,1.0,3,0.355
112,5,2.0,0,0.53
113,5,2.0,1,0.39
114,5,2.0,2,0.28
115,5,2.0,3,0.175
116,5,4.0,0,0.545
117,5,4.0,1,0.27
118,5,4.0,2,0.16
119,5,4.0,3,0.08
