,layer,alpha,success_rate,intervs
0,0,0.25,0.0625,0
1,0,0.5,0.18125,0
2,0,1.0,0.31875,0
3,0,2.0,0.55,0
4,0,4.0,0.65625,0
5,0,0.25,0.125,1
6,0,0.5,0.325,1
7,0,1.0,0.60625,1
8,0,2.0,0.775,1
9,0,4.0,0.80625,1
10,0,0.25,0.28125,2
11,0,0.5,0.55,2
12,0,1.0,0.775,2
13,0,2.0,0.8375,2
14,0,4.0,0.83125,2
15,0,0.25,0.34375,3
16,0,0.5,0.7375,3
17,0,1.0,0.86875,3
18,0,2.0,0.86875,3
19,0,4.0,0.83125,3
20,1,0.25,0.075,0
21,1,0.5,0.25625,0
22,1,1.0,0.575,0
23,1,2.0,0.6375,0
24,1,4.0,0.69375,0
25,1,0.25,0.15,1
26,1,0.5,0.425,1
27,1,1.0,0.73125,1
28,1,2.0,0.75,1
29,1,4.0,0.69375,1
30,1,0.25,0.2,2
31,1,0.5,0.58125,2
32,1,1.0,0.7875,2
33,1,2.0,0.74375,2
34,1,4.0,0.6375,2
35,1,0.25,0.3375,3
36,1,0.5,0.7,3
37,1,1.0,0.84375,3
38,1,2.0,0.79375,3
39,1,4.0,0.60625,3
40,2,0.25,0.10625,0
41,2,0.5,0.36875,0
42,2,1.0,0.79375,0
43,2,2.0,0.81875,0
44,2,4.0,0.75,0
45,2,0.25,0.16875,1
46,2,0.5,0.5,1
47,2,1.0,0.825,1
48,2,2.0,0.75625,1
49,2,4.0,0.74375,1
50,2,0.25,0.24375,2
51,2,0.5,0.5625,2
52,2,1.0,0.7,2
53,2,2.0,0.61875,2
54,2,4.0,0.5125,2
55,2,0.25,0.33125,3
56,2,0.5,0.61875,3
57,2,1.0,0.53125,3
58,2,2.0,0.43125,3
59,2,4.0,0.3375,3
