,layer,alpha,success_rate,intervs
0,0,0.25,0.04,1
1,0,0.5,0.095,1
2,0,1.0,0.27,1
3,0,2.0,0.42,1
4,0,4.0,0.475,1
5,1,0.25,0.015,1
6,1,0.5,0.035,1
7,1,1.0,0.19,1
8,1,2.0,0.215,1
9,1,4.0,0.22,1
10,2,0.25,0.08,1
11,2,0.5,0.21,1
12,2,1.0,0.47,1
13,2,2.0,0.555,1
14,2,4.0,0.565,1
15,3,0.25,0.005,1
16,3,0.5,0.005,1
17,3,1.0,0.025,1
18,3,2.0,0.03,1
19,3,4.0,0.055,1
20,4,0.25,0.03,1
21,4,0.5,0.1,1
22,4,1.0,0.23,1
23,4,2.0,0.4,1
24,4,4.0,0.475,1
25,5,0.25,0.065,1
26,5,0.5,0.08,1
27,5,1.0,0.1,1
28,5,2.0,0.095,1
29,5,4.0,0.125,1
