,layer,alpha,success_rate,intervs
0,0,0.25,0.125,1
1,0,0.5,0.325,1
2,0,1.0,0.555,1
3,0,2.0,0.715,1
4,0,4.0,0.725,1
5,1,0.25,0.0,1
6,1,0.5,0.01,1
7,1,1.0,0.04,1
8,1,2.0,0.115,1
9,1,4.0,0.315,1
10,2,0.25,0.02,1
11,2,0.5,0.035,1
12,2,1.0,0.425,1
13,2,2.0,0.49,1
14,2,4.0,0.515,1
15,3,0.25,0.025,1
16,3,0.5,0.11,1
17,3,1.0,0.215,1
18,3,2.0,0.29,1
19,3,4.0,0.305,1
20,4,0.25,0.035,1
21,4,0.5,0.1,1
22,4,1.0,0.34,1
23,4,2.0,0.435,1
24,4,4.0,0.5,1
25,5,0.25,0.085,1
26,5,0.5,0.175,1
27,5,1.0,0.285,1
28,5,2.0,0.155,1
29,5,4.0,0.115,1
