,layer,alpha,success_rate,intervs
0,0,0.25,0.28,1
1,0,0.5,0.745,1
2,0,1.0,0.93,1
3,0,2.0,0.94,1
4,0,4.0,0.925,1
5,1,0.25,0.11,1
6,1,0.5,0.535,1
7,1,1.0,0.865,1
8,1,2.0,0.93,1
9,1,4.0,0.885,1
10,2,0.25,0.035,1
11,2,0.5,0.28,1
12,2,1.0,0.53,1
13,2,2.0,0.5,1
14,2,4.0,0.36,1
15,3,0.25,0.04,1
16,3,0.5,0.215,1
17,3,1.0,0.32,1
18,3,2.0,0.36,1
19,3,4.0,0.275,1
20,4,0.25,0.07,1
21,4,0.5,0.2,1
22,4,1.0,0.265,1
23,4,2.0,0.24,1
24,4,4.0,0.255,1
25,5,0.25,0.125,1
26,5,0.5,0.295,1
27,5,1.0,0.35,1
28,5,2.0,0.175,1
29,5,4.0,0.125,1
