,layer,alpha,interv,success_rate
0,0,0.25,0,0.25625
1,0,0.25,1,0.2625
2,0,0.25,2,0.3125
3,0,0.25,3,0.34375
4,0,0.5,0,0.68125
5,0,0.5,1,0.69375
6,0,0.5,2,0.76875
7,0,0.5,3,0.81875
8,0,1.0,0,0.91875
9,0,1.0,1,0.94375
10,0,1.0,2,0.9625
11,0,1.0,3,0.975
12,0,2.0,0,0.98125
13,0,2.0,1,0.975
14,0,2.0,2,0.95
15,0,2.0,3,0.89375
16,0,4.0,0,0.99375
17,0,4.0,1,0.975
18,0,4.0,2,0.9
19,0,4.0,3,0.8375
20,1,0.25,0,0.09375
21,1,0.25,1,0.1125
22,1,0.25,2,0.14375
23,1,0.25,3,0.15625
24,1,0.5,0,0.5
25,1,0.5,1,0.5
26,1,0.5,2,0.55
27,1,0.5,3,0.71875
28,1,1.0,0,0.86875
29,1,1.0,1,0.91875
30,1,1.0,2,0.90625
31,1,1.0,3,0.94375
32,1,2.0,0,0.8875
33,1,2.0,1,0.90625
34,1,2.0,2,0.8625
35,1,2.0,3,0.8375
36,1,4.0,0,0.875
37,1,4.0,1,0.88125
38,1,4.0,2,0.8
39,1,4.0,3,0.76875
40,2,0.25,0,0.4875
41,2,0.25,1,0.51875
42,2,0.25,2,0.56875
43,2,0.25,3,0.61875
44,2,0.5,0,0.9125
45,2,0.5,1,0.93125
46,2,0.5,2,0.9625
47,2,0.5,3,0.96875
48,2,1.0,0,0.98125
49,2,1.0,1,0.9875
50,2,1.0,2,0.98125
51,2,1.0,3,0.99375
52,2,2.0,0,0.99375
53,2,2.0,1,0.99375
54,2,2.0,2,0.99375
55,2,2.0,3,0.98125
56,2,4.0,0,0.99375
57,2,4.0,1,0.98125
58,2,4.0,2,0.95625
59,2,4.0,3,0.9
