,layer,alpha,success_rate,intervs
0,0,0.25,0.0625,0
1,0,0.5,0.2125,0
2,0,1.0,0.4,0
3,0,2.0,0.58125,0
4,0,4.0,0.66875,0
5,0,0.25,0.13125,1
6,0,0.5,0.31875,1
7,0,1.0,0.5125,1
8,0,2.0,0.7375,1
9,0,4.0,0.7375,1
10,0,0.25,0.26875,2
11,0,0.5,0.5125,2
12,0,1.0,0.7375,2
13,0,2.0,0.81875,2
14,0,4.0,0.79375,2
15,0,0.25,0.34375,3
16,0,0.5,0.65625,3
17,0,1.0,0.79375,3
18,0,2.0,0.85625,3
19,0,4.0,0.7875,3
20,1,0.25,0.08125,0
21,1,0.5,0.25625,0
22,1,1.0,0.625,0
23,1,2.0,0.70625,0
24,1,4.0,0.69375,0
25,1,0.25,0.10625,1
26,1,0.5,0.3125,1
27,1,1.0,0.55,1
28,1,2.0,0.5125,1
29,1,4.0,0.4375,1
30,1,0.25,0.175,2
31,1,0.5,0.425,2
32,1,1.0,0.6625,2
33,1,2.0,0.575,2
34,1,4.0,0.4875,2
35,1,0.25,0.23125,3
36,1,0.5,0.58125,3
37,1,1.0,0.71875,3
38,1,2.0,0.6,3
39,1,4.0,0.41875,3
40,2,0.25,0.3125,0
41,2,0.5,0.68125,0
42,2,1.0,0.8625,0
43,2,2.0,0.8375,0
44,2,4.0,0.7625,0
45,2,0.25,0.35,1
46,2,0.5,0.7625,1
47,2,1.0,0.75,1
48,2,2.0,0.5875,1
49,2,4.0,0.41875,1
50,2,0.25,0.46875,2
51,2,0.5,0.83125,2
52,2,1.0,0.75,2
53,2,2.0,0.5875,2
54,2,4.0,0.41875,2
55,2,0.25,0.575,3
56,2,0.5,0.85,3
57,2,1.0,0.66875,3
58,2,2.0,0.4625,3
59,2,4.0,0.35,3
