,0
0,4003
1,4004
2,4027
3,4031
4,4046
5,4056
6,4057
7,4061
8,4065
9,4095
10,4108
11,4110
12,4113
13,4115
14,4125
15,4128
16,4145
17,4148
18,4157
19,4172
20,4175
21,4190
22,4191
23,4206
24,4214
25,4236
26,4252
27,4253
28,4263
29,4273
30,4277
31,4281
32,4284
33,4291
34,4297
35,4299
36,4316
37,4322
38,4325
39,4328
40,4334
41,4348
42,4353
43,4374
44,4384
45,4392
46,4401
47,4405
48,4416
49,4421
50,4423
51,4429
52,4431
53,4438
54,4451
55,4466
56,4474
57,4486
58,4494
59,4496
60,4504
61,4511
62,4523
63,4524
64,4533
65,4538
66,4551
67,4557
68,4575
69,4588
70,4597
71,4600
72,4620
73,4626
74,4649
75,4652
76,4667
77,4685
78,4686
79,4713
80,4718
81,4728
82,4733
83,4748
84,4753
85,4776
86,4786
87,4800
88,4830
89,4849
90,4850
91,4854
92,4860
93,4868
94,4881
95,4892
96,4895
97,4935
98,4952
99,4956
100,4959
101,4968
102,4982
103,4987
