,0
0,18003
1,18009
2,18025
3,18035
4,18036
5,18039
6,18040
7,18056
8,18069
9,18076
10,18085
11,18100
12,18101
13,18103
14,18109
15,18118
16,18119
17,18125
18,18127
19,18134
20,18136
21,18146
22,18148
23,18186
24,18192
25,18193
26,18199
27,18202
28,18214
29,18238
30,18243
31,18257
32,18261
33,18263
34,18271
35,18274
36,18282
37,18292
38,18307
39,18321
40,18327
41,18331
42,18346
43,18366
44,18372
45,18379
46,18385
47,18395
48,18399
49,18406
50,18409
51,18413
52,18434
53,18446
54,18459
55,18512
56,18519
57,18542
58,18547
59,18558
60,18569
61,18615
62,18621
63,18628
64,18663
65,18676
66,18685
67,18687
68,18691
69,18708
70,18760
71,18761
72,18763
73,18765
74,18778
75,18800
76,18806
77,18846
78,18847
79,18859
80,18868
81,18875
82,18913
83,18926
84,18931
85,18941
86,18952
87,18953
88,18957
89,18970
90,18988
91,19005
92,19019
93,19024
94,19027
95,19045
96,19054
97,19065
98,19068
99,19075
100,19097
101,19100
102,19111
103,19127
104,19144
105,19161
106,19193
107,19224
108,19228
109,19254
110,19256
111,19267
112,19292
113,19313
114,19315
115,19331
116,19337
117,19349
118,19370
119,19377
120,19403
121,19405
122,19445
123,19449
124,19492
125,19498
126,19499
127,19509
128,19516
129,19518
130,19526
131,19532
132,19579
133,19580
134,19581
135,19608
136,19616
137,19628
138,19629
139,19630
140,19636
141,19648
142,19651
143,19660
144,19698
145,19712
146,19717
147,19728
148,19729
149,19733
150,19741
151,19745
152,19751
153,19753
154,19764
155,19767
156,19769
157,19782
158,19788
159,19821
160,19836
161,19841
162,19856
163,19858
164,19868
165,19874
166,19876
167,19877
168,19881
169,19885
170,19888
171,19895
172,19897
173,19900
174,19931
175,19937
176,19986
177,19996
