,success_Rate,agent,thinking_steps
0,0.0,1m,6
1,0.0,2m,6
2,0.0,3m,6
3,0.0,4m,6
4,0.0,5m,6
5,0.0,6m,6
6,0.0,7m,6
7,0.0,8m,6
8,0.0,9m,6
9,0.0,10m,6
10,0.0,11m,6
11,0.015,12m,6
12,0.01,13m,6
13,0.0,14m,6
14,0.025,15m,6
15,0.085,16m,6
16,0.075,17m,6
17,0.185,18m,6
18,0.09,19m,6
19,0.285,20m,6
20,0.335,21m,6
21,0.44,22m,6
22,0.31,23m,6
23,0.195,24m,6
24,0.445,25m,6
25,0.025,26m,6
26,0.36,27m,6
27,0.595,28m,6
28,0.495,29m,6
29,0.29,30m,6
30,0.43,31m,6
31,0.45,32m,6
32,0.375,33m,6
33,0.565,34m,6
34,0.555,35m,6
35,0.525,36m,6
36,0.495,37m,6
37,0.425,38m,6
38,0.49,39m,6
39,0.67,40m,6
40,0.67,41m,6
41,0.49,42m,6
42,0.465,43m,6
43,0.635,44m,6
44,0.585,45m,6
45,0.625,46m,6
46,0.735,47m,6
47,0.84,48m,6
48,0.625,49m,6
49,0.69,50m,6
50,0.0,1m,7
51,0.0,2m,7
52,0.0,3m,7
53,0.0,4m,7
54,0.0,5m,7
55,0.0,6m,7
56,0.0,7m,7
57,0.0,8m,7
58,0.0,9m,7
59,0.0,10m,7
60,0.0,11m,7
61,0.015,12m,7
62,0.01,13m,7
63,0.0,14m,7
64,0.02,15m,7
65,0.075,16m,7
66,0.075,17m,7
67,0.2,18m,7
68,0.11,19m,7
69,0.295,20m,7
70,0.325,21m,7
71,0.485,22m,7
72,0.315,23m,7
73,0.2,24m,7
74,0.42,25m,7
75,0.03,26m,7
76,0.38,27m,7
77,0.59,28m,7
78,0.48,29m,7
79,0.33,30m,7
80,0.45,31m,7
81,0.42,32m,7
82,0.375,33m,7
83,0.545,34m,7
84,0.55,35m,7
85,0.555,36m,7
86,0.5,37m,7
87,0.44,38m,7
88,0.475,39m,7
89,0.65,40m,7
90,0.65,41m,7
91,0.49,42m,7
92,0.47,43m,7
93,0.63,44m,7
94,0.61,45m,7
95,0.625,46m,7
96,0.75,47m,7
97,0.84,48m,7
98,0.62,49m,7
99,0.69,50m,7
100,0.0,1m,8
101,0.0,2m,8
102,0.0,3m,8
103,0.0,4m,8
104,0.0,5m,8
105,0.0,6m,8
106,0.0,7m,8
107,0.0,8m,8
108,0.0,9m,8
109,0.0,10m,8
110,0.0,11m,8
111,0.015,12m,8
112,0.015,13m,8
113,0.005,14m,8
114,0.02,15m,8
115,0.1,16m,8
116,0.075,17m,8
117,0.21,18m,8
118,0.105,19m,8
119,0.31,20m,8
120,0.305,21m,8
121,0.445,22m,8
122,0.345,23m,8
123,0.235,24m,8
124,0.435,25m,8
125,0.02,26m,8
126,0.42,27m,8
127,0.595,28m,8
128,0.495,29m,8
129,0.32,30m,8
130,0.46,31m,8
131,0.42,32m,8
132,0.395,33m,8
133,0.525,34m,8
134,0.545,35m,8
135,0.54,36m,8
136,0.51,37m,8
137,0.455,38m,8
138,0.475,39m,8
139,0.65,40m,8
140,0.65,41m,8
141,0.495,42m,8
142,0.465,43m,8
143,0.63,44m,8
144,0.59,45m,8
145,0.625,46m,8
146,0.75,47m,8
147,0.815,48m,8
148,0.63,49m,8
149,0.69,50m,8
150,0.0,1m,9
151,0.0,2m,9
152,0.0,3m,9
153,0.0,4m,9
154,0.0,5m,9
155,0.0,6m,9
156,0.0,7m,9
157,0.0,8m,9
158,0.0,9m,9
159,0.0,10m,9
160,0.0,11m,9
161,0.015,12m,9
162,0.005,13m,9
163,0.0,14m,9
164,0.02,15m,9
165,0.11,16m,9
166,0.07,17m,9
167,0.215,18m,9
168,0.12,19m,9
169,0.325,20m,9
170,0.315,21m,9
171,0.47,22m,9
172,0.35,23m,9
173,0.21,24m,9
174,0.435,25m,9
175,0.035,26m,9
176,0.39,27m,9
177,0.605,28m,9
178,0.495,29m,9
179,0.34,30m,9
180,0.46,31m,9
181,0.455,32m,9
182,0.395,33m,9
183,0.545,34m,9
184,0.56,35m,9
185,0.525,36m,9
186,0.5,37m,9
187,0.45,38m,9
188,0.485,39m,9
189,0.645,40m,9
190,0.645,41m,9
191,0.49,42m,9
192,0.47,43m,9
193,0.63,44m,9
194,0.605,45m,9
195,0.62,46m,9
196,0.76,47m,9
197,0.83,48m,9
198,0.635,49m,9
199,0.675,50m,9
200,0.0,1m,10
201,0.0,2m,10
202,0.0,3m,10
203,0.0,4m,10
204,0.0,5m,10
205,0.0,6m,10
206,0.0,7m,10
207,0.0,8m,10
208,0.0,9m,10
209,0.0,10m,10
210,0.0,11m,10
211,0.015,12m,10
212,0.005,13m,10
213,0.005,14m,10
214,0.02,15m,10
215,0.12,16m,10
216,0.09,17m,10
217,0.235,18m,10
218,0.145,19m,10
219,0.325,20m,10
220,0.34,21m,10
221,0.465,22m,10
222,0.38,23m,10
223,0.225,24m,10
224,0.43,25m,10
225,0.03,26m,10
226,0.435,27m,10
227,0.59,28m,10
228,0.5,29m,10
229,0.365,30m,10
230,0.455,31m,10
231,0.425,32m,10
232,0.385,33m,10
233,0.555,34m,10
234,0.55,35m,10
235,0.515,36m,10
236,0.495,37m,10
237,0.41,38m,10
238,0.5,39m,10
239,0.655,40m,10
240,0.655,41m,10
241,0.505,42m,10
242,0.465,43m,10
243,0.625,44m,10
244,0.61,45m,10
245,0.64,46m,10
246,0.765,47m,10
247,0.815,48m,10
248,0.63,49m,10
249,0.685,50m,10
