,success_Rate,agent,thinking_steps
0,0.0,10m,0
1,0.2375,20m,0
2,0.29583333333333334,30m,0
3,0.36666666666666664,40m,0
4,0.675,50m,0
5,0.0,10m,1
6,0.5541666666666667,20m,1
7,0.5666666666666667,30m,1
8,0.8291666666666667,40m,1
9,0.9333333333333333,50m,1
10,0.0,10m,2
11,0.7,20m,2
12,0.675,30m,2
13,0.9083333333333333,40m,2
14,0.9791666666666666,50m,2
15,0.0,10m,3
16,0.6666666666666666,20m,3
17,0.7083333333333334,30m,3
18,0.9208333333333333,40m,3
19,0.9875,50m,3
20,0.0,10m,4
21,0.6958333333333333,20m,4
22,0.6958333333333333,30m,4
23,0.9125,40m,4
24,0.9875,50m,4
25,0.0,10m,5
26,0.7416666666666667,20m,5
27,0.7041666666666667,30m,5
28,0.9,40m,5
29,0.9916666666666667,50m,5
