,success_Rate,agent,thinking_steps
0,0.0,1m,0
1,0.0,2m,0
2,0.0,3m,0
3,0.0,4m,0
4,0.0,5m,0
5,0.0,6m,0
6,0.0,7m,0
7,0.0,8m,0
8,0.0,9m,0
9,0.0,10m,0
10,0.0,11m,0
11,0.0,12m,0
12,0.0,13m,0
13,0.0,14m,0
14,0.01,15m,0
15,0.04,16m,0
16,0.025,17m,0
17,0.05,18m,0
18,0.03,19m,0
19,0.05,20m,0
20,0.02,21m,0
21,0.065,22m,0
22,0.055,23m,0
23,0.015,24m,0
24,0.045,25m,0
25,0.005,26m,0
26,0.01,27m,0
27,0.13,28m,0
28,0.06,29m,0
29,0.01,30m,0
30,0.035,31m,0
31,0.01,32m,0
32,0.015,33m,0
33,0.065,34m,0
34,0.015,35m,0
35,0.015,36m,0
36,0.025,37m,0
37,0.005,38m,0
38,0.015,39m,0
39,0.005,40m,0
40,0.005,41m,0
41,0.05,42m,0
42,0.045,43m,0
43,0.015,44m,0
44,0.06,45m,0
45,0.0,46m,0
46,0.02,47m,0
47,0.04,48m,0
48,0.005,49m,0
49,0.02,50m,0
50,0.0,1m,1
51,0.0,2m,1
52,0.0,3m,1
53,0.0,4m,1
54,0.0,5m,1
55,0.0,6m,1
56,0.0,7m,1
57,0.0,8m,1
58,0.0,9m,1
59,0.0,10m,1
60,0.0,11m,1
61,0.005,12m,1
62,0.01,13m,1
63,0.0,14m,1
64,0.02,15m,1
65,0.015,16m,1
66,0.03,17m,1
67,0.065,18m,1
68,0.02,19m,1
69,0.07,20m,1
70,0.055,21m,1
71,0.13,22m,1
72,0.075,23m,1
73,0.03,24m,1
74,0.09,25m,1
75,0.0,26m,1
76,0.035,27m,1
77,0.305,28m,1
78,0.18,29m,1
79,0.05,30m,1
80,0.095,31m,1
81,0.02,32m,1
82,0.05,33m,1
83,0.115,34m,1
84,0.09,35m,1
85,0.045,36m,1
86,0.1,37m,1
87,0.045,38m,1
88,0.035,39m,1
89,0.055,40m,1
90,0.055,41m,1
91,0.07,42m,1
92,0.145,43m,1
93,0.18,44m,1
94,0.24,45m,1
95,0.055,46m,1
96,0.17,47m,1
97,0.255,48m,1
98,0.02,49m,1
99,0.2,50m,1
100,0.0,1m,2
101,0.0,2m,2
102,0.0,3m,2
103,0.0,4m,2
104,0.0,5m,2
105,0.0,6m,2
106,0.0,7m,2
107,0.0,8m,2
108,0.0,9m,2
109,0.0,10m,2
110,0.0,11m,2
111,0.005,12m,2
112,0.01,13m,2
113,0.0,14m,2
114,0.015,15m,2
115,0.06,16m,2
116,0.04,17m,2
117,0.115,18m,2
118,0.03,19m,2
119,0.12,20m,2
120,0.125,21m,2
121,0.225,22m,2
122,0.135,23m,2
123,0.065,24m,2
124,0.215,25m,2
125,0.005,26m,2
126,0.07,27m,2
127,0.425,28m,2
128,0.315,29m,2
129,0.155,30m,2
130,0.21,31m,2
131,0.12,32m,2
132,0.165,33m,2
133,0.255,34m,2
134,0.265,35m,2
135,0.16,36m,2
136,0.29,37m,2
137,0.205,38m,2
138,0.23,39m,2
139,0.295,40m,2
140,0.295,41m,2
141,0.2,42m,2
142,0.365,43m,2
143,0.37,44m,2
144,0.52,45m,2
145,0.35,46m,2
146,0.44,47m,2
147,0.53,48m,2
148,0.255,49m,2
149,0.53,50m,2
150,0.0,1m,3
151,0.0,2m,3
152,0.0,3m,3
153,0.0,4m,3
154,0.0,5m,3
155,0.0,6m,3
156,0.0,7m,3
157,0.0,8m,3
158,0.0,9m,3
159,0.0,10m,3
160,0.0,11m,3
161,0.01,12m,3
162,0.015,13m,3
163,0.0,14m,3
164,0.03,15m,3
165,0.085,16m,3
166,0.075,17m,3
167,0.135,18m,3
168,0.055,19m,3
169,0.185,20m,3
170,0.19,21m,3
171,0.305,22m,3
172,0.17,23m,3
173,0.095,24m,3
174,0.375,25m,3
175,0.025,26m,3
176,0.165,27m,3
177,0.515,28m,3
178,0.43,29m,3
179,0.255,30m,3
180,0.375,31m,3
181,0.26,32m,3
182,0.265,33m,3
183,0.4,34m,3
184,0.42,35m,3
185,0.35,36m,3
186,0.42,37m,3
187,0.315,38m,3
188,0.39,39m,3
189,0.53,40m,3
190,0.53,41m,3
191,0.38,42m,3
192,0.43,43m,3
193,0.555,44m,3
194,0.595,45m,3
195,0.49,46m,3
196,0.7,47m,3
197,0.765,48m,3
198,0.53,49m,3
199,0.645,50m,3
