,success_Rate,agent,thinking_steps
0,0.0,1m,0
1,0.0,2m,0
2,0.0,3m,0
3,0.0,4m,0
4,0.0,5m,0
5,0.0,6m,0
6,0.0,7m,0
7,0.0,8m,0
8,0.0,9m,0
9,0.0,10m,0
10,0.0,11m,0
11,0.0025,12m,0
12,0.0175,13m,0
13,0.0275,14m,0
14,0.0625,15m,0
15,0.0925,16m,0
16,0.0725,17m,0
17,0.195,18m,0
18,0.0775,19m,0
19,0.17,20m,0
20,0.0,1m,5
21,0.0,2m,5
22,0.0,3m,5
23,0.0,4m,5
24,0.0,5m,5
25,0.0,6m,5
26,0.0,7m,5
27,0.0,8m,5
28,0.0,9m,5
29,0.0,10m,5
30,0.0,11m,5
31,0.0025,12m,5
32,0.045,13m,5
33,0.0725,14m,5
34,0.1775,15m,5
35,0.34,16m,5
36,0.305,17m,5
37,0.5375,18m,5
38,0.3825,19m,5
39,0.6825,20m,5
