,success_Rate,agent,thinking_steps
0,0.12,21m,0
1,0.1375,22m,0
2,0.17,23m,0
3,0.105,24m,0
4,0.1675,25m,0
5,0.0175,26m,0
6,0.0925,27m,0
7,0.39,28m,0
8,0.3525,29m,0
9,0.14,30m,0
10,0.1625,31m,0
11,0.0475,32m,0
12,0.1375,33m,0
13,0.21,34m,0
14,0.2,35m,0
15,0.11,36m,0
16,0.2125,37m,0
17,0.1225,38m,0
18,0.1125,39m,0
19,0.1525,40m,0
20,0.1525,41m,0
21,0.1675,42m,0
22,0.2,43m,0
23,0.195,44m,0
24,0.3975,45m,0
25,0.1075,46m,0
26,0.2325,47m,0
27,0.41,48m,0
28,0.0875,49m,0
29,0.3575,50m,0
30,0.5775,21m,5
31,0.7325,22m,5
32,0.69,23m,5
33,0.505,24m,5
34,0.61,25m,5
35,0.185,26m,5
36,0.8,27m,5
37,0.89,28m,5
38,0.78,29m,5
39,0.61,30m,5
40,0.725,31m,5
41,0.765,32m,5
42,0.72,33m,5
43,0.78,34m,5
44,0.7775,35m,5
45,0.8125,36m,5
46,0.8,37m,5
47,0.755,38m,5
48,0.7725,39m,5
49,0.8475,40m,5
50,0.8475,41m,5
51,0.7625,42m,5
52,0.685,43m,5
53,0.8475,44m,5
54,0.825,45m,5
55,0.81,46m,5
56,0.8825,47m,5
57,0.9625,48m,5
58,0.8175,49m,5
59,0.8975,50m,5
