,success_Rate,agent,thinking_steps
0,0.0,1m,0
1,0.0,2m,0
2,0.0,3m,0
3,0.0,4m,0
4,0.0,5m,0
5,0.001,6m,0
6,0.006,7m,0
7,0.008,8m,0
8,0.006,9m,0
9,0.012,10m,0
10,0.027,11m,0
11,0.031,12m,0
12,0.038,13m,0
13,0.054,14m,0
14,0.09,15m,0
15,0.089,16m,0
16,0.094,17m,0
17,0.106,18m,0
18,0.123,19m,0
19,0.123,20m,0
20,0.11,21m,0
21,0.164,22m,0
22,0.138,23m,0
23,0.148,24m,0
24,0.152,25m,0
25,0.128,26m,0
26,0.214,27m,0
27,0.219,28m,0
28,0.256,29m,0
29,0.175,30m,0
30,0.217,31m,0
31,0.2,32m,0
32,0.286,33m,0
33,0.223,34m,0
34,0.239,35m,0
35,0.274,36m,0
36,0.286,37m,0
37,0.278,38m,0
38,0.268,39m,0
39,0.254,40m,0
40,0.254,41m,0
41,0.294,42m,0
42,0.348,43m,0
43,0.309,44m,0
44,0.342,45m,0
45,0.294,46m,0
46,0.374,47m,0
47,0.316,48m,0
48,0.306,49m,0
49,0.095,50m,0
50,0.0,1m,5
51,0.0,2m,5
52,0.0,3m,5
53,0.0,4m,5
54,0.0,5m,5
55,0.001,6m,5
56,0.005,7m,5
57,0.009,8m,5
58,0.007,9m,5
59,0.013,10m,5
60,0.029,11m,5
61,0.033,12m,5
62,0.038,13m,5
63,0.071,14m,5
64,0.092,15m,5
65,0.114,16m,5
66,0.1,17m,5
67,0.124,18m,5
68,0.17,19m,5
69,0.17,20m,5
70,0.154,21m,5
71,0.242,22m,5
72,0.169,23m,5
73,0.236,24m,5
74,0.223,25m,5
75,0.172,26m,5
76,0.319,27m,5
77,0.323,28m,5
78,0.389,29m,5
79,0.27,30m,5
80,0.326,31m,5
81,0.322,32m,5
82,0.419,33m,5
83,0.344,34m,5
84,0.393,35m,5
85,0.454,36m,5
86,0.434,37m,5
87,0.454,38m,5
88,0.443,39m,5
89,0.42,40m,5
90,0.42,41m,5
91,0.483,42m,5
92,0.512,43m,5
93,0.505,44m,5
94,0.532,45m,5
95,0.445,46m,5
96,0.532,47m,5
97,0.517,48m,5
98,0.551,49m,5
99,0.832,50m,5
100,0.0,1m,1
101,0.0,2m,1
102,0.0,3m,1
103,0.0,4m,1
104,0.0,5m,1
105,0.001,6m,1
106,0.005,7m,1
107,0.009,8m,1
108,0.007,9m,1
109,0.014,10m,1
110,0.03,11m,1
111,0.032,12m,1
112,0.045,13m,1
113,0.063,14m,1
114,0.097,15m,1
115,0.099,16m,1
116,0.097,17m,1
117,0.118,18m,1
118,0.15,19m,1
119,0.146,20m,1
120,0.127,21m,1
121,0.197,22m,1
122,0.144,23m,1
123,0.182,24m,1
124,0.182,25m,1
125,0.143,26m,1
126,0.238,27m,1
127,0.257,28m,1
128,0.309,29m,1
129,0.201,30m,1
130,0.248,31m,1
131,0.235,32m,1
132,0.35,33m,1
133,0.275,34m,1
134,0.295,35m,1
135,0.334,36m,1
136,0.33,37m,1
137,0.366,38m,1
138,0.344,39m,1
139,0.309,40m,1
140,0.309,41m,1
141,0.382,42m,1
142,0.413,43m,1
143,0.395,44m,1
144,0.436,45m,1
145,0.356,46m,1
146,0.43,47m,1
147,0.405,48m,1
148,0.406,49m,1
149,0.423,50m,1
150,0.0,1m,2
151,0.0,2m,2
152,0.0,3m,2
153,0.0,4m,2
154,0.0,5m,2
155,0.001,6m,2
156,0.005,7m,2
157,0.009,8m,2
158,0.007,9m,2
159,0.014,10m,2
160,0.03,11m,2
161,0.03,12m,2
162,0.043,13m,2
163,0.065,14m,2
164,0.101,15m,2
165,0.103,16m,2
166,0.097,17m,2
167,0.131,18m,2
168,0.161,19m,2
169,0.161,20m,2
170,0.142,21m,2
171,0.212,22m,2
172,0.148,23m,2
173,0.198,24m,2
174,0.204,25m,2
175,0.154,26m,2
176,0.274,27m,2
177,0.284,28m,2
178,0.344,29m,2
179,0.238,30m,2
180,0.283,31m,2
181,0.28,32m,2
182,0.384,33m,2
183,0.315,34m,2
184,0.336,35m,2
185,0.399,36m,2
186,0.371,37m,2
187,0.417,38m,2
188,0.388,39m,2
189,0.379,40m,2
190,0.379,41m,2
191,0.448,42m,2
192,0.464,43m,2
193,0.439,44m,2
194,0.501,45m,2
195,0.408,46m,2
196,0.491,47m,2
197,0.46,48m,2
198,0.481,49m,2
199,0.556,50m,2
200,0.0,1m,3
201,0.0,2m,3
202,0.0,3m,3
203,0.0,4m,3
204,0.0,5m,3
205,0.001,6m,3
206,0.005,7m,3
207,0.009,8m,3
208,0.008,9m,3
209,0.014,10m,3
210,0.029,11m,3
211,0.029,12m,3
