,success_Rate,agent,thinking_steps
0,0.0,1m,0
1,0.0,2m,0
2,0.0,3m,0
3,0.0,4m,0
4,0.0,5m,0
5,0.0,6m,0
6,0.001,7m,0
7,0.002,8m,0
8,0.003,9m,0
9,0.007,10m,0
10,0.01,11m,0
11,0.012,12m,0
12,0.013,13m,0
13,0.028,14m,0
14,0.049,15m,0
15,0.035,16m,0
16,0.055,17m,0
17,0.066,18m,0
18,0.063,19m,0
19,0.06,20m,0
20,0.067,21m,0
21,0.08,22m,0
22,0.065,23m,0
23,0.077,24m,0
24,0.067,25m,0
25,0.061,26m,0
26,0.1,27m,0
27,0.118,28m,0
28,0.128,29m,0
29,0.09,30m,0
30,0.12,31m,0
31,0.092,32m,0
32,0.158,33m,0
33,0.127,34m,0
34,0.127,35m,0
35,0.126,36m,0
36,0.148,37m,0
37,0.145,38m,0
38,0.134,39m,0
39,0.12,40m,0
40,0.12,41m,0
41,0.149,42m,0
42,0.175,43m,0
43,0.142,44m,0
44,0.188,45m,0
45,0.147,46m,0
46,0.211,47m,0
47,0.175,48m,0
48,0.161,49m,0
49,0.168,50m,0
50,0.0,1m,1
51,0.0,2m,1
52,0.0,3m,1
53,0.0,4m,1
54,0.0,5m,1
55,0.0,6m,1
56,0.001,7m,1
57,0.004,8m,1
58,0.006,9m,1
59,0.008,10m,1
60,0.013,11m,1
61,0.013,12m,1
62,0.016,13m,1
63,0.026,14m,1
64,0.056,15m,1
65,0.047,16m,1
66,0.059,17m,1
67,0.057,18m,1
68,0.077,19m,1
69,0.058,20m,1
70,0.075,21m,1
71,0.097,22m,1
72,0.071,23m,1
73,0.092,24m,1
74,0.082,25m,1
75,0.068,26m,1
76,0.135,27m,1
77,0.141,28m,1
78,0.174,29m,1
79,0.115,30m,1
80,0.132,31m,1
81,0.11,32m,1
82,0.218,33m,1
83,0.137,34m,1
84,0.164,35m,1
85,0.17,36m,1
86,0.185,37m,1
87,0.205,38m,1
88,0.178,39m,1
89,0.164,40m,1
90,0.164,41m,1
91,0.217,42m,1
92,0.232,43m,1
93,0.197,44m,1
94,0.26,45m,1
95,0.185,46m,1
96,0.266,47m,1
97,0.224,48m,1
98,0.229,49m,1
99,0.218,50m,1
